,method,h,s,cx,fid
0,ibm,0.0,0.0,52.0,0.14000000000000007
1,ours,6.0,6.0,12.0,0.48668750000000016
2,ibm,0.0,0.0,40.0,0.2255000000000002
3,ours,14.0,11.0,13.0,0.2573750000000001
4,ibm,0.0,0.0,38.0,0.378875
5,ours,13.0,6.0,12.0,0.4803125
6,ibm,0.0,0.0,54.0,0.16262500000000019
7,ours,18.0,11.0,10.0,0.5146875000000001
8,ibm,0.0,0.0,56.0,0.1307500000000001
9,ours,14.0,9.0,15.0,0.4386250000000001
10,ibm,0.0,0.0,56.0,0.1528750000000001
11,ours,11.0,8.0,14.0,0.4755625
12,ibm,0.0,0.0,46.0,0.1651875
13,ours,18.0,8.0,15.0,0.3318125000000001
14,ibm,0.0,0.0,46.0,0.1878125000000001
15,ours,16.0,9.0,17.0,0.318
16,ibm,0.0,0.0,24.0,0.37906250000000014
17,ours,9.0,6.5,15.0,0.5485000000000002
18,ibm,0.0,0.0,32.0,0.45312499999999994
19,ours,12.0,9.0,11.0,0.5583125000000001
20,ibm,0.0,0.0,64.0,0.11825000000000004
21,ours,13.0,12.5,19.0,0.36531250000000015
22,ibm,0.0,0.0,54.0,0.10612500000000007
23,ours,19.0,9.0,16.0,0.23537500000000008
24,ibm,0.0,0.0,74.0,0.12931250000000005
25,ours,11.0,9.0,18.0,0.4178125
26,ibm,0.0,0.0,70.0,0.10306250000000013
27,ours,19.0,12.5,22.0,0.3189375000000001
28,ibm,0.0,0.0,66.0,0.14006249999999995
29,ours,11.0,8.0,15.0,0.461125
30,ibm,0.0,0.0,38.0,0.3666875
31,ours,10.0,3.5,14.0,0.42800000000000005
32,ibm,0.0,0.0,60.0,0.08637499999999997
33,ours,9.0,5.5,22.0,0.3201875000000002
34,ibm,0.0,0.0,52.0,0.17056250000000014
35,ours,8.0,5.5,15.0,0.19231250000000008
36,ibm,0.0,0.0,50.0,0.2593125000000003
37,ours,16.0,8.5,14.0,0.5505625000000001
38,ibm,0.0,0.0,82.0,0.07856250000000002
39,ours,14.0,11.5,17.0,0.28406250000000005
