,method,h,s,cx,fid,execution_time
0,ibm,0.0,0.0,84.0,0.035437500000000066,7.245775577999999
1,ours,10.0,7.0,29.0,0.10400000000000005,6.908385095
2,stim,0.0,0.0,49.0,0.0298125000000001,7.042517506
3,ibm,0.0,0.0,58.0,0.101,7.018332892999999
4,ours,13.0,8.0,28.0,0.0863750000000001,6.763238049999999
5,stim,0.0,0.0,33.0,0.11637500000000012,8.971298153
6,ibm,0.0,0.0,18.0,0.07662500000000012,6.698072579000001
7,ours,16.0,11.0,10.0,0.16656250000000017,6.710095717000001
8,stim,0.0,0.0,31.0,0.01587500000000004,8.712556532
9,ibm,0.0,0.0,56.0,0.06262499999999994,7.237704764
10,ours,17.0,9.5,25.0,0.04093750000000004,7.193518995000001
11,stim,0.0,0.0,66.0,0.01175,9.16403475
12,ibm,0.0,0.0,54.0,0.01618750000000007,6.937794805999999
13,ours,12.0,11.5,31.0,0.0816250000000002,6.969742987000001
14,stim,0.0,0.0,48.0,0.011875000000000066,7.008751092
15,ibm,0.0,0.0,36.0,0.13093750000000018,6.945619449
16,ours,20.0,11.5,15.0,0.4676875,6.768132358
17,stim,0.0,0.0,18.0,0.43524999999999997,8.50638001
18,ibm,0.0,0.0,92.0,0.031062499999999944,7.15381012
19,ours,22.0,16.5,26.0,0.06668749999999997,6.911841172
20,stim,0.0,0.0,41.0,0.023187500000000024,8.397097958
21,ibm,0.0,0.0,44.0,0.018375000000000027,6.957469776
22,ours,19.0,11.5,23.0,0.21400000000000005,6.683281295
23,stim,0.0,0.0,54.0,0.012437500000000075,8.966603978
24,ibm,0.0,0.0,72.0,0.019500000000000024,6.93470896
25,ours,20.0,9.0,27.0,0.13837499999999991,6.84525443
26,stim,0.0,0.0,39.0,0.040937499999999995,8.386309374
27,ibm,0.0,0.0,64.0,0.0206250000000001,6.92280488
28,ours,20.0,10.0,23.0,0.02650000000000015,7.211378235000001
29,stim,0.0,0.0,41.0,0.026000000000000047,8.671327017
30,ibm,0.0,0.0,54.0,0.11762500000000012,6.948986797000001
31,ours,11.0,9.5,22.0,0.06812500000000006,6.854249458
32,stim,0.0,0.0,27.0,0.04962499999999993,8.95813458
33,ibm,0.0,0.0,50.0,0.019187500000000104,10.457202148
34,ours,27.0,18.0,18.0,0.0550625,6.8283508710000005
35,stim,0.0,0.0,45.0,0.011687500000000007,8.523429305
36,ibm,0.0,0.0,8.0,0.7146250000000002,6.9507713319999995
37,ours,14.0,9.5,15.0,0.11631250000000014,6.757136254
38,stim,0.0,0.0,4.0,0.7220000000000002,8.231973624000002
39,ibm,0.0,0.0,64.0,0.04081249999999993,7.136405504
40,ours,15.0,9.5,21.0,0.11337500000000005,6.950157699
41,stim,0.0,0.0,35.0,0.07787500000000004,12.827682713
42,ibm,0.0,0.0,42.0,0.017187500000000074,6.918746905
43,ours,13.0,9.5,13.0,0.07750000000000017,6.510576625
44,stim,0.0,0.0,39.0,0.007750000000000043,8.643310468
45,ibm,0.0,0.0,76.0,0.033687500000000176,7.062054825000001
46,ours,12.0,10.0,19.0,0.038937500000000014,7.403270794
47,stim,0.0,0.0,44.0,0.027312500000000062,7.113918897
48,ibm,0.0,0.0,60.0,0.05656250000000015,7.040143401000001
49,ours,13.0,6.0,21.0,0.03806249999999995,6.7695863549999995
50,stim,0.0,0.0,30.0,0.04081249999999993,8.304945284
51,ibm,0.0,0.0,58.0,0.025562499999999995,6.9862467200000005
52,ours,26.0,11.0,26.0,0.02806250000000012,7.019472075
53,stim,0.0,0.0,59.0,0.011625000000000022,7.048401179
54,ibm,0.0,0.0,62.0,0.01293750000000009,6.962748413
55,ours,15.0,10.0,21.0,0.09087500000000001,6.9081163839999995
56,stim,0.0,0.0,35.0,0.01431249999999991,8.557197945
57,ibm,0.0,0.0,44.0,0.05218750000000008,7.034116245
58,ours,22.0,11.0,21.0,0.03762500000000004,6.878830905
59,stim,0.0,0.0,24.0,0.08856250000000021,8.286967419
