,method,h,s,cx,fid,execution_time
0,ibm,0.0,0.0,38.0,0.18124999999999997,5.306904824000001
1,ours,14.0,7.5,14.0,0.19756250000000003,5.414197179
2,stim,0.0,0.0,25.0,0.15081250000000018,5.410830214000001
3,ibm,0.0,0.0,58.0,0.08700000000000015,5.513987937
4,ours,19.0,9.0,11.0,0.34212500000000007,5.294612164
5,stim,0.0,0.0,29.0,0.09006250000000009,5.4342809359999995
6,ibm,0.0,0.0,62.0,0.11987499999999998,5.397692826
7,ours,20.0,10.0,13.0,0.2847500000000001,5.332718165999999
8,stim,0.0,0.0,35.0,0.10700000000000008,5.511811193
9,ibm,0.0,0.0,50.0,0.07581250000000009,5.49650871
10,ours,13.0,14.0,13.0,0.41681249999999986,5.3182828859999995
11,stim,0.0,0.0,26.0,0.11293749999999991,5.387261312
12,ibm,0.0,0.0,22.0,0.465,5.348057638
13,ours,8.0,9.5,11.0,0.5678125000000002,5.380494960999999
14,stim,0.0,0.0,14.0,0.4348750000000001,5.380808498
15,ibm,0.0,0.0,26.0,0.34756250000000005,5.472756204
16,ours,14.0,7.5,10.0,0.24856250000000008,5.375771207
17,stim,0.0,0.0,11.0,0.3259375000000001,5.296774507000001
18,ibm,0.0,0.0,42.0,0.11243750000000001,5.3340937230000005
19,ours,18.0,11.0,12.0,0.37043750000000014,5.378477177000001
20,stim,0.0,0.0,10.0,0.42831250000000004,5.349823216
21,ibm,0.0,0.0,22.0,0.45387500000000014,5.431537122999999
22,ours,5.0,9.0,8.0,0.5651875000000002,5.203133609000001
23,stim,0.0,0.0,6.0,0.7319999999999999,5.190999415
24,ibm,0.0,0.0,4.0,0.748125,5.2013899729999995
25,ours,7.0,8.0,2.0,0.8100625000000002,5.177958375999999
26,stim,0.0,0.0,2.0,0.746625,5.34125075
27,ibm,0.0,0.0,6.0,0.7332500000000002,5.156885279
28,ours,13.0,7.5,3.0,0.8038125000000002,5.114241807000001
29,stim,0.0,0.0,3.0,0.7303124999999999,5.341979079000001
30,ibm,0.0,0.0,52.0,0.3028750000000001,5.418886112000001
31,ours,22.0,12.5,12.0,0.41968749999999994,5.287920682999999
32,stim,0.0,0.0,22.0,0.2578750000000001,5.562246318000001
33,ibm,0.0,0.0,22.0,0.45462499999999983,5.35409314
34,ours,10.0,7.0,10.0,0.4071874999999999,5.360479774000001
35,stim,0.0,0.0,11.0,0.4317500000000002,5.403199834
36,ibm,0.0,0.0,42.0,0.19743750000000007,5.37868512
37,ours,10.0,10.0,14.0,0.5393125000000002,5.3730926320000005
38,stim,0.0,0.0,17.0,0.3840000000000001,5.323884049
39,ibm,0.0,0.0,52.0,0.06831249999999996,5.572936820000001
40,ours,15.0,12.5,17.0,0.3275000000000001,5.452513125
41,stim,0.0,0.0,38.0,0.08525000000000009,5.482727555999999
42,ibm,0.0,0.0,18.0,0.3491875000000002,5.230131652000001
43,ours,10.0,11.0,3.0,0.7493750000000001,5.230737092999999
44,stim,0.0,0.0,9.0,0.3321250000000001,5.441134601
45,ibm,0.0,0.0,44.0,0.11831250000000008,5.338416152000001
46,ours,3.0,4.0,17.0,0.15793750000000015,5.46117327
47,stim,0.0,0.0,22.0,0.22681250000000022,5.445457065
48,ibm,0.0,0.0,48.0,0.14006249999999995,5.426659495
49,ours,11.0,13.0,14.0,0.25812500000000016,5.308189234
50,stim,0.0,0.0,36.0,0.05793750000000011,5.56818747
51,ibm,0.0,0.0,8.0,0.703875,5.258049724
52,ours,15.0,11.5,11.0,0.474625,5.287582177
53,stim,0.0,0.0,4.0,0.7207500000000001,5.308677201
54,ibm,0.0,0.0,18.0,0.5656874999999999,5.2079349399999995
55,ours,11.0,8.0,9.0,0.5395000000000002,5.317611646
56,stim,0.0,0.0,7.0,0.6166250000000001,5.2365000760000004
57,ibm,0.0,0.0,46.0,0.053375000000000145,5.454628646000001
58,ours,14.0,9.5,21.0,0.22462499999999985,5.431113235
59,stim,0.0,0.0,28.0,0.06750000000000007,5.574719327
