,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,127,1,ours,1,0,0,2.4700701236724854,1,0
1,0,127,1,qiskit transpile,1,0,0,0.024481773376464844,1,0
2,0,127,1,Bravyi et al. (qiskit),1,0,0,0.008821249008178711,1,0
3,0,127,1,Ewout van den Berg (stim),3,0,0,0.010564804077148438,2,0
4,0,127,1,Duncan et al (pyzx),1,0,0,0.16303396224975586,1,0
5,0,127,1,Maslov et al,166765,0,85019,9.032355546951294,16406,8160
6,1,127,1,ours,1,0,0,2.4121241569519043,1,0
7,1,127,1,qiskit transpile,1,0,0,0.008968591690063477,1,0
8,1,127,1,Bravyi et al. (qiskit),1,0,0,0.008542299270629883,1,0
9,1,127,1,Ewout van den Berg (stim),3,0,0,0.00990748405456543,2,0
10,1,127,1,Duncan et al (pyzx),1,0,0,0.16741085052490234,1,0
11,1,127,1,Maslov et al,178205,0,89306,9.228500843048096,16728,8286
12,2,127,1,ours,0,1,0,2.406069755554199,1,0
13,2,127,1,qiskit transpile,0,1,0,0.0086669921875,1,0
14,2,127,1,Bravyi et al. (qiskit),0,1,0,0.00891566276550293,1,0
15,2,127,1,Ewout van den Berg (stim),2,1,0,0.01172327995300293,2,0
16,2,127,1,Duncan et al (pyzx),0,1,0,0.17116355895996094,1,0
17,2,127,1,Maslov et al,156190,1,77755,9.226866006851196,13721,6640
18,3,127,1,ours,0,1,0,2.4955389499664307,1,0
19,3,127,1,qiskit transpile,0,1,0,0.013578176498413086,1,0
20,3,127,1,Bravyi et al. (qiskit),0,1,0,0.009031295776367188,1,0
21,3,127,1,Ewout van den Berg (stim),2,1,0,0.010570049285888672,2,0
22,3,127,1,Duncan et al (pyzx),0,1,0,0.16473650932312012,1,0
23,3,127,1,Maslov et al,147982,1,74278,8.868966102600098,13467,6561
24,4,127,1,ours,0,1,0,2.485050678253174,1,0
25,4,127,1,qiskit transpile,0,1,0,0.009606122970581055,1,0
26,4,127,1,Bravyi et al. (qiskit),0,1,0,0.009494781494140625,1,0
27,4,127,1,Ewout van den Berg (stim),2,1,0,0.010134696960449219,2,0
28,4,127,1,Duncan et al (pyzx),0,1,0,0.18933939933776855,1,0
29,4,127,1,Maslov et al,175514,1,89381,10.404029130935669,16111,7949
30,5,127,1,ours,0,1,0,2.387815237045288,1,0
31,5,127,1,qiskit transpile,0,1,0,0.008905887603759766,1,0
32,5,127,1,Bravyi et al. (qiskit),0,1,0,0.008681535720825195,1,0
