,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,27,1,ours,0,1,0,0.09251570701599121,1,0
1,0,27,1,ours_random,0,1,0,0.09574460983276367,1,0
2,0,27,1,ours_temp,0,1,0,1.9867422580718994,1,0
3,0,27,1,qiskit transpile,0,1,0,0.0025098323822021484,1,0
4,0,27,1,Bravyi et al. (qiskit),0,1,0,0.002651691436767578,1,0
5,0,27,1,Ewout van den Berg (stim),2,1,0,0.0027463436126708984,2,0
6,0,27,1,Duncan et al (pyzx),0,1,0,0.004521846771240234,1,0
7,0,27,1,Maslov et al,54,1,1781,0.10853314399719238,140,137
8,1,27,1,ours,1,0,0,0.09248733520507812,1,0
9,1,27,1,ours_random,1,0,0,0.09466791152954102,1,0
10,1,27,1,ours_temp,1,0,0,1.8975317478179932,1,0
11,1,27,1,qiskit transpile,1,0,0,0.0025148391723632812,1,0
12,1,27,1,Bravyi et al. (qiskit),1,0,0,0.0024967193603515625,1,0
13,1,27,1,Ewout van den Berg (stim),3,0,0,0.0027780532836914062,2,0
14,1,27,1,Duncan et al (pyzx),1,0,0,0.0044078826904296875,1,0
15,1,27,1,Maslov et al,53,0,1781,0.182783842086792,139,137
16,2,27,1,ours,0,1,0,0.09418058395385742,1,0
17,2,27,1,ours_random,0,1,0,0.0946805477142334,1,0
18,2,27,1,ours_temp,0,1,0,1.9032213687896729,1,0
19,2,27,1,qiskit transpile,0,1,0,0.0024521350860595703,1,0
20,2,27,1,Bravyi et al. (qiskit),0,1,0,0.0024433135986328125,1,0
21,2,27,1,Ewout van den Berg (stim),2,1,0,0.002826213836669922,2,0
22,2,27,1,Duncan et al (pyzx),0,1,0,0.004810333251953125,1,0
23,2,27,1,Maslov et al,54,1,1781,0.10921335220336914,140,137
24,3,27,1,ours,0,0,1,0.09228038787841797,1,1
25,3,27,1,ours_random,0,0,1,0.09430527687072754,1,1
26,3,27,1,ours_temp,0,0,1,1.9106106758117676,1,1
27,3,27,1,qiskit transpile,0,0,1,0.0024566650390625,1,1
28,3,27,1,Bravyi et al. (qiskit),0,0,1,0.002593994140625,1,1
29,3,27,1,Ewout van den Berg (stim),2,0,1,0.002733469009399414,2,1
30,3,27,1,Duncan et al (pyzx),4,0,1,0.0050318241119384766,3,1
31,3,27,1,Maslov et al,54,0,1790,0.10764861106872559,146,144
32,4,27,1,ours,0,0,1,0.09410691261291504,1,1
33,4,27,1,ours_random,0,0,1,0.0950765609741211,1,1
34,4,27,1,ours_temp,0,0,1,1.9427943229675293,1,1
35,4,27,1,qiskit transpile,0,0,1,0.0027718544006347656,1,1
36,4,27,1,Bravyi et al. (qiskit),0,0,1,0.0025343894958496094,1,1
37,4,27,1,Ewout van den Berg (stim),0,0,1,0.002561807632446289,1,1
38,4,27,1,Duncan et al (pyzx),4,0,1,0.005022287368774414,3,1
39,4,27,1,Maslov et al,54,0,1800,0.11507153511047363,159,157
40,5,27,1,ours,1,0,0,0.09304571151733398,1,0
41,5,27,1,ours_random,1,0,0,0.09466719627380371,1,0
42,5,27,1,ours_temp,1,0,0,1.8970887660980225,1,0
43,5,27,1,qiskit transpile,1,0,0,0.002507925033569336,1,0
44,5,27,1,Bravyi et al. (qiskit),1,0,0,0.002438783645629883,1,0
45,5,27,1,Ewout van den Berg (stim),3,0,0,0.0026929378509521484,2,0
46,5,27,1,Duncan et al (pyzx),1,0,0,0.00446772575378418,1,0
47,5,27,1,Maslov et al,53,0,1781,0.10701727867126465,139,137
48,6,27,1,ours,0,1,0,0.09324073791503906,1,0
49,6,27,1,ours_random,0,1,0,0.09475517272949219,1,0
50,6,27,1,ours_temp,0,1,0,1.9229419231414795,1,0
51,6,27,1,qiskit transpile,0,1,0,0.0024454593658447266,1,0
52,6,27,1,Bravyi et al. (qiskit),0,1,0,0.0024614334106445312,1,0
53,6,27,1,Ewout van den Berg (stim),2,1,0,0.0028417110443115234,2,0
54,6,27,1,Duncan et al (pyzx),0,1,0,0.004401683807373047,1,0
55,6,27,1,Maslov et al,54,1,1781,0.18393874168395996,140,137
56,7,27,1,ours,1,0,0,0.09195828437805176,1,0
57,7,27,1,ours_random,1,0,0,0.09441208839416504,1,0
58,7,27,1,ours_temp,1,0,0,1.8992283344268799,1,0
59,7,27,1,qiskit transpile,1,0,0,0.002490520477294922,1,0
60,7,27,1,Bravyi et al. (qiskit),1,0,0,0.0025742053985595703,1,0
61,7,27,1,Ewout van den Berg (stim),3,0,0,0.002623319625854492,2,0
62,7,27,1,Duncan et al (pyzx),1,0,0,0.0045261383056640625,1,0
63,7,27,1,Maslov et al,53,0,1781,0.10770869255065918,139,137
64,8,27,1,ours,1,0,0,0.09290575981140137,1,0
65,8,27,1,ours_random,1,0,0,0.0938572883605957,1,0
66,8,27,1,ours_temp,1,0,0,1.899000883102417,1,0
67,8,27,1,qiskit transpile,1,0,0,0.0023941993713378906,1,0
68,8,27,1,Bravyi et al. (qiskit),1,0,0,0.0024628639221191406,1,0
69,8,27,1,Ewout van den Berg (stim),3,0,0,0.0027647018432617188,2,0
70,8,27,1,Duncan et al (pyzx),1,0,0,0.004483222961425781,1,0
71,8,27,1,Maslov et al,53,0,1781,0.1071925163269043,139,137
72,9,27,1,ours,1,0,0,0.09433603286743164,1,0
73,9,27,1,ours_random,1,0,0,0.0948333740234375,1,0
74,9,27,1,ours_temp,1,0,0,1.900871992111206,1,0
75,9,27,1,qiskit transpile,1,0,0,0.002493143081665039,1,0
76,9,27,1,Bravyi et al. (qiskit),1,0,0,0.0024251937866210938,1,0
77,9,27,1,Ewout van den Berg (stim),3,0,0,0.0027441978454589844,2,0
78,9,27,1,Duncan et al (pyzx),1,0,0,0.004351615905761719,1,0
79,9,27,1,Maslov et al,53,0,1781,0.10648655891418457,139,137
80,10,27,1,ours,0,0,1,0.09408116340637207,1,1
81,10,27,1,ours_random,0,0,1,0.09554791450500488,1,1
82,10,27,1,ours_temp,0,0,1,1.9137351512908936,1,1
83,10,27,1,qiskit transpile,0,0,1,0.0024271011352539062,1,1
84,10,27,1,Bravyi et al. (qiskit),0,0,1,0.0026197433471679688,1,1
85,10,27,1,Ewout van den Berg (stim),2,0,1,0.0027866363525390625,2,1
86,10,27,1,Duncan et al (pyzx),4,0,1,0.005156993865966797,5,1
87,10,27,1,Maslov et al,54,0,1780,0.10704255104064941,139,137
88,11,27,1,ours,0,1,0,0.0927269458770752,1,0
89,11,27,1,ours_random,0,1,0,0.09451413154602051,1,0
90,11,27,1,ours_temp,0,1,0,1.8955771923065186,1,0
91,11,27,1,qiskit transpile,0,1,0,0.0024144649505615234,1,0
92,11,27,1,Bravyi et al. (qiskit),0,1,0,0.0024230480194091797,1,0
93,11,27,1,Ewout van den Berg (stim),2,1,0,0.0028269290924072266,2,0
94,11,27,1,Duncan et al (pyzx),0,1,0,0.004504680633544922,1,0
95,11,27,1,Maslov et al,54,1,1781,0.18684911727905273,140,137
96,12,27,1,ours,0,1,0,0.09208512306213379,1,0
97,12,27,1,ours_random,0,1,0,0.09465384483337402,1,0
98,12,27,1,ours_temp,0,1,0,1.903050422668457,1,0
99,12,27,1,qiskit transpile,0,1,0,0.002449512481689453,1,0
100,12,27,1,Bravyi et al. (qiskit),0,1,0,0.0026106834411621094,1,0
101,12,27,1,Ewout van den Berg (stim),2,1,0,0.0026848316192626953,2,0
102,12,27,1,Duncan et al (pyzx),0,1,0,0.004495382308959961,1,0
103,12,27,1,Maslov et al,54,1,1781,0.10883021354675293,140,137
104,13,27,1,ours,1,0,0,0.09311246871948242,1,0
