,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,16,1,ours,0,1,0,0.011117696762084961,1,0
1,0,16,1,ours_random,0,1,0,0.010788202285766602,1,0
2,0,16,1,ours_temp,0,1,0,0.22965192794799805,1,0
3,0,16,1,qiskit transpile,0,1,0,0.01044011116027832,1,0
4,0,16,1,Bravyi et al. (qiskit),0,1,0,0.00393366813659668,1,0
5,0,16,1,Ewout van den Berg (stim),0,1,0,0.004047870635986328,1,0
6,0,16,1,Duncan et al (pyzx),0,1,0,0.00511622428894043,1,0
7,0,16,1,Maslov et al,32,1,834,0.0630652904510498,201,198
8,1,16,1,ours,1,0,0,0.010009288787841797,1,0
9,1,16,1,ours_random,1,0,0,0.011476993560791016,1,0
10,1,16,1,ours_temp,1,0,0,0.224961519241333,1,0
11,1,16,1,qiskit transpile,1,0,0,0.003882169723510742,1,0
12,1,16,1,Bravyi et al. (qiskit),1,0,0,0.004019737243652344,1,0
13,1,16,1,Ewout van den Berg (stim),1,0,0,0.0038466453552246094,1,0
14,1,16,1,Duncan et al (pyzx),1,0,0,0.004728794097900391,1,0
15,1,16,1,Maslov et al,31,0,834,0.059796810150146484,201,198
16,2,16,1,ours,0,0,1,0.0817878246307373,1,1
17,2,16,1,ours_random,0,0,1,0.01140284538269043,1,1
18,2,16,1,ours_temp,0,0,1,0.23828411102294922,1,1
19,2,16,1,qiskit transpile,0,0,1,0.004425764083862305,1,1
20,2,16,1,Bravyi et al. (qiskit),0,0,1,0.004337787628173828,1,1
21,2,16,1,Ewout van den Berg (stim),2,0,1,0.004599571228027344,2,1
22,2,16,1,Duncan et al (pyzx),4,0,1,0.005595684051513672,5,1
23,2,16,1,Maslov et al,32,0,833,0.05912470817565918,205,201
24,3,16,1,ours,0,0,1,0.010336160659790039,1,1
25,3,16,1,ours_random,0,0,1,0.011015653610229492,1,1
26,3,16,1,ours_temp,0,0,1,0.2369527816772461,1,1
27,3,16,1,qiskit transpile,0,0,1,0.003965139389038086,1,1
28,3,16,1,Bravyi et al. (qiskit),0,0,1,0.00397491455078125,1,1
29,3,16,1,Ewout van den Berg (stim),2,0,1,0.004117012023925781,2,1
30,3,16,1,Duncan et al (pyzx),4,0,1,0.005407094955444336,3,1
31,3,16,1,Maslov et al,32,0,833,0.06119680404663086,206,202
32,4,16,1,ours,1,0,0,0.009695291519165039,1,0
33,4,16,1,ours_random,1,0,0,0.011452436447143555,1,0
34,4,16,1,ours_temp,1,0,0,0.2276766300201416,1,0
35,4,16,1,qiskit transpile,1,0,0,0.0037271976470947266,1,0
