,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,65,1,ours,0,1,0,0.36808323860168457,1,0
1,0,65,1,ours_random,0,1,0,0.3759431838989258,1,0
2,0,65,1,ours_temp,0,1,0,15.314391851425171,1,0
3,0,65,1,qiskit transpile,0,1,0,0.014855384826660156,1,0
4,0,65,1,Bravyi et al. (qiskit),0,1,0,0.005995273590087891,1,0
5,0,65,1,Ewout van den Berg (stim),2,1,0,0.00675511360168457,2,0
6,0,65,1,Duncan et al (pyzx),0,1,0,0.03035902976989746,1,0
7,0,65,1,Maslov et al,130,1,14071,1.5293707847595215,1906,1900
8,1,65,1,ours,0,0,1,0.36928558349609375,1,1
9,1,65,1,ours_random,0,0,1,0.3609652519226074,1,1
10,1,65,1,ours_temp,0,0,1,15.233524560928345,1,1
11,1,65,1,qiskit transpile,0,0,1,0.006720781326293945,1,1
12,1,65,1,Bravyi et al. (qiskit),0,0,1,0.007231950759887695,1,1
13,1,65,1,Ewout van den Berg (stim),2,0,1,0.00728607177734375,2,1
14,1,65,1,Duncan et al (pyzx),4,0,1,0.034513235092163086,5,1
15,1,65,1,Maslov et al,130,0,19233,1.866370677947998,3800,3794
16,2,65,1,ours,0,0,1,0.39052343368530273,1,1
17,2,65,1,ours_random,0,0,1,0.38060760498046875,1,1
18,2,65,1,ours_temp,0,0,1,15.179555654525757,1,1
19,2,65,1,qiskit transpile,0,0,1,0.006897687911987305,1,1
20,2,65,1,Bravyi et al. (qiskit),0,0,1,0.006985664367675781,1,1
21,2,65,1,Ewout van den Berg (stim),2,0,1,0.007152557373046875,2,1
22,2,65,1,Duncan et al (pyzx),4,0,1,0.030504941940307617,5,1
23,2,65,1,Maslov et al,130,0,16334,1.536855697631836,2724,2715
24,3,65,1,ours,0,0,1,0.37406039237976074,1,1
25,3,65,1,ours_random,0,0,1,0.3915407657623291,1,1
26,3,65,1,ours_temp,0,0,1,15.422912120819092,1,1
27,3,65,1,qiskit transpile,0,0,1,0.006783008575439453,1,1
28,3,65,1,Bravyi et al. (qiskit),0,0,1,0.007135152816772461,1,1
29,3,65,1,Ewout van den Berg (stim),2,0,1,0.007221221923828125,2,1
30,3,65,1,Duncan et al (pyzx),4,0,1,0.03046250343322754,3,1
31,3,65,1,Maslov et al,130,0,15742,1.4958460330963135,1776,1771
32,4,65,1,ours,1,0,0,0.37181615829467773,1,0
33,4,65,1,ours_random,1,0,0,0.3756539821624756,1,0
34,4,65,1,ours_temp,1,0,0,15.253808736801147,1,0
35,4,65,1,qiskit transpile,1,0,0,0.005446910858154297,1,0
36,4,65,1,Bravyi et al. (qiskit),1,0,0,0.08229517936706543,1,0
37,4,65,1,Ewout van den Berg (stim),3,0,0,0.005740642547607422,2,0
38,4,65,1,Duncan et al (pyzx),1,0,0,0.028026103973388672,1,0
39,4,65,1,Maslov et al,129,0,14832,1.7249517440795898,1840,1834
40,5,65,1,ours,0,0,1,0.4016275405883789,1,1
41,5,65,1,ours_random,0,0,1,0.37923312187194824,1,1
42,5,65,1,ours_temp,0,0,1,15.303425550460815,1,1
43,5,65,1,qiskit transpile,0,0,1,0.00707697868347168,1,1
44,5,65,1,Bravyi et al. (qiskit),0,0,1,0.006918668746948242,1,1
45,5,65,1,Ewout van den Berg (stim),2,0,1,0.007089138031005859,2,1
46,5,65,1,Duncan et al (pyzx),4,0,1,0.030272722244262695,3,1
47,5,65,1,Maslov et al,130,0,17428,2.035332441329956,2851,2844
48,6,65,1,ours,0,0,1,0.3719661235809326,1,1
49,6,65,1,ours_random,0,0,1,0.3954942226409912,1,1
50,6,65,1,ours_temp,0,0,1,15.191187143325806,1,1
51,6,65,1,qiskit transpile,0,0,1,0.0068798065185546875,1,1
52,6,65,1,Bravyi et al. (qiskit),0,0,1,0.006873369216918945,1,1
53,6,65,1,Ewout van den Berg (stim),2,0,1,0.0071299076080322266,2,1
54,6,65,1,Duncan et al (pyzx),4,0,1,0.030730724334716797,5,1
55,6,65,1,Maslov et al,130,0,15465,1.3588895797729492,2128,2123
56,7,65,1,ours,0,0,1,0.36849260330200195,1,1
57,7,65,1,ours_random,0,0,1,0.37928152084350586,1,1
58,7,65,1,ours_temp,0,0,1,15.291929244995117,1,1
59,7,65,1,qiskit transpile,0,0,1,0.006814479827880859,1,1
60,7,65,1,Bravyi et al. (qiskit),0,0,1,0.0069122314453125,1,1
61,7,65,1,Ewout van den Berg (stim),0,0,1,0.0070607662200927734,1,1
62,7,65,1,Duncan et al (pyzx),4,0,1,0.03014087677001953,5,1
63,7,65,1,Maslov et al,130,0,14269,1.3712506294250488,1596,1592
64,8,65,1,ours,0,1,0,0.371384859085083,1,0
65,8,65,1,ours_random,0,1,0,0.36905407905578613,1,0
66,8,65,1,ours_temp,0,1,0,15.393254280090332,1,0
67,8,65,1,qiskit transpile,0,1,0,0.005698680877685547,1,0
68,8,65,1,Bravyi et al. (qiskit),0,1,0,0.005364418029785156,1,0
69,8,65,1,Ewout van den Berg (stim),2,1,0,0.0058209896087646484,2,0
70,8,65,1,Duncan et al (pyzx),0,1,0,0.028176307678222656,1,0
71,8,65,1,Maslov et al,130,1,16169,2.0452723503112793,3134,3128
72,9,65,1,ours,0,1,0,0.36768293380737305,1,0
73,9,65,1,ours_random,0,1,0,0.4065423011779785,1,0
74,9,65,1,ours_temp,0,1,0,15.140539407730103,1,0
75,9,65,1,qiskit transpile,0,1,0,0.005322933197021484,1,0
76,9,65,1,Bravyi et al. (qiskit),0,1,0,0.005452632904052734,1,0
77,9,65,1,Ewout van den Berg (stim),2,1,0,0.005789279937744141,2,0
78,9,65,1,Duncan et al (pyzx),0,1,0,0.028379440307617188,1,0
79,9,65,1,Maslov et al,130,1,15912,1.6663825511932373,2174,2165
80,10,65,1,ours,1,0,0,0.36986613273620605,1,0
81,10,65,1,ours_random,1,0,0,0.3741128444671631,1,0
82,10,65,1,ours_temp,1,0,0,15.139076948165894,1,0
83,10,65,1,qiskit transpile,1,0,0,0.005406379699707031,1,0
84,10,65,1,Bravyi et al. (qiskit),1,0,0,0.005533933639526367,1,0
85,10,65,1,Ewout van den Berg (stim),3,0,0,0.005832195281982422,2,0
86,10,65,1,Duncan et al (pyzx),1,0,0,0.02826404571533203,1,0
87,10,65,1,Maslov et al,129,0,16711,1.5921566486358643,2972,2962
88,11,65,1,ours,0,1,0,0.3715555667877197,1,0
89,11,65,1,ours_random,0,1,0,0.37075376510620117,1,0
90,11,65,1,ours_temp,0,1,0,15.19418478012085,1,0
91,11,65,1,qiskit transpile,0,1,0,0.005571603775024414,1,0
92,11,65,1,Bravyi et al. (qiskit),0,1,0,0.005893707275390625,1,0
93,11,65,1,Ewout van den Berg (stim),2,1,0,0.006026268005371094,2,0
94,11,65,1,Duncan et al (pyzx),0,1,0,0.028897523880004883,1,0
95,11,65,1,Maslov et al,130,1,14429,1.4613420963287354,1892,1887
96,12,65,1,ours,0,1,0,0.36841297149658203,1,0
97,12,65,1,ours_random,0,1,0,0.37969017028808594,1,0
98,12,65,1,ours_temp,0,1,0,15.106982469558716,1,0
99,12,65,1,qiskit transpile,0,1,0,0.005372524261474609,1,0
100,12,65,1,Bravyi et al. (qiskit),0,1,0,0.005514383316040039,1,0
101,12,65,1,Ewout van den Berg (stim),2,1,0,0.006140708923339844,2,0
102,12,65,1,Duncan et al (pyzx),0,1,0,0.028373241424560547,1,0
103,12,65,1,Maslov et al,130,1,14826,1.7616946697235107,1615,1610
104,13,65,1,ours,0,0,1,0.37534141540527344,1,1
105,13,65,1,ours_random,0,0,1,0.38504552841186523,1,1
106,13,65,1,ours_temp,0,0,1,15.524725198745728,1,1
107,13,65,1,qiskit transpile,0,0,1,0.0067768096923828125,1,1
108,13,65,1,Bravyi et al. (qiskit),0,0,1,0.0071947574615478516,1,1
109,13,65,1,Ewout van den Berg (stim),2,0,1,0.007322788238525391,2,1
110,13,65,1,Duncan et al (pyzx),4,0,1,0.030531883239746094,5,1
111,13,65,1,Maslov et al,130,0,17277,1.9877326488494873,2760,2752
112,14,65,1,ours,1,0,0,0.3695337772369385,1,0
113,14,65,1,ours_random,1,0,0,0.3725607395172119,1,0
114,14,65,1,ours_temp,1,0,0,15.04496169090271,1,0
115,14,65,1,qiskit transpile,1,0,0,0.005334377288818359,1,0
116,14,65,1,Bravyi et al. (qiskit),1,0,0,0.005266904830932617,1,0
117,14,65,1,Ewout van den Berg (stim),3,0,0,0.005771636962890625,2,0
118,14,65,1,Duncan et al (pyzx),1,0,0,0.028366565704345703,1,0
119,14,65,1,Maslov et al,129,0,16001,1.6734895706176758,1629,1625
120,15,65,1,ours,0,1,0,0.3685281276702881,1,0
121,15,65,1,ours_random,0,1,0,0.39798903465270996,1,0
122,15,65,1,ours_temp,0,1,0,15.147892713546753,1,0
123,15,65,1,qiskit transpile,0,1,0,0.00542759895324707,1,0
124,15,65,1,Bravyi et al. (qiskit),0,1,0,0.00562596321105957,1,0
125,15,65,1,Ewout van den Berg (stim),2,1,0,0.0058269500732421875,2,0
126,15,65,1,Duncan et al (pyzx),0,1,0,0.027738094329833984,1,0
127,15,65,1,Maslov et al,130,1,16132,1.5269460678100586,2287,2277
128,16,65,1,ours,0,0,1,0.36974430084228516,1,1
129,16,65,1,ours_random,0,0,1,0.37307214736938477,1,1
130,16,65,1,ours_temp,0,0,1,15.343358516693115,1,1
131,16,65,1,qiskit transpile,0,0,1,0.006973981857299805,1,1
132,16,65,1,Bravyi et al. (qiskit),0,0,1,0.00698089599609375,1,1
133,16,65,1,Ewout van den Berg (stim),2,0,1,0.007539510726928711,2,1
134,16,65,1,Duncan et al (pyzx),4,0,1,0.031725406646728516,3,1
135,16,65,1,Maslov et al,130,0,14553,1.502168893814087,1756,1749
136,17,65,1,ours,1,0,0,0.3693082332611084,1,0
137,17,65,1,ours_random,1,0,0,0.39441967010498047,1,0
138,17,65,1,ours_temp,1,0,0,15.263504981994629,1,0
139,17,65,1,qiskit transpile,1,0,0,0.008190631866455078,1,0
140,17,65,1,Bravyi et al. (qiskit),1,0,0,0.00547480583190918,1,0
141,17,65,1,Ewout van den Berg (stim),3,0,0,0.005730628967285156,2,0
142,17,65,1,Duncan et al (pyzx),1,0,0,0.028311967849731445,1,0
