,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,27,1,ours,0,1,0,0.033998727798461914,1,0
1,0,27,1,ours_random,0,1,0,0.038016557693481445,1,0
2,0,27,1,ours_temp,0,1,0,0.7691094875335693,1,0
3,0,27,1,qiskit transpile,0,1,0,0.004116058349609375,1,0
4,0,27,1,Bravyi et al. (qiskit),0,1,0,0.004110813140869141,1,0
5,0,27,1,Ewout van den Berg (stim),2,1,0,0.004347324371337891,2,0
6,0,27,1,Duncan et al (pyzx),0,1,0,0.006121397018432617,1,0
7,0,27,1,Maslov et al,54,1,2603,0.23235654830932617,530,525
8,1,27,1,ours,0,0,1,0.03759264945983887,1,1
9,1,27,1,ours_random,0,0,1,0.038985490798950195,1,1
10,1,27,1,ours_temp,0,0,1,0.8279788494110107,1,1
11,1,27,1,qiskit transpile,0,0,1,0.019272327423095703,1,1
12,1,27,1,Bravyi et al. (qiskit),0,0,1,0.004694938659667969,1,1
13,1,27,1,Ewout van den Berg (stim),2,0,1,0.004920482635498047,2,1
14,1,27,1,Duncan et al (pyzx),4,0,1,0.007186174392700195,5,1
15,1,27,1,Maslov et al,54,0,2732,0.1846635341644287,636,632
16,2,27,1,ours,0,1,0,0.03340339660644531,1,0
17,2,27,1,ours_random,0,1,0,0.057726144790649414,1,0
18,2,27,1,ours_temp,0,1,0,0.752938985824585,1,0
19,2,27,1,qiskit transpile,0,1,0,0.004158496856689453,1,0
20,2,27,1,Bravyi et al. (qiskit),0,1,0,0.004246234893798828,1,0
21,2,27,1,Ewout van den Berg (stim),2,1,0,0.004578828811645508,2,0
22,2,27,1,Duncan et al (pyzx),0,1,0,0.00626373291015625,1,0
23,2,27,1,Maslov et al,54,1,2734,0.19243192672729492,679,673
24,3,27,1,ours,0,1,0,0.035041093826293945,1,0
25,3,27,1,ours_random,0,1,0,0.036133527755737305,1,0
26,3,27,1,ours_temp,0,1,0,0.7423810958862305,1,0
27,3,27,1,qiskit transpile,0,1,0,0.0040836334228515625,1,0
28,3,27,1,Bravyi et al. (qiskit),0,1,0,0.0040476322174072266,1,0
29,3,27,1,Ewout van den Berg (stim),2,1,0,0.0043811798095703125,2,0
30,3,27,1,Duncan et al (pyzx),0,1,0,0.006199836730957031,1,0
31,3,27,1,Maslov et al,54,1,2519,0.18273496627807617,347,343
32,4,27,1,ours,1,0,0,0.03324151039123535,1,0
33,4,27,1,ours_random,1,0,0,0.03621077537536621,1,0
34,4,27,1,ours_temp,1,0,0,0.7487039566040039,1,0
35,4,27,1,qiskit transpile,1,0,0,0.004141569137573242,1,0
36,4,27,1,Bravyi et al. (qiskit),1,0,0,0.07694506645202637,1,0
37,4,27,1,Ewout van den Berg (stim),3,0,0,0.004267454147338867,2,0
38,4,27,1,Duncan et al (pyzx),1,0,0,0.0059566497802734375,1,0
39,4,27,1,Maslov et al,53,0,2581,0.1791670322418213,490,485
40,5,27,1,ours,0,0,1,0.034204959869384766,1,1
41,5,27,1,ours_random,0,0,1,0.03762006759643555,1,1
42,5,27,1,ours_temp,0,0,1,0.7557170391082764,1,1
43,5,27,1,qiskit transpile,0,0,1,0.00482177734375,1,1
44,5,27,1,Bravyi et al. (qiskit),0,0,1,0.00473785400390625,1,1
45,5,27,1,Ewout van den Berg (stim),2,0,1,0.005077838897705078,2,1
46,5,27,1,Duncan et al (pyzx),4,0,1,0.0075070858001708984,3,1
47,5,27,1,Maslov et al,54,0,2664,0.19734597206115723,374,371
48,6,27,1,ours,1,0,0,0.03417515754699707,1,0
49,6,27,1,ours_random,1,0,0,0.04018425941467285,1,0
50,6,27,1,ours_temp,1,0,0,0.8203411102294922,1,0
51,6,27,1,qiskit transpile,1,0,0,0.0041506290435791016,1,0
52,6,27,1,Bravyi et al. (qiskit),1,0,0,0.004103660583496094,1,0
53,6,27,1,Ewout van den Berg (stim),3,0,0,0.004149198532104492,2,0
54,6,27,1,Duncan et al (pyzx),1,0,0,0.0059392452239990234,1,0
55,6,27,1,Maslov et al,53,0,2821,0.2681159973144531,548,543
56,7,27,1,ours,1,0,0,0.033770084381103516,1,0
57,7,27,1,ours_random,1,0,0,0.03735637664794922,1,0
58,7,27,1,ours_temp,1,0,0,0.7487647533416748,1,0
59,7,27,1,qiskit transpile,1,0,0,0.004138469696044922,1,0
60,7,27,1,Bravyi et al. (qiskit),1,0,0,0.004235744476318359,1,0
61,7,27,1,Ewout van den Berg (stim),3,0,0,0.004537343978881836,2,0
62,7,27,1,Duncan et al (pyzx),1,0,0,0.006144285202026367,1,0
63,7,27,1,Maslov et al,53,0,2522,0.1817302703857422,347,343
64,8,27,1,ours,0,1,0,0.03386878967285156,1,0
65,8,27,1,ours_random,0,1,0,0.037224769592285156,1,0
66,8,27,1,ours_temp,0,1,0,0.7398409843444824,1,0
67,8,27,1,qiskit transpile,0,1,0,0.0040683746337890625,1,0
68,8,27,1,Bravyi et al. (qiskit),0,1,0,0.004074573516845703,1,0
69,8,27,1,Ewout van den Berg (stim),2,1,0,0.0063211917877197266,2,0
70,8,27,1,Duncan et al (pyzx),0,1,0,0.009914398193359375,1,0
71,8,27,1,Maslov et al,54,1,2591,0.20113635063171387,493,487
72,9,27,1,ours,1,0,0,0.033640384674072266,1,0
73,9,27,1,ours_random,1,0,0,0.03644061088562012,1,0
74,9,27,1,ours_temp,1,0,0,0.7530269622802734,1,0
75,9,27,1,qiskit transpile,1,0,0,0.003990650177001953,1,0
76,9,27,1,Bravyi et al. (qiskit),1,0,0,0.004213094711303711,1,0
77,9,27,1,Ewout van den Berg (stim),3,0,0,0.004118442535400391,2,0
78,9,27,1,Duncan et al (pyzx),1,0,0,0.005816936492919922,1,0
79,9,27,1,Maslov et al,53,0,2911,0.2683594226837158,743,740
80,10,27,1,ours,0,1,0,0.03374791145324707,1,0
81,10,27,1,ours_random,0,1,0,0.03715658187866211,1,0
82,10,27,1,ours_temp,0,1,0,0.7401218414306641,1,0
83,10,27,1,qiskit transpile,0,1,0,0.004069089889526367,1,0
84,10,27,1,Bravyi et al. (qiskit),0,1,0,0.004075765609741211,1,0
85,10,27,1,Ewout van den Berg (stim),2,1,0,0.004675626754760742,2,0
86,10,27,1,Duncan et al (pyzx),0,1,0,0.0060656070709228516,1,0
87,10,27,1,Maslov et al,54,1,2588,0.18163251876831055,519,516
88,11,27,1,ours,1,0,0,0.03367209434509277,1,0
89,11,27,1,ours_random,1,0,0,0.03682088851928711,1,0
90,11,27,1,ours_temp,1,0,0,0.7462468147277832,1,0
91,11,27,1,qiskit transpile,1,0,0,0.0041522979736328125,1,0
92,11,27,1,Bravyi et al. (qiskit),1,0,0,0.004063606262207031,1,0
93,11,27,1,Ewout van den Berg (stim),3,0,0,0.004304170608520508,2,0
94,11,27,1,Duncan et al (pyzx),1,0,0,0.00615692138671875,1,0
95,11,27,1,Maslov et al,53,0,2522,0.17871880531311035,341,337
96,12,27,1,ours,1,0,0,0.03382706642150879,1,0
97,12,27,1,ours_random,1,0,0,0.03780102729797363,1,0
98,12,27,1,ours_temp,1,0,0,0.755084753036499,1,0
99,12,27,1,qiskit transpile,1,0,0,0.0042955875396728516,1,0
100,12,27,1,Bravyi et al. (qiskit),1,0,0,0.004187107086181641,1,0
101,12,27,1,Ewout van den Berg (stim),3,0,0,0.004199028015136719,2,0
102,12,27,1,Duncan et al (pyzx),1,0,0,0.005856513977050781,1,0
103,12,27,1,Maslov et al,53,0,2662,0.2623751163482666,709,704
104,13,27,1,ours,1,0,0,0.03358626365661621,1,0
105,13,27,1,ours_random,1,0,0,0.03749728202819824,1,0
106,13,27,1,ours_temp,1,0,0,0.7482991218566895,1,0
107,13,27,1,qiskit transpile,1,0,0,0.004302263259887695,1,0
108,13,27,1,Bravyi et al. (qiskit),1,0,0,0.004038572311401367,1,0
109,13,27,1,Ewout van den Berg (stim),3,0,0,0.004259347915649414,2,0
110,13,27,1,Duncan et al (pyzx),1,0,0,0.00588536262512207,1,0
111,13,27,1,Maslov et al,53,0,2531,0.1728343963623047,350,346
112,14,27,1,ours,0,1,0,0.03238701820373535,1,0
113,14,27,1,ours_random,0,1,0,0.0356142520904541,1,0
114,14,27,1,ours_temp,0,1,0,0.7262470722198486,1,0
115,14,27,1,qiskit transpile,0,1,0,0.004056453704833984,1,0
116,14,27,1,Bravyi et al. (qiskit),0,1,0,0.004154205322265625,1,0
117,14,27,1,Ewout van den Berg (stim),2,1,0,0.004254579544067383,2,0
118,14,27,1,Duncan et al (pyzx),0,1,0,0.006204128265380859,1,0
119,14,27,1,Maslov et al,54,1,2795,0.18744969367980957,500,496
120,15,27,1,ours,0,0,1,0.03384900093078613,1,1
121,15,27,1,ours_random,0,0,1,0.03660321235656738,1,1
122,15,27,1,ours_temp,0,0,1,0.7468681335449219,1,1
123,15,27,1,qiskit transpile,0,0,1,0.004296064376831055,1,1
124,15,27,1,Bravyi et al. (qiskit),0,0,1,0.004050731658935547,1,1
125,15,27,1,Ewout van den Berg (stim),2,0,1,0.004324197769165039,2,1
126,15,27,1,Duncan et al (pyzx),4,0,1,0.006425380706787109,5,1
127,15,27,1,Maslov et al,54,0,2529,0.2610316276550293,360,356
128,16,27,1,ours,0,1,0,0.03249192237854004,1,0
129,16,27,1,ours_random,0,1,0,0.03462028503417969,1,0
130,16,27,1,ours_temp,0,1,0,0.7318220138549805,1,0
131,16,27,1,qiskit transpile,0,1,0,0.004192829132080078,1,0
132,16,27,1,Bravyi et al. (qiskit),0,1,0,0.006041288375854492,1,0
133,16,27,1,Ewout van den Berg (stim),2,1,0,0.00664067268371582,2,0
134,16,27,1,Duncan et al (pyzx),0,1,0,0.009488821029663086,1,0
135,16,27,1,Maslov et al,54,1,2523,0.20145010948181152,350,347
136,17,27,1,ours,0,0,1,0.03468966484069824,1,1
137,17,27,1,ours_random,0,0,1,0.03792881965637207,1,1
138,17,27,1,ours_temp,0,0,1,0.7824699878692627,1,1
139,17,27,1,qiskit transpile,0,0,1,0.004920005798339844,1,1
140,17,27,1,Bravyi et al. (qiskit),0,0,1,0.004866361618041992,1,1
141,17,27,1,Ewout van den Berg (stim),2,0,1,0.005040645599365234,2,1
142,17,27,1,Duncan et al (pyzx),4,0,1,0.007138490676879883,3,1
143,17,27,1,Maslov et al,54,0,2632,0.18396687507629395,595,591
144,18,27,1,ours,1,0,0,0.03343677520751953,1,0
145,18,27,1,ours_random,1,0,0,0.03775191307067871,1,0
146,18,27,1,ours_temp,1,0,0,0.7453973293304443,1,0
147,18,27,1,qiskit transpile,1,0,0,0.004171609878540039,1,0
148,18,27,1,Bravyi et al. (qiskit),1,0,0,0.004099845886230469,1,0
149,18,27,1,Ewout van den Berg (stim),3,0,0,0.0041844844818115234,2,0
150,18,27,1,Duncan et al (pyzx),1,0,0,0.005896329879760742,1,0
151,18,27,1,Maslov et al,53,0,2529,0.25312376022338867,360,356
152,19,27,1,ours,0,0,1,0.03655123710632324,1,1
153,19,27,1,ours_random,0,0,1,0.03755378723144531,1,1
154,19,27,1,ours_temp,0,0,1,0.7560296058654785,1,1
155,19,27,1,qiskit transpile,0,0,1,0.0045735836029052734,1,1
156,19,27,1,Bravyi et al. (qiskit),0,0,1,0.004507303237915039,1,1
157,19,27,1,Ewout van den Berg (stim),2,0,1,0.004741191864013672,2,1
158,19,27,1,Duncan et al (pyzx),4,0,1,0.007016420364379883,5,1
159,19,27,1,Maslov et al,54,0,2530,0.15720319747924805,344,340
160,0,27,41,ours,65,79,289,0.06976771354675293,153,136
161,0,27,41,ours_random,30,50,204,0.05677056312561035,118,103
162,0,27,41,ours_temp,39,36,101,1.3264455795288086,68,54
163,0,27,41,qiskit transpile,8,10,57,0.008130073547363281,28,27
164,0,27,41,Bravyi et al. (qiskit),14,13,76,0.011873722076416016,40,36
165,0,27,41,Ewout van den Berg (stim),18,14,94,0.011634111404418945,38,36
166,0,27,41,Duncan et al (pyzx),95,21,65,0.02394843101501465,45,30
167,0,27,41,Maslov et al,48,177,2815,0.25186586380004883,459,426
168,1,27,41,ours,50,49,124,0.12985897064208984,90,74
169,1,27,41,ours_random,66,52,170,0.057141780853271484,109,93
170,1,27,41,ours_temp,24,23,54,1.1112422943115234,40,30
171,1,27,41,qiskit transpile,15,13,13,0.02356743812561035,6,4
172,1,27,41,Bravyi et al. (qiskit),15,13,39,0.007966041564941406,23,21
173,1,27,41,Ewout van den Berg (stim),15,13,36,0.008925437927246094,20,18
174,1,27,41,Duncan et al (pyzx),58,19,14,0.03360462188720703,15,5
175,1,27,41,Maslov et al,43,85,2549,0.1896653175354004,391,370
176,2,27,41,ours,15,18,18,0.04737997055053711,11,10
177,2,27,41,ours_random,70,78,162,0.051821231842041016,102,72
178,2,27,41,ours_temp,15,18,14,1.0623457431793213,8,5
