,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,7,1,ours,0,1,0,0.0033235549926757812,1,0
1,0,7,1,ours_random,0,1,0,0.002627849578857422,1,0
2,0,7,1,ours_temp,0,1,0,0.05391740798950195,1,0
3,0,7,1,qiskit transpile,0,1,0,0.009863853454589844,1,0
4,0,7,1,Bravyi et al. (qiskit),0,1,0,0.0035750865936279297,1,0
5,0,7,1,Ewout van den Berg (stim),2,1,0,0.004258871078491211,2,0
6,0,7,1,Duncan et al (pyzx),0,1,0,0.005816221237182617,1,0
7,0,7,1,Maslov et al,14,1,177,0.02003765106201172,98,93
8,1,7,1,ours,0,1,0,0.002649545669555664,1,0
9,1,7,1,ours_random,0,1,0,0.0025887489318847656,1,0
10,1,7,1,ours_temp,0,1,0,0.05561971664428711,1,0
11,1,7,1,qiskit transpile,0,1,0,0.003670930862426758,1,0
12,1,7,1,Bravyi et al. (qiskit),0,1,0,0.0034050941467285156,1,0
13,1,7,1,Ewout van den Berg (stim),2,1,0,0.003754138946533203,2,0
14,1,7,1,Duncan et al (pyzx),0,1,0,0.004797458648681641,1,0
15,1,7,1,Maslov et al,14,1,177,0.02303767204284668,98,94
16,2,7,1,ours,0,1,0,0.004113197326660156,1,0
17,2,7,1,ours_random,0,1,0,0.004272937774658203,1,0
18,2,7,1,ours_temp,0,1,0,0.06365442276000977,1,0
19,2,7,1,qiskit transpile,0,1,0,0.0038416385650634766,1,0
20,2,7,1,Bravyi et al. (qiskit),0,1,0,0.0031731128692626953,1,0
21,2,7,1,Ewout van den Berg (stim),2,1,0,0.0036215782165527344,2,0
22,2,7,1,Duncan et al (pyzx),0,1,0,0.004781007766723633,1,0
23,2,7,1,Maslov et al,14,1,177,0.020010709762573242,98,94
24,3,7,1,ours,0,1,0,0.0025582313537597656,1,0
25,3,7,1,ours_random,0,1,0,0.0028269290924072266,1,0
26,3,7,1,ours_temp,0,1,0,0.05288839340209961,1,0
27,3,7,1,qiskit transpile,0,1,0,0.003563404083251953,1,0
28,3,7,1,Bravyi et al. (qiskit),0,1,0,0.0033431053161621094,1,0
29,3,7,1,Ewout van den Berg (stim),2,1,0,0.0035021305084228516,2,0
30,3,7,1,Duncan et al (pyzx),0,1,0,0.004674434661865234,1,0
31,3,7,1,Maslov et al,14,1,177,0.01808476448059082,98,94
32,4,7,1,ours,1,0,0,0.002604961395263672,1,0
33,4,7,1,ours_random,1,0,0,0.0026373863220214844,1,0
34,4,7,1,ours_temp,1,0,0,0.05448508262634277,1,0
35,4,7,1,qiskit transpile,1,0,0,0.0036029815673828125,1,0
36,4,7,1,Bravyi et al. (qiskit),1,0,0,0.003306865692138672,1,0
37,4,7,1,Ewout van den Berg (stim),1,0,0,0.0036995410919189453,1,0
38,4,7,1,Duncan et al (pyzx),1,0,0,0.004802227020263672,1,0
39,4,7,1,Maslov et al,13,0,177,0.02196025848388672,98,94
40,5,7,1,ours,0,0,1,0.004904031753540039,1,1
41,5,7,1,ours_random,0,0,1,0.0050201416015625,1,1
42,5,7,1,ours_temp,0,0,1,0.06769847869873047,1,1
43,5,7,1,qiskit transpile,0,0,1,0.0038118362426757812,1,1
44,5,7,1,Bravyi et al. (qiskit),0,0,1,0.003522634506225586,1,1
45,5,7,1,Ewout van den Berg (stim),0,0,1,0.003865480422973633,1,1
46,5,7,1,Duncan et al (pyzx),4,0,1,0.006407976150512695,3,1
47,5,7,1,Maslov et al,14,0,181,0.019387006759643555,100,96
48,6,7,1,ours,0,1,0,0.0025568008422851562,1,0
49,6,7,1,ours_random,0,1,0,0.0026786327362060547,1,0
50,6,7,1,ours_temp,0,1,0,0.05120420455932617,1,0
51,6,7,1,qiskit transpile,0,1,0,0.0035266876220703125,1,0
52,6,7,1,Bravyi et al. (qiskit),0,1,0,0.0050466060638427734,1,0
53,6,7,1,Ewout van den Berg (stim),2,1,0,0.003912448883056641,2,0
54,6,7,1,Duncan et al (pyzx),0,1,0,0.0048711299896240234,1,0
55,6,7,1,Maslov et al,14,1,177,0.02811598777770996,95,90
56,7,7,1,ours,0,0,1,0.004759311676025391,1,1
57,7,7,1,ours_random,0,0,1,0.004900455474853516,1,1
58,7,7,1,ours_temp,0,0,1,0.05935859680175781,1,1
59,7,7,1,qiskit transpile,0,0,1,0.003676891326904297,1,1
60,7,7,1,Bravyi et al. (qiskit),0,0,1,0.0036613941192626953,1,1
61,7,7,1,Ewout van den Berg (stim),2,0,1,0.003838777542114258,2,1
62,7,7,1,Duncan et al (pyzx),4,0,1,0.006949186325073242,5,1
63,7,7,1,Maslov et al,14,0,176,0.018225431442260742,98,94
64,8,7,1,ours,0,0,1,0.0028028488159179688,1,1
65,8,7,1,ours_random,0,0,1,0.0030837059020996094,1,1
66,8,7,1,ours_temp,0,0,1,0.05801749229431152,1,1
67,8,7,1,qiskit transpile,0,0,1,0.0036568641662597656,1,1
68,8,7,1,Bravyi et al. (qiskit),0,0,1,0.003699064254760742,1,1
69,8,7,1,Ewout van den Berg (stim),2,0,1,0.0038099288940429688,2,1
70,8,7,1,Duncan et al (pyzx),4,0,1,0.006444454193115234,3,1
