,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,0,0,1,0.0024220943450927734,1,1.0
1,0,5,1,ours_random,0,0,1,0.001986980438232422,1,1.0
2,0,5,1,ours_temp,0,0,1,0.04121804237365723,1,1.0
3,0,5,1,qiskit transpile,0,0,1,0.01049351692199707,1,
4,0,5,1,Bravyi et al. (qiskit),0,0,1,0.0034554004669189453,1,1.0
5,0,5,1,Ewout van den Berg (stim),0,0,1,0.003940105438232422,1,1.0
6,0,5,1,Duncan et al (pyzx),4,0,1,0.006090641021728516,5,1.0
7,0,5,1,Maslov et al,10,0,77,0.013404607772827148,69,66.0
8,1,5,1,ours,0,1,0,0.0017189979553222656,1,0.0
9,1,5,1,ours_random,0,1,0,0.001692056655883789,1,0.0
10,1,5,1,ours_temp,0,1,0,0.03202509880065918,1,0.0
11,1,5,1,qiskit transpile,0,1,0,0.0033004283905029297,1,
12,1,5,1,Bravyi et al. (qiskit),0,1,0,0.0031189918518066406,1,0.0
13,1,5,1,Ewout van den Berg (stim),2,1,0,0.0033371448516845703,2,0.0
14,1,5,1,Duncan et al (pyzx),0,1,0,0.00432896614074707,1,0.0
15,1,5,1,Maslov et al,10,1,78,0.012908220291137695,69,66.0
16,2,5,1,ours,0,1,0,0.0015590190887451172,1,0.0
17,2,5,1,ours_random,0,1,0,0.0014388561248779297,1,0.0
18,2,5,1,ours_temp,0,1,0,0.03226900100708008,1,0.0
19,2,5,1,qiskit transpile,0,1,0,0.0033845901489257812,1,
20,2,5,1,Bravyi et al. (qiskit),0,1,0,0.0038993358612060547,1,0.0
21,2,5,1,Ewout van den Berg (stim),2,1,0,0.0034215450286865234,2,0.0
22,2,5,1,Duncan et al (pyzx),0,1,0,0.004380941390991211,1,0.0
23,2,5,1,Maslov et al,10,1,78,0.012729644775390625,69,66.0
24,3,5,1,ours,1,0,0,0.001575469970703125,1,0.0
25,3,5,1,ours_random,1,0,0,0.0014553070068359375,1,0.0
26,3,5,1,ours_temp,1,0,0,0.031197309494018555,1,0.0
27,3,5,1,qiskit transpile,1,0,0,0.0033631324768066406,1,
28,3,5,1,Bravyi et al. (qiskit),1,0,0,0.0032503604888916016,1,0.0
29,3,5,1,Ewout van den Berg (stim),3,0,0,0.003269195556640625,2,0.0
30,3,5,1,Duncan et al (pyzx),1,0,0,0.0041158199310302734,1,0.0
31,3,5,1,Maslov et al,9,0,78,0.01256561279296875,69,66.0
32,4,5,1,ours,0,1,0,0.0015478134155273438,1,0.0
33,4,5,1,ours_random,0,1,0,0.0013556480407714844,1,0.0
34,4,5,1,ours_temp,0,1,0,0.03146791458129883,1,0.0
35,4,5,1,qiskit transpile,0,1,0,0.003221750259399414,1,
