n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,7,1,pauliopt_steiner_nc,8,9,11,8,0.056255
0,7,1,pauliopt_divide_conquer,8,9,14,8,0.046714
0,7,1,paulihedral,12,9,15,12,0.070713
0,7,1,tket_uccs_pair,8,12,9,6,0.097197
0,7,1,pauliopt_ucc,10,12,14,9,0.077063
0,7,1,pauliopt_steiner_clifford,8,12,14,8,0.078133
0,7,1,tket_uccs_set,8,12,9,6,0.12735
0,7,1,naive,8,9,11,8,0.010922
1,7,1,tket_uccs_set,6,12,7,4,0.037344
1,7,1,tket_uccs_pair,6,12,7,4,0.043151
1,7,1,paulihedral,4,8,7,4,0.007928
1,7,1,pauliopt_steiner_nc,6,9,9,6,0.012209
1,7,1,pauliopt_steiner_clifford,6,11,11,6,0.017598
1,7,1,naive,6,9,9,6,0.019674
2,7,1,paulihedral,2,6,5,2,0.006112
2,7,1,pauliopt_steiner_nc,4,7,7,4,0.006295
1,7,1,pauliopt_divide_conquer,6,5,8,6,0.051444
2,7,1,pauliopt_ucc,4,3,5,4,0.012727
1,7,1,pauliopt_ucc,6,12,12,6,0.073346
2,7,1,pauliopt_steiner_clifford,4,6,6,4,0.010784
2,7,1,tket_uccs_set,4,11,7,4,0.075049
2,7,1,pauliopt_divide_conquer,4,1,5,4,0.034628
2,7,1,tket_uccs_pair,4,11,7,4,0.079907
2,7,1,naive,4,7,7,4,0.00904
3,7,1,tket_uccs_set,6,9,7,4,0.033947
3,7,1,paulihedral,4,3,6,4,0.011847
3,7,1,tket_uccs_pair,6,9,7,4,0.033852
3,7,1,pauliopt_steiner_nc,6,3,9,6,0.00767
3,7,1,pauliopt_ucc,6,5,9,5,0.024801
3,7,1,pauliopt_steiner_clifford,6,3,9,6,0.014584
3,7,1,pauliopt_divide_conquer,7,8,11,7,0.030801
3,7,1,naive,6,3,7,6,0.010572
4,7,1,paulihedral,2,2,3,2,0.008005
4,7,1,tket_uccs_pair,4,9,7,4,0.023733
4,7,1,tket_uccs_set,4,9,7,4,0.028261
4,7,1,pauliopt_steiner_nc,4,3,5,4,0.009642
4,7,1,pauliopt_ucc,4,3,7,4,0.014522
4,7,1,pauliopt_divide_conquer,4,1,5,4,0.014729
4,7,1,pauliopt_steiner_clifford,4,3,5,4,0.019162
5,7,1,tket_uccs_set,4,11,7,4,0.024808
4,7,1,naive,4,3,7,4,0.007011
5,7,1,paulihedral,2,6,5,2,0.007833
5,7,1,tket_uccs_pair,4,11,7,4,0.026667
5,7,1,pauliopt_steiner_nc,4,7,7,4,0.00704
5,7,1,pauliopt_ucc,4,8,9,4,0.016326
5,7,1,pauliopt_steiner_clifford,4,8,8,4,0.015028
5,7,1,pauliopt_divide_conquer,4,4,6,4,0.019537
5,7,1,naive,4,7,7,4,0.008079
6,7,1,tket_uccs_set,6,11,7,4,0.031155
6,7,1,tket_uccs_pair,6,11,7,4,0.030112
6,7,1,paulihedral,4,6,7,4,0.006544
6,7,1,pauliopt_steiner_nc,6,7,9,6,0.008086
6,7,1,pauliopt_ucc,6,10,10,6,0.018484
6,7,1,pauliopt_divide_conquer,6,7,11,6,0.023615
6,7,1,pauliopt_steiner_clifford,6,8,10,6,0.019965
6,7,1,naive,6,7,9,6,0.006632
7,7,1,paulihedral,12,5,15,12,0.013394
7,7,1,tket_uccs_set,8,10,8,6,0.030575
7,7,1,tket_uccs_pair,8,10,8,6,0.043952
7,7,1,pauliopt_steiner_nc,8,5,11,8,0.016669
7,7,1,pauliopt_ucc,8,8,13,7,0.019247
7,7,1,pauliopt_divide_conquer,8,7,13,8,0.022376
7,7,1,pauliopt_steiner_clifford,8,6,12,8,0.017118
7,7,1,naive,8,5,11,8,0.007023
8,7,1,tket_uccs_set,0,7,1,0,0.023767
8,7,1,tket_uccs_pair,0,7,1,0,0.024108
8,7,1,paulihedral,0,1,1,0,0.005015
8,7,1,pauliopt_steiner_nc,0,1,1,0,0.004139
8,7,1,pauliopt_ucc,0,1,1,0,0.011104
8,7,1,pauliopt_divide_conquer,0,1,1,0,0.015219
8,7,1,naive,0,1,1,0,0.007816
8,7,1,pauliopt_steiner_clifford,0,1,1,0,0.009772
9,7,1,paulihedral,22,11,25,22,0.014446
9,7,1,tket_uccs_set,10,13,9,6,0.037644
9,7,1,tket_uccs_pair,10,13,9,6,0.039448
9,7,1,pauliopt_steiner_nc,10,11,13,10,0.008431
9,7,1,pauliopt_ucc,10,14,13,8,0.021684
9,7,1,pauliopt_divide_conquer,28,17,37,26,0.024146
9,7,1,pauliopt_steiner_clifford,10,14,16,10,0.015063
9,7,1,naive,10,11,13,10,0.017687
10,7,1,tket_uccs_set,0,7,1,0,0.024899
10,7,1,paulihedral,0,1,1,0,0.004282
10,7,1,tket_uccs_pair,0,7,1,0,0.022385
10,7,1,pauliopt_steiner_nc,0,1,1,0,0.005169
10,7,1,pauliopt_ucc,0,1,1,0,0.011236
10,7,1,pauliopt_divide_conquer,0,1,1,0,0.025107
10,7,1,pauliopt_steiner_clifford,0,1,1,0,0.008288
10,7,1,naive,0,1,1,0,0.005374
11,7,1,paulihedral,12,9,15,12,0.010881
11,7,1,tket_uccs_set,8,12,9,6,0.030178
11,7,1,pauliopt_steiner_nc,8,9,11,8,0.010992
11,7,1,tket_uccs_pair,8,12,9,6,0.038524
11,7,1,pauliopt_ucc,8,12,14,7,0.022989
11,7,1,pauliopt_divide_conquer,26,13,31,24,0.024198
11,7,1,pauliopt_steiner_clifford,8,12,14,8,0.017029
11,7,1,naive,8,9,11,8,0.011184
12,7,1,tket_uccs_set,4,11,7,4,0.02441
12,7,1,paulihedral,2,6,5,2,0.00659
12,7,1,tket_uccs_pair,4,11,7,4,0.025243
12,7,1,pauliopt_steiner_nc,4,7,7,4,0.008201
12,7,1,pauliopt_ucc,4,8,9,4,0.015184
12,7,1,pauliopt_divide_conquer,4,4,6,4,0.020488
12,7,1,pauliopt_steiner_clifford,4,8,8,4,0.01292
12,7,1,naive,4,7,7,4,0.00862
