n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,7,1,paulihedral,12,9,15,12,0.041633
2,7,1,paulihedral,2,6,5,2,0.038806
3,7,1,paulihedral,4,3,6,4,0.037884
4,7,1,paulihedral,2,2,3,2,0.036998
5,7,1,paulihedral,2,6,5,2,0.037955
6,7,1,paulihedral,4,6,7,4,0.040174
7,7,1,paulihedral,12,5,15,12,0.039576
8,7,1,paulihedral,0,1,1,0,0.035924
10,7,1,paulihedral,0,1,1,0,0.035722
9,7,1,paulihedral,22,11,25,22,0.040767
11,7,1,paulihedral,12,9,15,12,0.040099
12,7,1,paulihedral,2,6,5,2,0.039334
14,7,1,paulihedral,0,1,1,0,0.035808
13,7,1,paulihedral,22,9,24,22,0.041605
1,7,1,paulihedral,4,8,7,4,0.040501
16,7,1,paulihedral,2,2,3,2,0.032745
15,7,1,paulihedral,2,4,5,2,0.03819
17,7,1,paulihedral,2,6,5,2,0.037692
18,7,1,paulihedral,2,6,5,2,0.038746
19,7,1,paulihedral,12,7,14,12,0.058454
18,7,21,paulihedral,116,73,138,109,0.110763
0,7,21,paulihedral,176,75,194,167,0.125299
19,7,21,paulihedral,100,65,120,94,0.111422
15,7,21,paulihedral,122,65,139,112,0.118235
5,7,21,paulihedral,98,54,117,96,0.132271
3,7,21,paulihedral,108,63,128,102,0.142921
1,7,21,paulihedral,182,77,209,180,0.149615
14,7,21,paulihedral,98,65,114,89,0.139094
7,7,21,paulihedral,168,81,195,163,0.150839
10,7,21,paulihedral,154,79,173,145,0.15171
11,7,21,paulihedral,152,84,175,144,0.15367
8,7,21,paulihedral,180,78,202,173,0.15606
17,7,21,paulihedral,122,70,148,118,0.148969
2,7,21,paulihedral,192,88,217,185,0.170303
12,7,21,paulihedral,148,85,174,141,0.168469
9,7,21,paulihedral,174,77,195,166,0.181229
4,7,21,paulihedral,162,85,178,149,0.185214
16,7,21,paulihedral,170,86,196,161,0.180733
6,7,21,paulihedral,202,97,223,191,0.194732
13,7,21,paulihedral,244,98,269,235,0.200411
7,7,41,paulihedral,218,123,252,205,0.204651
15,7,41,paulihedral,242,117,264,225,0.214331
16,7,41,paulihedral,290,140,335,278,0.183604
5,7,41,paulihedral,264,131,303,253,0.242982
4,7,41,paulihedral,250,134,292,240,0.247939
13,7,41,paulihedral,248,129,289,239,0.245963
0,7,41,paulihedral,296,153,341,282,0.262493
11,7,41,paulihedral,268,132,305,257,0.251781
8,7,41,paulihedral,306,147,349,293,0.258751
2,7,41,paulihedral,334,155,376,320,0.267413
14,7,41,paulihedral,248,138,290,237,0.26088
18,7,41,paulihedral,280,133,333,274,0.265238
