n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,7,1,paulihedral,10,5,12,9,0.024396
0,7,1,pauliopt_steiner_nc,10,5,13,10,0.024436
0,7,1,pauliopt_steiner_clifford,10,9,16,10,0.022334
0,7,1,pauliopt_ucc,43,12,38,35,0.030524
0,7,1,naive,10,5,13,10,0.007247
0,7,1,pauliopt_divide_conquer,14,8,12,8,0.0436
0,7,1,tket_uccs_pair,16,10,17,13,0.057848
0,7,1,tket_uccs_set,16,10,17,13,0.059802
1,7,1,tket_uccs_set,4,10,7,4,0.024941
1,7,1,paulihedral,4,5,7,4,0.009166
1,7,1,pauliopt_steiner_nc,4,5,7,4,0.008849
1,7,1,tket_uccs_pair,4,10,7,4,0.026128
1,7,1,pauliopt_ucc,9,8,13,9,0.015638
1,7,1,pauliopt_divide_conquer,12,9,13,10,0.020237
1,7,1,naive,4,5,7,4,0.008073
1,7,1,pauliopt_steiner_clifford,4,6,8,4,0.013623
2,7,1,paulihedral,5,1,6,5,0.004775
2,7,1,tket_uccs_pair,2,8,4,2,0.019724
2,7,1,tket_uccs_set,2,8,4,2,0.025635
2,7,1,pauliopt_steiner_nc,6,1,7,6,0.011567
2,7,1,pauliopt_ucc,12,1,12,12,0.015384
2,7,1,pauliopt_divide_conquer,2,1,3,2,0.011903
2,7,1,naive,6,1,7,6,0.009209
3,7,1,paulihedral,7,3,8,7,0.005927
3,7,1,tket_uccs_set,4,9,6,4,0.020945
3,7,1,pauliopt_steiner_nc,8,3,11,8,0.007575
3,7,1,tket_uccs_pair,4,9,6,4,0.020759
3,7,1,pauliopt_ucc,10,3,9,8,0.015789
3,7,1,pauliopt_steiner_clifford,0,1,1,0,0.010325
3,7,1,naive,8,3,9,8,0.008198
3,7,1,pauliopt_divide_conquer,22,20,29,20,0.020493
4,7,1,tket_uccs_set,2,9,5,2,0.0194
4,7,1,paulihedral,11,3,13,11,0.008289
4,7,1,tket_uccs_pair,2,9,5,2,0.019079
4,7,1,pauliopt_steiner_nc,14,3,17,14,0.00874
4,7,1,pauliopt_ucc,30,3,31,29,0.017778
4,7,1,pauliopt_divide_conquer,6,10,11,6,0.016284
4,7,1,pauliopt_steiner_clifford,11,2,12,11,0.010434
4,7,1,naive,14,3,15,14,0.011051
5,7,1,tket_uccs_set,0,7,1,0,0.018542
5,7,1,paulihedral,0,1,1,0,0.006743
5,7,1,pauliopt_steiner_nc,0,1,1,0,0.004147
5,7,1,tket_uccs_pair,0,7,1,0,0.020492
5,7,1,pauliopt_ucc,0,1,1,0,0.010716
5,7,1,pauliopt_divide_conquer,0,1,1,0,0.010924
5,7,1,pauliopt_steiner_clifford,0,1,1,0,0.009041
5,7,1,naive,0,1,1,0,0.009434
6,7,1,tket_uccs_set,0,7,1,0,0.020055
6,7,1,paulihedral,0,1,1,0,0.004948
6,7,1,tket_uccs_pair,0,7,1,0,0.019546
6,7,1,pauliopt_steiner_nc,0,1,1,0,0.004027
6,7,1,pauliopt_ucc,0,1,1,0,0.011176
6,7,1,pauliopt_divide_conquer,0,1,1,0,0.011316
6,7,1,pauliopt_steiner_clifford,0,1,1,0,0.009251
6,7,1,naive,0,1,1,0,0.005153
7,7,1,paulihedral,10,13,12,9,0.005915
7,7,1,pauliopt_steiner_nc,10,13,13,10,0.008204
7,7,1,pauliopt_ucc,45,25,53,43,0.025097
7,7,1,tket_uccs_set,16,14,17,13,0.053225
7,7,1,pauliopt_steiner_clifford,10,16,16,10,0.015369
7,7,1,pauliopt_divide_conquer,29,20,36,26,0.029116
7,7,1,tket_uccs_pair,16,14,17,13,0.05973
7,7,1,naive,10,13,13,10,0.016888
8,7,1,tket_uccs_set,2,10,5,2,0.021273
8,7,1,paulihedral,2,5,5,2,0.006678
8,7,1,tket_uccs_pair,2,10,5,2,0.019908
8,7,1,pauliopt_steiner_nc,2,5,5,2,0.00516
8,7,1,pauliopt_ucc,11,6,14,11,0.015584
8,7,1,pauliopt_divide_conquer,2,4,5,2,0.013786
8,7,1,naive,2,5,5,2,0.006008
8,7,1,pauliopt_steiner_clifford,11,6,14,11,0.013381
9,7,1,paulihedral,15,7,17,14,0.007118
9,7,1,pauliopt_steiner_nc,14,7,17,14,0.007341
9,7,1,tket_uccs_set,6,11,7,4,0.02387
9,7,1,tket_uccs_pair,6,11,7,4,0.026726
9,7,1,pauliopt_ucc,44,17,38,32,0.020252
9,7,1,pauliopt_divide_conquer,10,8,11,6,0.015863
9,7,1,pauliopt_steiner_clifford,2,4,5,2,0.01543
9,7,1,naive,14,7,17,14,0.014397
10,7,1,tket_uccs_set,6,9,7,4,0.022315
10,7,1,paulihedral,15,3,15,14,0.010607
10,7,1,pauliopt_steiner_nc,14,3,17,14,0.009248
10,7,1,tket_uccs_pair,6,9,7,4,0.023519
10,7,1,pauliopt_ucc,40,9,34,29,0.0171
10,7,1,pauliopt_steiner_clifford,0,1,1,0,0.011263
10,7,1,pauliopt_divide_conquer,14,7,17,12,0.019357
10,7,1,naive,14,3,15,14,0.010035
11,7,1,paulihedral,13,3,12,10,0.005834
11,7,1,tket_uccs_set,4,9,7,4,0.025173
11,7,1,tket_uccs_pair,4,9,7,4,0.021449
11,7,1,pauliopt_steiner_nc,16,3,17,16,0.008332
11,7,1,pauliopt_ucc,39,5,38,36,0.014506
11,7,1,pauliopt_divide_conquer,4,8,9,4,0.01427
11,7,1,naive,20,3,21,20,0.012777
12,7,1,paulihedral,9,5,11,8,0.005722
12,7,1,tket_uccs_set,6,10,7,4,0.024199
12,7,1,pauliopt_steiner_nc,10,5,13,10,0.009485
12,7,1,tket_uccs_pair,6,10,7,4,0.020759
12,7,1,pauliopt_ucc,24,7,24,22,0.017094
12,7,1,pauliopt_steiner_clifford,11,2,12,11,0.011279
12,7,1,pauliopt_divide_conquer,11,13,14,9,0.019634
12,7,1,naive,10,5,13,10,0.006024
13,7,1,tket_uccs_set,2,9,5,2,0.019652
13,7,1,tket_uccs_pair,2,9,5,2,0.017837
13,7,1,paulihedral,11,3,14,11,0.005332
13,7,1,pauliopt_steiner_nc,14,3,15,14,0.006358
13,7,1,pauliopt_ucc,32,3,30,29,0.01524
13,7,1,pauliopt_divide_conquer,10,1,11,10,0.017762
13,7,1,naive,14,3,17,14,0.006657
14,7,1,tket_uccs_set,6,11,7,4,0.019752
14,7,1,paulihedral,15,7,17,14,0.007995
14,7,1,tket_uccs_pair,6,11,7,4,0.018909
14,7,1,pauliopt_ucc,40,10,31,29,0.020208
14,7,1,pauliopt_divide_conquer,16,13,23,16,0.022683
14,7,1,pauliopt_steiner_clifford,0,1,1,0,0.012547
14,7,1,pauliopt_steiner_nc,14,7,17,14,0.067481
15,7,1,tket_uccs_set,2,9,5,2,0.030571
15,7,1,paulihedral,5,3,7,5,0.010015
15,7,1,pauliopt_steiner_nc,6,3,9,6,0.010833
15,7,1,pauliopt_ucc,12,5,14,12,0.018364
14,7,1,naive,14,7,17,14,0.078498
15,7,1,pauliopt_divide_conquer,7,7,10,7,0.014176
15,7,1,pauliopt_steiner_clifford,11,2,12,11,0.0084
15,7,1,tket_uccs_pair,2,9,5,2,0.018289
15,7,1,naive,6,3,7,6,0.011076
16,7,1,paulihedral,8,3,11,8,0.006395
16,7,1,tket_uccs_set,2,9,5,2,0.019204
16,7,1,pauliopt_steiner_nc,10,3,11,10,0.00617
16,7,1,tket_uccs_pair,2,9,5,2,0.020164
16,7,1,pauliopt_ucc,22,3,22,21,0.012684
16,7,1,pauliopt_divide_conquer,26,5,27,24,0.016259
16,7,1,naive,10,3,13,10,0.006446
17,7,1,tket_uccs_set,0,7,1,0,0.018051
17,7,1,paulihedral,0,1,1,0,0.008276
17,7,1,tket_uccs_pair,0,7,1,0,0.018821
17,7,1,pauliopt_steiner_nc,0,1,1,0,0.004142
17,7,1,pauliopt_ucc,0,1,1,0,0.013343
17,7,1,pauliopt_divide_conquer,0,1,1,0,0.011539
17,7,1,pauliopt_steiner_clifford,0,1,1,0,0.009665
17,7,1,naive,0,1,1,0,0.005517
18,7,1,paulihedral,7,5,9,7,0.006443
18,7,1,tket_uccs_set,4,10,7,4,0.028444
18,7,1,tket_uccs_pair,4,10,7,4,0.028717
18,7,1,pauliopt_steiner_nc,8,5,9,8,0.006965
18,7,1,pauliopt_ucc,14,5,13,12,0.013665
18,7,1,pauliopt_divide_conquer,14,11,15,10,0.015688
18,7,1,naive,8,5,11,8,0.008025
19,7,1,tket_uccs_set,4,10,7,4,0.020487
19,7,1,tket_uccs_pair,4,10,7,4,0.019519
19,7,1,paulihedral,4,5,7,4,0.00394
19,7,1,pauliopt_ucc,4,5,7,4,0.011973
19,7,1,pauliopt_divide_conquer,29,30,37,25,0.021383
19,7,1,pauliopt_steiner_nc,4,5,7,4,0.005153
19,7,1,pauliopt_steiner_clifford,4,5,7,4,0.009303
19,7,1,naive,4,5,7,4,0.004909
0,7,21,tket_uccs_set,249,86,248,205,0.420498
0,7,21,paulihedral,174,97,182,145,0.030019
0,7,21,tket_uccs_pair,267,100,260,212,0.463732
0,7,21,pauliopt_steiner_nc,160,84,181,147,0.037589
0,7,21,pauliopt_ucc,264,122,227,200,0.095991
0,7,21,pauliopt_steiner_clifford,95,63,89,72,0.03615
0,7,21,naive,186,93,215,181,0.045346
0,7,21,pauliopt_divide_conquer,183,164,216,152,0.223186
1,7,21,tket_uccs_set,313,94,263,226,0.489261
1,7,21,paulihedral,177,111,185,143,0.029512
1,7,21,tket_uccs_pair,245,108,228,179,0.493905
1,7,21,pauliopt_steiner_nc,218,97,233,197,0.047673
1,7,21,pauliopt_ucc,258,117,227,194,0.119552
1,7,21,pauliopt_steiner_clifford,99,71,88,68,0.042397
1,7,21,naive,232,103,262,228,0.050504
1,7,21,pauliopt_divide_conquer,140,130,165,115,0.243684
2,7,21,tket_uccs_set,284,73,240,213,0.159058
2,7,21,paulihedral,182,102,184,144,0.027614
2,7,21,pauliopt_steiner_nc,162,85,184,151,0.040523
2,7,21,pauliopt_ucc,255,118,221,196,0.140168
2,7,21,tket_uccs_pair,217,86,188,150,0.360634
2,7,21,pauliopt_steiner_clifford,86,54,72,58,0.032542
2,7,21,naive,192,93,222,189,0.040381
2,7,21,pauliopt_divide_conquer,192,182,218,147,0.229649
3,7,21,tket_uccs_set,285,82,261,226,0.429309
3,7,21,paulihedral,168,101,181,142,0.027994
3,7,21,tket_uccs_pair,250,92,217,184,0.369501
3,7,21,pauliopt_steiner_nc,172,87,202,168,0.041113
3,7,21,pauliopt_ucc,256,118,228,197,0.101593
3,7,21,pauliopt_steiner_clifford,109,71,90,74,0.045552
3,7,21,naive,212,99,244,210,0.045064
3,7,21,pauliopt_divide_conquer,177,164,219,152,0.232965
4,7,21,tket_uccs_set,225,80,217,180,0.389158
4,7,21,paulihedral,180,109,174,135,0.029333
4,7,21,tket_uccs_pair,241,95,219,180,0.426759
4,7,21,pauliopt_steiner_nc,160,96,196,159,0.040681
4,7,21,pauliopt_ucc,264,112,230,205,0.108488
4,7,21,pauliopt_steiner_clifford,111,71,103,85,0.037549
4,7,21,naive,188,101,215,180,0.035474
4,7,21,pauliopt_divide_conquer,222,161,233,179,0.238933
5,7,21,tket_uccs_set,225,66,209,179,0.453928
5,7,21,tket_uccs_pair,193,80,178,147,0.411381
5,7,21,paulihedral,172,89,189,155,0.026266
5,7,21,pauliopt_steiner_nc,152,80,182,147,0.039202
5,7,21,pauliopt_ucc,255,120,219,186,0.094069
5,7,21,pauliopt_steiner_clifford,90,72,83,69,0.037592
5,7,21,naive,178,88,207,176,0.03381
5,7,21,pauliopt_divide_conquer,161,138,183,136,0.210753
6,7,21,tket_uccs_set,271,70,236,204,0.438129
6,7,21,tket_uccs_pair,179,81,166,128,0.402302
6,7,21,paulihedral,150,80,161,121,0.024273
6,7,21,pauliopt_steiner_nc,180,80,180,146,0.037255
6,7,21,pauliopt_ucc,226,112,203,170,0.083804
6,7,21,pauliopt_steiner_clifford,90,70,93,72,0.036394
6,7,21,naive,192,83,209,182,0.029584
6,7,21,pauliopt_divide_conquer,160,148,187,133,0.207004
7,7,21,tket_uccs_set,255,73,238,204,0.361779
7,7,21,paulihedral,160,92,173,139,0.025772
7,7,21,pauliopt_steiner_nc,172,77,192,163,0.039852
7,7,21,tket_uccs_pair,245,83,241,203,0.415866
7,7,21,pauliopt_ucc,239,96,200,175,0.081185
7,7,21,pauliopt_steiner_clifford,106,75,88,72,0.038329
7,7,21,naive,212,83,242,212,0.032584
7,7,21,pauliopt_divide_conquer,165,141,187,136,0.199025
8,7,21,tket_uccs_set,285,80,271,233,0.387628
8,7,21,paulihedral,156,99,172,133,0.02854
8,7,21,tket_uccs_pair,237,95,219,174,0.361336
8,7,21,pauliopt_steiner_nc,174,90,197,158,0.03922
8,7,21,pauliopt_ucc,262,123,225,197,0.144347
8,7,21,pauliopt_steiner_clifford,91,73,88,65,0.035845
8,7,21,naive,186,97,217,182,0.032227
8,7,21,pauliopt_divide_conquer,208,161,238,175,0.215543
9,7,21,tket_uccs_set,199,80,180,148,0.396525
9,7,21,paulihedral,169,81,171,136,0.024315
9,7,21,tket_uccs_pair,205,81,187,155,0.436827
9,7,21,pauliopt_steiner_nc,128,70,139,113,0.03587
9,7,21,pauliopt_ucc,201,94,167,144,0.07719
9,7,21,pauliopt_steiner_clifford,95,61,83,66,0.032489
9,7,21,naive,138,80,155,130,0.035151
9,7,21,pauliopt_divide_conquer,132,115,151,103,0.188013
10,7,21,tket_uccs_set,210,66,194,167,0.397516
10,7,21,tket_uccs_pair,187,69,161,137,0.37139
10,7,21,paulihedral,152,74,153,119,0.025611
10,7,21,pauliopt_steiner_nc,158,67,168,139,0.034011
10,7,21,pauliopt_ucc,207,110,199,168,0.080103
10,7,21,pauliopt_steiner_clifford,68,54,67,53,0.02943
10,7,21,naive,170,72,192,162,0.027971
10,7,21,pauliopt_divide_conquer,161,130,184,128,0.191961
11,7,21,tket_uccs_set,284,86,267,228,0.428061
11,7,21,paulihedral,225,102,233,189,0.02841
11,7,21,tket_uccs_pair,237,96,221,182,0.43011
11,7,21,pauliopt_steiner_nc,196,88,215,180,0.041636
11,7,21,pauliopt_ucc,241,117,227,188,0.089789
11,7,21,pauliopt_steiner_clifford,96,68,84,65,0.037331
11,7,21,naive,216,96,246,212,0.033747
11,7,21,pauliopt_divide_conquer,195,155,227,168,0.212197
12,7,21,tket_uccs_pair,199,88,187,147,0.157085
12,7,21,paulihedral,149,88,156,124,0.025826
12,7,21,pauliopt_steiner_nc,160,83,193,160,0.039308
12,7,21,tket_uccs_set,242,77,207,178,0.374198
12,7,21,pauliopt_ucc,198,99,174,146,0.078835
12,7,21,pauliopt_steiner_clifford,102,73,91,69,0.039415
12,7,21,naive,168,85,189,159,0.030744
12,7,21,pauliopt_divide_conquer,196,161,223,161,0.21575
13,7,21,tket_uccs_set,299,83,260,222,0.207852
13,7,21,paulihedral,179,93,193,154,0.026438
13,7,21,pauliopt_steiner_nc,200,90,210,174,0.042115
13,7,21,pauliopt_ucc,233,117,212,182,0.084564
13,7,21,tket_uccs_pair,228,97,237,192,0.435077
13,7,21,pauliopt_steiner_clifford,95,57,83,72,0.035234
13,7,21,pauliopt_divide_conquer,173,145,208,149,0.210748
13,7,21,naive,204,92,233,201,0.041199
14,7,21,tket_uccs_pair,202,82,175,143,0.165746
14,7,21,paulihedral,130,86,138,111,0.024074
14,7,21,pauliopt_steiner_nc,146,76,152,126,0.034375
14,7,21,pauliopt_ucc,233,121,204,171,0.085995
14,7,21,tket_uccs_set,226,67,206,179,0.413702
14,7,21,pauliopt_steiner_clifford,86,56,79,64,0.030558
14,7,21,naive,180,80,204,180,0.031967
14,7,21,pauliopt_divide_conquer,159,141,189,131,0.195659
15,7,21,tket_uccs_set,238,77,225,189,0.420903
15,7,21,paulihedral,178,106,190,143,0.02873
15,7,21,pauliopt_steiner_nc,190,86,206,168,0.041698
15,7,21,tket_uccs_pair,240,91,205,172,0.426494
15,7,21,pauliopt_ucc,258,127,220,186,0.089876
15,7,21,pauliopt_steiner_clifford,96,74,85,68,0.039543
15,7,21,naive,218,96,244,208,0.034625
15,7,21,pauliopt_divide_conquer,163,132,189,135,0.201835
16,7,21,tket_uccs_set,253,80,238,202,0.357748
16,7,21,paulihedral,159,91,172,130,0.027298
16,7,21,pauliopt_steiner_nc,162,84,174,140,0.037026
16,7,21,tket_uccs_pair,238,92,209,175,0.437888
16,7,21,pauliopt_ucc,237,118,213,176,0.089143
16,7,21,pauliopt_steiner_clifford,104,68,96,81,0.037849
16,7,21,naive,192,88,223,188,0.032944
16,7,21,pauliopt_divide_conquer,179,147,218,153,0.208569
17,7,21,tket_uccs_set,254,80,223,189,0.487169
