n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,7,1,paulihedral,10,5,12,9,0.039043
1,7,1,paulihedral,4,5,7,4,0.04598
4,7,1,paulihedral,11,3,13,11,0.040717
7,7,1,paulihedral,10,13,12,9,0.045912
12,7,1,paulihedral,9,5,11,8,0.039006
10,7,1,paulihedral,15,3,15,14,0.050807
13,7,1,paulihedral,11,3,14,11,0.046317
15,7,1,paulihedral,5,3,7,5,0.046301
19,7,1,paulihedral,4,5,7,4,0.041014
11,7,1,paulihedral,13,3,12,10,0.071139
18,7,1,paulihedral,7,5,9,7,0.054508
5,7,1,paulihedral,0,1,1,0,0.132521
14,7,1,paulihedral,15,7,17,14,0.046896
2,7,1,paulihedral,5,1,6,5,0.140382
9,7,1,paulihedral,15,7,17,14,0.124682
17,7,1,paulihedral,0,1,1,0,0.059094
8,7,1,paulihedral,2,5,5,2,0.144693
6,7,1,paulihedral,0,1,1,0,0.165497
3,7,21,paulihedral,168,101,181,142,0.123447
9,7,21,paulihedral,169,81,171,136,0.147634
10,7,21,paulihedral,152,74,153,119,0.149036
16,7,1,paulihedral,8,3,11,8,0.125202
13,7,21,paulihedral,179,93,193,154,0.154352
2,7,41,paulihedral,309,172,330,254,0.209427
17,7,21,paulihedral,170,98,181,142,0.151147
15,7,21,paulihedral,178,106,190,143,0.151989
0,7,21,paulihedral,174,97,182,145,0.137069
6,7,21,paulihedral,150,80,161,121,0.154582
16,7,21,paulihedral,159,91,172,130,0.149317
14,7,21,paulihedral,130,86,138,111,0.148081
11,7,21,paulihedral,225,102,233,189,0.158909
7,7,21,paulihedral,160,92,173,139,0.155275
3,7,1,paulihedral,7,3,8,7,0.164291
2,7,21,paulihedral,182,102,184,144,0.172804
8,7,21,paulihedral,156,99,172,133,0.171428
1,7,21,paulihedral,177,111,185,143,0.178076
18,7,21,paulihedral,177,93,190,145,0.162134
12,7,21,paulihedral,149,88,156,124,0.174261
19,7,21,paulihedral,171,110,186,146,0.173905
5,7,21,paulihedral,172,89,189,155,0.18342
4,7,21,paulihedral,180,109,174,135,0.184157
18,7,41,paulihedral,311,175,310,242,0.166507
9,7,41,paulihedral,284,154,272,211,0.17971
1,7,41,paulihedral,311,177,329,252,0.185683
5,7,41,paulihedral,298,154,321,251,0.181937
6,7,41,paulihedral,304,163,308,240,0.190706
8,7,41,paulihedral,336,180,344,270,0.192056
4,7,41,paulihedral,277,179,320,245,0.195064
0,7,41,paulihedral,333,180,347,269,0.196879
17,7,41,paulihedral,267,155,275,214,0.185514
12,7,41,paulihedral,323,186,342,267,0.196716
10,7,41,paulihedral,308,169,331,263,0.195836
15,7,41,paulihedral,282,158,287,223,0.190963
19,7,41,paulihedral,302,170,314,245,0.194574
7,7,41,paulihedral,367,195,391,311,0.207597
14,7,41,paulihedral,307,185,342,262,0.199117
11,7,41,paulihedral,322,191,335,257,0.204751
3,7,41,paulihedral,347,186,378,303,0.212181
13,7,41,paulihedral,331,181,324,258,0.215171
14,7,61,paulihedral,453,257,471,365,0.244478
16,7,41,paulihedral,320,196,329,246,0.210107
1,7,61,paulihedral,522,285,556,434,0.259325
8,7,61,paulihedral,446,276,475,361,0.229455
6,7,61,paulihedral,469,247,501,396,0.232702
13,7,61,paulihedral,501,281,525,418,0.276487
3,7,61,paulihedral,439,250,469,371,0.241327
18,7,61,paulihedral,384,235,386,292,0.230795
10,7,61,paulihedral,490,260,496,394,0.237498
2,7,61,paulihedral,473,259,490,382,0.248102
11,7,61,paulihedral,480,276,494,389,0.245008
16,7,61,paulihedral,393,232,383,289,0.222023
9,7,61,paulihedral,459,270,485,368,0.228948
7,7,81,paulihedral,534,302,561,432,0.240471
17,7,61,paulihedral,433,252,444,343,0.254422
15,7,61,paulihedral,460,230,451,355,0.256217
9,7,81,paulihedral,602,325,631,495,0.236561
7,7,61,paulihedral,482,244,487,383,0.268097
4,7,61,paulihedral,450,253,457,355,0.270889
8,7,81,paulihedral,591,315,609,485,0.255645
4,7,81,paulihedral,529,293,537,414,0.259971
10,7,81,paulihedral,560,325,570,441,0.259854
12,7,61,paulihedral,455,257,452,345,0.276852
5,7,61,paulihedral,490,290,483,368,0.284576
19,7,61,paulihedral,478,269,520,414,0.274413
0,7,61,paulihedral,529,288,563,449,0.287388
6,7,81,paulihedral,501,303,549,416,0.273583
16,7,81,paulihedral,565,328,605,471,0.265452
5,7,81,paulihedral,511,287,546,423,0.284203
12,7,81,paulihedral,531,305,559,425,0.296623
18,7,81,paulihedral,720,392,773,605,0.276558
3,7,81,paulihedral,580,326,594,458,0.311552
15,7,81,paulihedral,617,339,662,507,0.29023
2,7,81,paulihedral,642,339,655,517,0.322065
17,7,81,paulihedral,575,325,560,441,0.30605
11,7,81,paulihedral,585,362,609,458,0.325921
13,7,81,paulihedral,605,337,645,504,0.313204
14,7,81,paulihedral,594,353,597,451,0.328482
19,7,81,paulihedral,602,326,623,492,0.315485
0,7,101,paulihedral,794,448,821,629,0.310743
1,7,81,paulihedral,586,333,592,457,0.342448
3,7,101,paulihedral,681,396,740,578,0.323603
0,7,81,paulihedral,718,385,763,601,0.377344
2,7,101,paulihedral,735,386,775,608,0.356577
5,7,101,paulihedral,743,435,767,591,0.368496
7,7,101,paulihedral,700,379,726,562,0.339219
8,7,101,paulihedral,691,395,724,551,0.331416
12,7,101,paulihedral,718,379,774,612,0.30948
6,7,101,paulihedral,696,407,708,539,0.374198
1,7,101,paulihedral,735,435,781,582,0.388565
11,7,101,paulihedral,743,447,775,585,0.359349
14,7,101,paulihedral,702,394,706,540,0.310717
4,7,101,paulihedral,774,441,807,630,0.424977
19,7,101,paulihedral,748,409,740,591,0.3254
9,7,101,paulihedral,748,417,818,638,0.387314
13,7,101,paulihedral,785,420,765,588,0.352404
10,7,101,paulihedral,779,448,790,604,0.389074
15,7,101,paulihedral,694,415,740,569,0.358172
17,7,101,paulihedral,672,407,687,525,0.360258
16,7,101,paulihedral,721,419,748,570,0.363337
18,7,101,paulihedral,689,394,699,538,0.357742
2,7,121,paulihedral,810,488,832,631,0.337811
4,7,121,paulihedral,841,494,875,677,0.347648
3,7,121,paulihedral,831,470,871,670,0.405199
1,7,121,paulihedral,846,492,912,696,0.434246
13,7,121,paulihedral,870,488,873,664,0.38498
18,7,121,paulihedral,812,469,891,697,0.367645
0,7,121,paulihedral,937,519,1006,793,0.447914
11,7,121,paulihedral,844,449,900,703,0.417705
14,7,121,paulihedral,806,464,869,664,0.413032
10,7,121,paulihedral,793,462,825,634,0.420082
7,7,121,paulihedral,889,506,925,716,0.428708
6,7,121,paulihedral,846,505,850,653,0.438124
16,7,121,paulihedral,784,469,834,639,0.409247
8,7,121,paulihedral,900,521,937,731,0.442943
17,7,121,paulihedral,858,483,912,705,0.407609
19,7,121,paulihedral,838,486,844,634,0.415508
15,7,121,paulihedral,865,532,865,654,0.418952
9,7,121,paulihedral,850,484,890,679,0.44359
5,7,121,paulihedral,929,524,952,732,0.456576
12,7,121,paulihedral,873,488,883,671,0.439223
15,7,141,paulihedral,978,588,967,722,0.394995
0,7,141,paulihedral,949,547,1023,799,0.464839
1,7,141,paulihedral,969,557,1005,764,0.474645
4,7,161,paulihedral,1042,602,1113,857,0.419648
4,7,141,paulihedral,961,542,1011,787,0.469523
10,7,141,paulihedral,894,516,948,727,0.460734
8,7,141,paulihedral,947,558,998,763,0.462387
13,7,141,paulihedral,919,537,963,737,0.460204
13,7,161,paulihedral,1044,603,1129,884,0.414408
9,7,141,paulihedral,956,538,993,763,0.48308
7,7,161,paulihedral,1218,642,1324,1054,0.446112
5,7,141,paulihedral,972,557,1033,780,0.501352
2,7,141,paulihedral,1012,576,1022,781,0.51609
7,7,141,paulihedral,934,548,952,720,0.494254
6,7,141,paulihedral,950,564,996,753,0.49701
11,7,141,paulihedral,922,536,938,711,0.490495
12,7,141,paulihedral,905,549,927,696,0.491694
14,7,141,paulihedral,963,567,1021,778,0.498947
3,7,141,paulihedral,1002,587,1070,832,0.52153
17,7,161,paulihedral,1080,619,1097,846,0.435876
