,method,n_qubits,gadgets,topo,naive_cx,naive_depth,circ_cx,circ_depth
0,tket_uccs_set,6,10,complete,22,36,20,47
1,tket_uccs_pair,6,10,complete,22,36,20,48
2,pauliopt_steiner_nc,6,10,complete,22,36,22,37
3,pauliopt_ucc,6,10,complete,22,36,29,50
4,pauliopt_divide_conquer,6,10,complete,22,36,20,38
5,tket_uccs_set,6,10,complete,36,56,30,74
6,tket_uccs_pair,6,10,complete,36,56,30,71
7,pauliopt_steiner_nc,6,10,complete,36,56,36,52
8,pauliopt_ucc,6,10,complete,36,56,50,79
9,pauliopt_divide_conquer,6,10,complete,36,56,47,85
10,tket_uccs_set,6,10,complete,48,67,34,80
11,tket_uccs_pair,6,10,complete,48,67,38,89
12,pauliopt_steiner_nc,6,10,complete,48,67,46,65
13,pauliopt_ucc,6,10,complete,48,67,51,79
14,pauliopt_divide_conquer,6,10,complete,48,67,60,100
15,tket_uccs_set,6,10,complete,38,50,30,58
16,tket_uccs_pair,6,10,complete,38,50,30,58
17,pauliopt_steiner_nc,6,10,complete,38,50,34,52
18,pauliopt_ucc,6,10,complete,38,50,46,90
19,pauliopt_divide_conquer,6,10,complete,38,50,41,84
20,tket_uccs_set,6,10,complete,48,62,46,79
21,tket_uccs_pair,6,10,complete,48,62,46,84
22,pauliopt_steiner_nc,6,10,complete,48,62,44,63
23,pauliopt_ucc,6,10,complete,48,62,49,91
24,pauliopt_divide_conquer,6,10,complete,48,62,45,84
25,tket_uccs_set,6,10,complete,44,63,38,73
26,tket_uccs_pair,6,10,complete,44,63,38,71
27,pauliopt_steiner_nc,6,10,complete,44,63,40,61
28,pauliopt_ucc,6,10,complete,44,63,49,71
29,pauliopt_divide_conquer,6,10,complete,44,63,52,76
30,tket_uccs_set,6,10,complete,54,67,38,77
31,tket_uccs_pair,6,10,complete,54,67,38,77
32,pauliopt_steiner_nc,6,10,complete,54,67,50,70
33,pauliopt_ucc,6,10,complete,54,67,43,90
34,pauliopt_divide_conquer,6,10,complete,54,67,53,81
35,tket_uccs_set,6,10,complete,38,58,28,56
36,tket_uccs_pair,6,10,complete,38,58,30,67
37,pauliopt_steiner_nc,6,10,complete,38,58,34,53
38,pauliopt_ucc,6,10,complete,38,58,46,72
39,pauliopt_divide_conquer,6,10,complete,38,58,27,52
40,tket_uccs_set,6,10,complete,44,56,40,84
41,tket_uccs_pair,6,10,complete,44,56,38,80
42,pauliopt_steiner_nc,6,10,complete,44,56,40,61
43,pauliopt_ucc,6,10,complete,44,56,53,95
44,pauliopt_divide_conquer,6,10,complete,44,56,59,77
45,tket_uccs_set,6,10,complete,54,78,42,79
46,tket_uccs_pair,6,10,complete,54,78,46,75
47,pauliopt_steiner_nc,6,10,complete,54,78,52,71
48,pauliopt_ucc,6,10,complete,54,78,48,72
49,pauliopt_divide_conquer,6,10,complete,54,78,54,95
50,tket_uccs_set,6,10,complete,36,47,28,61
51,tket_uccs_pair,6,10,complete,36,47,34,69
52,pauliopt_steiner_nc,6,10,complete,36,47,32,45
53,pauliopt_ucc,6,10,complete,36,47,43,66
54,pauliopt_divide_conquer,6,10,complete,36,47,51,93
55,tket_uccs_set,6,10,complete,40,65,36,76
56,tket_uccs_pair,6,10,complete,40,65,38,73
57,pauliopt_steiner_nc,6,10,complete,40,65,38,59
58,pauliopt_ucc,6,10,complete,40,65,55,95
59,pauliopt_divide_conquer,6,10,complete,40,65,40,80
60,tket_uccs_set,6,10,complete,52,71,44,78
61,tket_uccs_pair,6,10,complete,52,71,42,82
62,pauliopt_steiner_nc,6,10,complete,52,71,48,72
63,pauliopt_ucc,6,10,complete,52,71,48,91
64,pauliopt_divide_conquer,6,10,complete,52,71,64,102
65,tket_uccs_set,6,10,complete,34,49,24,55
66,tket_uccs_pair,6,10,complete,34,49,26,55
67,pauliopt_steiner_nc,6,10,complete,34,49,34,51
68,pauliopt_ucc,6,10,complete,34,49,32,71
69,pauliopt_divide_conquer,6,10,complete,34,49,33,77
70,tket_uccs_set,6,10,complete,40,57,38,69
71,tket_uccs_pair,6,10,complete,40,57,38,74
72,pauliopt_steiner_nc,6,10,complete,40,57,38,59
73,pauliopt_ucc,6,10,complete,40,57,46,87
74,pauliopt_divide_conquer,6,10,complete,40,57,54,92
75,tket_uccs_set,6,10,complete,38,57,38,71
76,tket_uccs_pair,6,10,complete,38,57,34,63
77,pauliopt_steiner_nc,6,10,complete,38,57,34,59
78,pauliopt_ucc,6,10,complete,38,57,34,63
79,pauliopt_divide_conquer,6,10,complete,38,57,38,73
80,tket_uccs_set,6,10,complete,44,58,42,69
81,tket_uccs_pair,6,10,complete,44,58,42,74
82,pauliopt_steiner_nc,6,10,complete,44,58,42,54
83,pauliopt_ucc,6,10,complete,44,58,44,81
84,pauliopt_divide_conquer,6,10,complete,44,58,53,89
85,tket_uccs_set,6,10,complete,40,54,32,69
86,tket_uccs_pair,6,10,complete,40,54,36,74
87,pauliopt_steiner_nc,6,10,complete,40,54,36,56
88,pauliopt_ucc,6,10,complete,40,54,59,93
