n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
0,5,1,pauliopt_steiner_nc,6,3,9,6,0.020149
0,5,1,paulihedral,5,3,7,5,0.021982
0,5,1,tket_uccs_pair,2,7,5,2,0.026158
0,5,1,tket_uccs_set,2,7,5,2,0.026652
0,5,1,pauliopt_divide_conquer,7,7,10,7,0.020675
0,5,1,pauliopt_ucc,8,3,10,8,0.023417
0,5,1,pauliopt_steiner_clifford,6,2,8,6,0.009793
1,5,1,paulihedral,4,1,5,4,0.006586
0,5,1,naive,6,3,7,6,0.027122
1,5,1,tket_uccs_set,4,6,6,4,0.021009
1,5,1,tket_uccs_pair,4,6,6,4,0.017607
1,5,1,pauliopt_steiner_nc,4,1,5,4,0.007813
1,5,1,pauliopt_ucc,12,1,13,12,0.011287
1,5,1,pauliopt_divide_conquer,12,1,13,12,0.007801
1,5,1,pauliopt_steiner_clifford,4,1,5,4,0.005414
1,5,1,naive,4,1,5,4,0.003644
2,5,1,tket_uccs_set,4,7,7,4,0.014435
2,5,1,paulihedral,7,3,9,7,0.008622
2,5,1,tket_uccs_pair,4,7,7,4,0.014024
2,5,1,pauliopt_steiner_nc,8,3,9,8,0.006684
2,5,1,pauliopt_ucc,18,5,20,18,0.008378
2,5,1,pauliopt_divide_conquer,4,3,5,4,0.007028
2,5,1,naive,12,3,15,12,0.010166
3,5,1,tket_uccs_set,6,8,7,4,0.017495
3,5,1,pauliopt_steiner_nc,6,5,9,6,0.005167
3,5,1,paulihedral,6,5,9,6,0.009984
3,5,1,tket_uccs_pair,6,8,7,4,0.016471
3,5,1,pauliopt_ucc,16,10,18,14,0.009904
3,5,1,pauliopt_divide_conquer,10,11,16,10,0.011401
3,5,1,pauliopt_steiner_clifford,6,7,10,6,0.006278
3,5,1,naive,6,5,9,6,0.004506
4,5,1,paulihedral,6,7,9,6,0.004875
4,5,1,tket_uccs_set,6,9,7,4,0.018099
4,5,1,tket_uccs_pair,6,9,7,4,0.016953
4,5,1,pauliopt_steiner_nc,6,7,9,6,0.007659
4,5,1,pauliopt_ucc,16,11,21,16,0.01085
4,5,1,pauliopt_divide_conquer,6,8,12,6,0.009791
4,5,1,pauliopt_steiner_clifford,6,9,10,6,0.008766
4,5,1,naive,6,7,9,6,0.013429
5,5,1,paulihedral,6,9,8,5,0.00517
