n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
4,5,1,paulihedral,6,7,9,6,0.042996
0,5,1,paulihedral,5,3,7,5,0.036525
1,5,1,paulihedral,4,1,5,4,0.035017
3,5,1,paulihedral,6,5,9,6,0.033957
5,5,1,paulihedral,6,9,8,5,0.037476
6,5,1,paulihedral,5,3,8,5,0.036248
7,5,1,paulihedral,10,3,10,7,0.036221
8,5,1,paulihedral,0,1,1,0,0.034996
9,5,1,paulihedral,4,5,7,4,0.034094
11,5,1,paulihedral,2,3,5,2,0.03728
12,5,1,paulihedral,5,1,6,5,0.03561
13,5,1,paulihedral,6,7,8,5,0.040995
14,5,1,paulihedral,4,3,7,4,0.035385
15,5,1,paulihedral,6,5,9,6,0.03316
10,5,1,paulihedral,5,5,8,5,0.046284
16,5,1,paulihedral,4,7,7,4,0.033167
17,5,1,paulihedral,2,5,5,2,0.035683
18,5,1,paulihedral,5,5,8,5,0.036338
19,5,1,paulihedral,7,3,8,7,0.034567
18,5,21,paulihedral,109,79,138,96,0.070548
2,5,1,paulihedral,7,3,9,7,0.049147
2,5,21,paulihedral,64,56,84,56,0.070058
13,5,21,paulihedral,81,56,94,68,0.062792
3,5,21,paulihedral,98,73,133,92,0.074327
15,5,21,paulihedral,80,63,108,75,0.065401
5,5,21,paulihedral,70,57,91,61,0.0796
12,5,21,paulihedral,100,73,124,89,0.072987
0,5,21,paulihedral,108,75,134,95,0.090889
17,5,21,paulihedral,85,61,114,77,0.074895
9,5,21,paulihedral,91,65,113,81,0.085318
8,5,21,paulihedral,86,73,109,76,0.08897
1,5,21,paulihedral,79,55,96,69,0.101104
6,5,21,paulihedral,64,54,86,55,0.094907
11,5,21,paulihedral,63,51,80,53,0.091546
14,5,21,paulihedral,86,62,107,75,0.092223
19,5,21,paulihedral,66,51,85,57,0.080739
4,5,21,paulihedral,92,72,112,78,0.104337
10,5,21,paulihedral,99,67,126,88,0.101577
7,5,21,paulihedral,89,71,111,74,0.105235
16,5,21,paulihedral,75,62,98,66,0.065104
