,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2O_BK_sto3g,14,1000,4045,5305,6190,10518,4456,6440,11426,13497
1,HNO_BK_sto3g,22,6048,30626,32428,45020,66623,25666,36326,83550,96650
2,C2_BK_sto3g,20,6144,33426,33918,51686,69095,29606,39624,91352,104668
3,H2CO_BK_sto3g,24,11008,61077,58214,88068,122424,45232,63654,159784,183236
4,HCl_BK_sto3g,20,684,2418,3691,4054,7082,3482,4812,8216,9732
5,LiH_BK_sto3g,12,640,2004,2912,3408,6271,2462,3723,6220,7576
6,HCl_BK_631g,30,32184,220975,188337,310850,372845,168398,219857,545900,612979
7,CH2_BK_sto3g,14,1488,6620,7540,9294,15113,6056,8795,16222,19460
8,H8_BK_sto3g,16,2688,12752,13289,18362,27201,10756,15401,31664,37338
9,NH3_BK_sto3g,16,2340,10554,11770,16230,24560,9862,14320,29026,33848
10,CO2_BK_sto3g,30,20944,126965,120064,192534,248334,104224,138641,355346,399564
11,N2_BK_sto3g,20,4620,23699,25029,36642,52182,21852,29914,65840,75768
12,H2_BK_631g,8,84,180,334,284,702,306,485,530,767
13,CH2_BK_631g,26,13968,78042,74220,119932,154195,61166,84734,209858,236808
14,H2O_BK_631g,26,17440,110028,94801,159242,196537,84978,116204,275886,311500
15,LiH_BK_631g,22,3240,11304,15750,21222,35610,13926,19969,40370,46304
16,H4_BK_631g,16,1440,4828,6623,8274,14699,5746,8439,15500,18331
17,C2H4_BK_sto3g,28,25344,164516,141556,235736,291679,116698,157384,406564,459773
18,NH_BK_sto3g,12,640,2164,3014,3414,6341,2456,3744,6084,7511
19,BeH2_BK_sto3g,14,1488,6313,7272,9490,14876,6462,9487,16666,19690
20,H2_BK_sto3g,4,12,18,41,26,80,28,56,46,75
21,H4_BK_sto3g,8,160,494,740,640,1340,508,830,1172,1553
22,NH_BK_631g,22,8400,46126,44546,68234,92300,36006,50304,120758,137203
23,BeH2_BK_631g,26,9480,44407,47395,75944,106206,42800,62005,138970,157336
