,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2CO_JW_sto3g,24,11008,34540,38717,76402,112215,37906,55926,208128,240733
1,C2H4_JW_sto3g,28,25344,98440,93641,204328,264895,99366,139458,546688,622002
2,NH_JW_sto3g,12,640,1525,2015,3132,5993,2090,3512,6976,8827
3,BeH2_JW_sto3g,14,1488,4285,4989,8514,14218,5846,8996,18208,22560
4,H2_JW_631g,8,84,198,361,330,797,370,618,688,935
5,BeH2_JW_631g,26,9480,34468,40034,70962,99433,40002,59238,191920,219895
6,CH2_JW_sto3g,14,1488,4052,4728,8290,14212,5174,8169,18208,22559
7,H4_JW_631g,16,1440,3646,4800,8386,14260,5898,9420,19552,23771
8,HNO_JW_sto3g,22,6048,18636,21324,40542,61759,18502,28849,106304,124133
9,HCl_JW_631g,30,32184,137913,130505,267458,339061,123266,172863,737136,832886
10,H2_JW_sto3g,4,12,30,57,32,103,38,78,64,98
11,H8_JW_sto3g,16,2688,7946,8354,16870,25477,10434,15666,36480,44390
12,NH3_JW_sto3g,16,2340,7343,8474,14404,22767,7786,12217,31760,38631
13,HCl_JW_sto3g,20,684,2206,3416,3678,7017,2406,4085,11136,13079
14,C2_JW_sto3g,20,6144,22586,24068,42850,61006,22346,33084,99776,117893
15,CH2_JW_631g,26,13968,54956,59918,107508,145685,60054,86112,282720,324056
16,H4_JW_sto3g,8,160,393,502,716,1377,594,1026,1312,1775
17,H2O_JW_sto3g,14,1000,2649,3595,5224,9644,3150,5269,12240,15149
18,LiH_JW_631g,22,3240,9673,12717,21804,33747,14258,22070,56976,66494
19,CO2_JW_sto3g,30,20944,80824,90556,163974,220513,68086,100359,479776,541966
20,NH_JW_631g,22,8400,34459,36561,60968,84867,35690,51464,147616,172467
21,N2_JW_sto3g,20,4620,15326,18233,29990,46018,14450,22557,75040,88649
22,H2O_JW_631g,26,17440,66428,66751,134584,180913,75674,106302,352960,404675
23,LiH_JW_sto3g,12,640,1559,2046,3298,6030,2518,4120,6976,8838
