,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2O_BK_sto3g,14,1000,22679,11988,25914,17157,8704,10539,22054,20759
1,HNO_BK_sto3g,22,6048,277848,93323,266386,128105,58160,66743,230958,199624
2,C2_BK_sto3g,20,6144,296815,95330,302919,133850,64244,72353,220188,200859
3,H2CO_BK_sto3g,24,11008,635781,179524,576010,246037,102142,117176,469964,410771
4,HCl_BK_sto3g,20,684,15968,10737,17980,12577,11792,13201,22304,19389
5,LiH_BK_sto3g,12,640,9325,5634,11979,9277,5250,6419,11504,12081
6,HCl_BK_631g,30,32184,2885265,706308,2556897,887644,393126,413902,1799112,1575224
7,CH2_BK_sto3g,14,1488,41591,17390,40570,24687,13964,16069,33670,32243
8,H8_BK_sto3g,16,2688,93152,32720,91455,46807,23128,26996,72264,69170
9,NH3_BK_sto3g,16,2340,75288,28287,78734,42194,20000,24768,62826,59230
10,CO2_BK_sto3g,30,20944,1544001,426826,1478116,569649,268620,269362,1144298,991984
11,N2_BK_sto3g,20,4620,201805,68947,206445,98455,50940,55155,164136,144275
12,H2_BK_631g,8,84,484,543,706,882,580,729,922,1040
13,CH2_BK_631g,26,13968,836545,236342,812543,320109,139768,161105,623962,591382
14,H2O_BK_631g,26,17440,1261296,321208,1149381,426268,185010,213343,803550,741628
15,LiH_BK_631g,22,3240,76819,38712,100009,61275,34738,40002,120594,113241
16,H4_BK_631g,16,1440,27731,14304,33884,23385,12608,14909,36048,34932
17,C2H4_BK_sto3g,28,25344,2028025,506066,1824427,660606,266338,296740,1306360,1145746
18,NH_BK_sto3g,12,640,10686,5840,12676,9402,5696,6580,11940,11597
19,BeH2_BK_sto3g,14,1488,38666,16442,39480,23805,13376,15880,32602,31682
20,H2_BK_sto3g,4,12,30,47,38,84,60,91,58,85
21,H4_BK_sto3g,8,160,1584,1232,1725,1749,1128,1488,1876,2125
22,NH_BK_631g,22,8400,446282,132740,425725,180299,81674,94514,326138,306868
23,BeH2_BK_631g,26,9480,415564,139721,445718,206442,99250,114259,417502,400263
