,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2CO_JW_sto3g,24,11008,280323,96661,452537,202553,44496,61148,379648,358177
1,C2H4_JW_sto3g,28,25344,1021134,272556,1424108,534860,103920,139114,1043328,984826
2,NH_JW_sto3g,12,640,6415,3630,9818,8415,2960,4356,10560,10944
3,BeH2_JW_sto3g,14,1488,21787,10093,28999,20708,6924,9709,29536,31255
4,H2_JW_631g,8,84,575,650,614,943,444,689,848,1017
5,BeH2_JW_631g,26,9480,274633,108985,369742,175555,48380,63453,344848,356581
6,CH2_JW_sto3g,14,1488,20684,9477,28547,20178,6436,9236,29536,30180
7,H4_JW_631g,16,1440,17991,10508,29031,20705,6968,9867,31520,34403
8,HNO_JW_sto3g,22,6048,133147,53686,220677,109930,26052,35988,187200,177121
9,HCl_JW_631g,30,32184,1595971,405670,2059461,719959,128740,172696,1417936,1325703
10,H2_JW_sto3g,4,12,54,74,38,107,44,86,64,83
11,H8_JW_sto3g,16,2688,45935,17654,64015,38166,11792,16444,61824,62996
12,NH3_JW_sto3g,16,2340,43296,18063,57648,34930,9980,14168,53104,52661
13,HCl_JW_sto3g,20,684,13936,8628,17225,11589,5836,7560,17664,17193
14,C2_JW_sto3g,20,6144,176144,59272,217141,103734,25312,35076,177344,172290
15,CH2_JW_631g,26,13968,501904,166057,627605,269274,72364,93105,520352,527111
16,H4_JW_sto3g,8,160,1171,742,1884,1851,768,1180,1760,2014
17,H2O_JW_sto3g,14,1000,13204,7625,18277,13715,4708,6794,19184,19213
18,LiH_JW_631g,22,3240,57067,33012,93856,55882,17532,23689,96944,103501
19,CO2_JW_sto3g,30,20944,797083,264105,1202339,450775,85012,115326,895072,823942
20,NH_JW_631g,22,8400,305697,97543,340993,151055,42348,55313,266208,270675
21,N2_JW_sto3g,20,4620,110831,44242,151723,78283,19724,27480,130400,125017
22,H2O_JW_631g,26,17440,626184,186217,819409,340161,90252,115303,660672,656037
23,LiH_JW_sto3g,12,640,6369,3751,9286,8203,2952,4339,10560,11731
