,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,pauliopt_ucc_cx,pauliopt_ucc_depth,naive_cx,naive_depth
0,H8_P_sto3g,14,5792,90922,39910,130137,79668,12908,20955,87114,39135,96608,103421
1,NH_P_sto3g,10,630,8113,4328,8993,6754,2184,3113,6846,4418,7236,8076
2,H2_P_631g,6,158,627,610,978,1199,528,826,609,564,1028,1294
3,CH2_P_sto3g,12,2109,34090,15271,40261,26907,5950,9076,27647,14646,29646,32251
4,LiH_P_sto3g,10,630,8113,4328,8993,6754,2184,3113,6846,4418,7236,8076
5,NH3_P_sto3g,14,5792,90922,39910,130137,79668,12908,20955,87114,39135,96608,103421
6,H4_P_sto3g,6,164,633,631,1010,1215,566,872,595,598,1060,1344
7,H2O_P_sto3g,12,1085,18078,8208,20628,13474,4686,6275,14471,7518,15366,16656
8,H4_P_631g,14,2912,44589,19036,66401,40155,10488,14476,40499,18393,48480,51696
9,H2_P_sto3g,2,4,4,20,4,20,4,9,4,9,4,9
10,BeH2_P_sto3g,12,1085,19090,8404,21350,13932,5320,6656,14392,7617,15246,16423
