,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2O_BK_sto3g,14,1000,23688,12146,26227,17521,8756,10610,28818,31639
1,HNO_BK_sto3g,22,6048,283964,96456,269946,127699,61624,67803,295638,311402
2,C2_BK_sto3g,20,6144,324147,101161,321167,137840,58652,66700,259640,275042
3,H2CO_BK_sto3g,24,11008,666571,188294,586050,246638,112998,121876,587768,613030
4,HCl_BK_sto3g,20,684,15100,10505,18194,12563,11920,13344,30988,33021
5,LiH_BK_sto3g,12,640,10052,5730,12104,9207,4726,5830,14780,16358
6,HCl_BK_631g,30,32184,3109887,752562,2641268,897385,361992,381178,2214148,2293191
7,CH2_BK_sto3g,14,1488,46717,18376,43987,25432,12006,14681,42326,46178
8,H8_BK_sto3g,16,2688,106091,35183,98978,48730,21310,25430,88096,94230
9,NH3_BK_sto3g,16,2340,82453,29957,85014,43260,18294,22950,77326,82923
10,CO2_BK_sto3g,30,20944,1585355,443226,1487510,565504,268600,269590,1462758,1516758
11,N2_BK_sto3g,20,4620,210543,71426,214408,99860,49792,54743,199416,211411
12,H2_BK_631g,8,84,583,556,828,936,544,706,1186,1377
13,CH2_BK_631g,26,13968,844805,245030,826011,322311,123096,144601,793234,825620
14,H2O_BK_631g,26,17440,1331151,340398,1198278,436267,165570,194161,994886,1035793
15,LiH_BK_631g,22,3240,76602,39199,96059,60039,31248,36479,153362,160843
16,H4_BK_631g,16,1440,27873,14854,33018,23428,12020,14405,47132,50349
17,C2H4_BK_sto3g,28,25344,2199152,533541,1856010,662453,263220,291409,1595228,1655170
18,NH_BK_sto3g,12,640,11326,6068,13747,9669,4888,6233,15260,16902
19,BeH2_BK_sto3g,14,1488,43056,17228,43064,24739,12594,15053,41566,45343
20,H2_BK_sto3g,4,12,33,53,38,83,60,90,66,99
21,H4_BK_sto3g,8,160,1847,1355,2018,1871,996,1323,2252,2656
22,NH_BK_631g,22,8400,469104,138446,436466,182840,71762,84701,392302,412230
23,BeH2_BK_631g,26,9480,411236,142712,451038,207174,90368,105473,537274,559114
