,name,n_qubits,gadgets,tket_uccs_set_cx,tket_uccs_set_depth,tket_uccs_pair_cx,tket_uccs_pair_depth,pauliopt_steiner_nc_cx,pauliopt_steiner_nc_depth,naive_cx,naive_depth
0,H2CO_JW_sto3g,24,11008,298599,103214,472552,203103,44496,61148,503552,533358
1,C2H4_JW_sto3g,28,25344,1135504,296226,1490893,538208,103920,139114,1363584,1430610
2,NH_JW_sto3g,12,640,7567,4030,10588,8483,2960,4356,13760,15574
3,BeH2_JW_sto3g,14,1488,25531,11119,29088,20975,6996,9781,38112,42108
4,H2_JW_631g,8,84,637,610,670,959,484,729,1104,1328
5,BeH2_JW_631g,26,9480,283106,112710,374540,179987,48548,63621,471120,495576
6,CH2_JW_sto3g,14,1488,24235,10322,31623,20931,6436,9236,38112,42200
7,H4_JW_631g,16,1440,19000,10711,32587,21967,7040,9939,42528,46296
8,HNO_JW_sto3g,22,6048,142091,57003,229485,109624,26052,35988,252096,268812
9,HCl_JW_631g,30,32184,1734926,438833,2100359,713977,128740,172696,1860624,1945774
10,H2_JW_sto3g,4,12,55,76,38,107,44,86,64,99
11,H8_JW_sto3g,16,2688,55459,19649,69810,39953,11792,16444,79744,86986
12,NH3_JW_sto3g,16,2340,48720,19760,61214,35613,9980,14168,69360,75804
13,HCl_JW_sto3g,20,684,14198,8340,19842,12563,5836,7560,25344,27379
14,C2_JW_sto3g,20,6144,194629,63030,229088,107858,25312,35076,231744,248352
15,CH2_JW_631g,26,13968,519868,171098,632796,271887,72612,93353,694944,731156
16,H4_JW_sto3g,8,160,1509,829,1610,1731,768,1180,2144,2592
17,H2O_JW_sto3g,14,1000,13581,7710,19114,14077,4708,6794,25520,28362
18,LiH_JW_631g,22,3240,60078,33412,99185,56923,17652,23809,134640,142998
19,CO2_JW_sto3g,30,20944,815990,275291,1251892,447020,85012,115326,1209824,1266612
20,NH_JW_631g,22,8400,317410,101614,344690,150540,42564,55529,350560,372544
21,N2_JW_sto3g,20,4620,114219,45446,162162,79767,19724,27480,174048,186806
22,H2O_JW_631g,26,17440,672560,196635,821515,339967,90644,115695,868160,913614
23,LiH_JW_sto3g,12,640,7399,4066,10365,8584,2992,4379,13760,15468
