name,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
NH_BK_sto3g,12,640,paulihedral,8684,3017,7962,6706,2.570959
NH_BK_sto3g,12,640,pauliopt_ucc,10495,2599,5172,4706,76.46337
NH_BK_sto3g,12,640,pauliopt_steiner_clifford,1574,966,1005,792,18.458025
NH_BK_sto3g,12,640,naive,14864,2637,16036,14807,6.906988
H4_P_sto3g,6,164,paulihedral,1088,635,1201,924,0.431159
H4_P_sto3g,6,164,pauliopt_ucc,607,249,482,420,1.175243
H4_P_sto3g,6,164,pauliopt_steiner_clifford,273,232,288,209,0.451154
H4_P_sto3g,6,164,naive,1334,583,1608,1316,0.73148
H2O_JW_sto3g,14,1000,paulihedral,13168,4697,12154,10073,10.637742
H2O_JW_sto3g,14,1000,pauliopt_ucc,14153,3427,6966,6390,204.567835
H2O_JW_sto3g,14,1000,pauliopt_steiner_clifford,2336,1379,1334,1080,76.274276
H2O_JW_sto3g,14,1000,naive,25100,4386,27042,25042,8.337612
