,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,1,0,0,0.0015532970428466797,1,0
1,0,5,1,ours_random,1,0,0,0.0016088485717773438,1,0
2,0,5,1,ours_temp,1,0,0,0.06356072425842285,1,0
3,0,5,1,Bravyi et al. (qiskit),1,0,0,0.0022361278533935547,1,0
4,1,5,1,ours,0,1,0,0.001565694808959961,1,0
5,1,5,1,ours_random,0,1,0,0.0015716552734375,1,0
6,1,5,1,ours_temp,0,1,0,0.06399822235107422,1,0
7,1,5,1,Bravyi et al. (qiskit),0,1,0,0.00213623046875,1,0
8,2,5,1,ours,0,1,0,0.0014081001281738281,1,0
9,2,5,1,ours_random,0,1,0,0.0015189647674560547,1,0
10,2,5,1,ours_temp,0,1,0,0.06356263160705566,1,0
11,2,5,1,Bravyi et al. (qiskit),0,1,0,0.0020852088928222656,1,0
12,3,5,1,ours,0,0,1,0.0017366409301757812,1,1
13,3,5,1,ours_random,0,0,1,0.0017085075378417969,1,1
14,3,5,1,ours_temp,0,0,1,0.07503652572631836,1,1
15,3,5,1,Bravyi et al. (qiskit),0,0,1,0.0021255016326904297,1,1
16,4,5,1,ours,0,0,1,0.0018453598022460938,1,1
17,4,5,1,ours_random,0,0,1,0.0016741752624511719,1,1
18,4,5,1,ours_temp,0,0,1,0.07489442825317383,1,1
19,4,5,1,Bravyi et al. (qiskit),0,0,1,0.0021910667419433594,1,1
20,5,5,1,ours,0,0,1,0.0018658638000488281,1,1
21,5,5,1,ours_random,0,0,1,0.0017101764678955078,1,1
22,5,5,1,ours_temp,0,0,1,0.07520198822021484,1,1
23,5,5,1,Bravyi et al. (qiskit),0,0,1,0.002324819564819336,1,1
24,6,5,1,ours,0,0,1,0.0018131732940673828,1,1
25,6,5,1,ours_random,0,0,1,0.0017616748809814453,1,1
26,6,5,1,ours_temp,0,0,1,0.0744326114654541,1,1
27,6,5,1,Bravyi et al. (qiskit),0,0,1,0.0021123886108398438,1,1
28,7,5,1,ours,1,0,0,0.0016057491302490234,1,0
29,7,5,1,ours_random,1,0,0,0.0015177726745605469,1,0
30,7,5,1,ours_temp,1,0,0,0.06660890579223633,1,0
31,7,5,1,Bravyi et al. (qiskit),1,0,0,0.002288818359375,1,0
32,8,5,1,ours,0,0,1,0.0019452571868896484,1,1
33,8,5,1,ours_random,0,0,1,0.0017573833465576172,1,1
34,8,5,1,ours_temp,0,0,1,0.07672524452209473,1,1
35,8,5,1,Bravyi et al. (qiskit),0,0,1,0.002074718475341797,1,1
36,9,5,1,ours,0,1,0,0.0015132427215576172,1,0
37,9,5,1,ours_random,0,1,0,0.0017652511596679688,1,0
38,9,5,1,ours_temp,0,1,0,0.0633392333984375,1,0
39,9,5,1,Bravyi et al. (qiskit),0,1,0,0.0020952224731445312,1,0
40,10,5,1,ours,0,0,1,0.0018548965454101562,1,1
41,10,5,1,ours_random,0,0,1,0.0017633438110351562,1,1
42,10,5,1,ours_temp,0,0,1,0.07401323318481445,1,1
43,10,5,1,Bravyi et al. (qiskit),0,0,1,0.0020792484283447266,1,1
44,11,5,1,ours,1,0,0,0.0015218257904052734,1,0
45,11,5,1,ours_random,1,0,0,0.0014183521270751953,1,0
46,11,5,1,ours_temp,1,0,0,0.0624232292175293,1,0
47,11,5,1,Bravyi et al. (qiskit),1,0,0,0.0020952224731445312,1,0
48,12,5,1,ours,1,0,0,0.0014104843139648438,1,0
49,12,5,1,ours_random,1,0,0,0.0014281272888183594,1,0
50,12,5,1,ours_temp,1,0,0,0.06483983993530273,1,0
51,12,5,1,Bravyi et al. (qiskit),1,0,0,0.0020918846130371094,1,0
52,13,5,1,ours,1,0,0,0.0014584064483642578,1,0
53,13,5,1,ours_random,1,0,0,0.0014233589172363281,1,0
54,13,5,1,ours_temp,1,0,0,0.06467723846435547,1,0
55,13,5,1,Bravyi et al. (qiskit),1,0,0,0.002226114273071289,1,0
56,14,5,1,ours,1,0,0,0.0017745494842529297,1,0
57,14,5,1,ours_random,1,0,0,0.0016498565673828125,1,0
58,14,5,1,ours_temp,1,0,0,0.06615805625915527,1,0
59,14,5,1,Bravyi et al. (qiskit),1,0,0,0.0022275447845458984,1,0
60,15,5,1,ours,0,0,1,0.0018436908721923828,1,1
61,15,5,1,ours_random,0,0,1,0.0017426013946533203,1,1
62,15,5,1,ours_temp,0,0,1,0.07705163955688477,1,1
63,15,5,1,Bravyi et al. (qiskit),0,0,1,0.0022780895233154297,1,1
64,16,5,1,ours,0,1,0,0.0016322135925292969,1,0
65,16,5,1,ours_random,0,1,0,0.0014832019805908203,1,0
66,16,5,1,ours_temp,0,1,0,0.06449174880981445,1,0
67,16,5,1,Bravyi et al. (qiskit),0,1,0,0.002214193344116211,1,0
68,17,5,1,ours,1,0,0,0.001539468765258789,1,0
69,17,5,1,ours_random,1,0,0,0.0020248889923095703,1,0
70,17,5,1,ours_temp,1,0,0,0.06703472137451172,1,0
71,17,5,1,Bravyi et al. (qiskit),1,0,0,0.002431631088256836,1,0
72,18,5,1,ours,0,1,0,0.0015277862548828125,1,0
73,18,5,1,ours_random,0,1,0,0.0014634132385253906,1,0
74,18,5,1,ours_temp,0,1,0,0.06692838668823242,1,0
75,18,5,1,Bravyi et al. (qiskit),0,1,0,0.002234220504760742,1,0
76,19,5,1,ours,1,0,0,0.0015461444854736328,1,0
77,19,5,1,ours_random,1,0,0,0.0017228126525878906,1,0
78,19,5,1,ours_temp,1,0,0,0.06697821617126465,1,0
79,19,5,1,Bravyi et al. (qiskit),1,0,0,0.002393960952758789,1,0
80,0,5,21,ours,9,17,9,0.003721952438354492,18,8
81,0,5,21,ours_random,14,22,7,0.004187107086181641,17,5
82,0,5,21,ours_temp,13,22,8,0.1841108798980713,21,6
83,0,5,21,Bravyi et al. (qiskit),14,21,15,0.0038967132568359375,26,13
84,1,5,21,ours,11,16,4,0.002946138381958008,17,3
85,1,5,21,ours_random,6,6,9,0.003244161605834961,16,8
86,1,5,21,ours_temp,11,16,4,0.13425111770629883,17,3
87,1,5,21,Bravyi et al. (qiskit),6,6,7,0.0029468536376953125,13,5
88,2,5,21,ours,7,17,5,0.003202199935913086,17,4
89,2,5,21,ours_random,7,12,5,0.002865314483642578,16,5
90,2,5,21,ours_temp,5,13,5,0.13648557662963867,14,4
91,2,5,21,Bravyi et al. (qiskit),5,6,5,0.0029299259185791016,9,5
92,3,5,21,ours,7,12,10,0.00389862060546875,14,8
93,3,5,21,ours_random,16,12,20,0.00472569465637207,31,19
94,3,5,21,ours_temp,15,20,6,0.16507887840270996,19,5
95,3,5,21,Bravyi et al. (qiskit),12,19,12,0.0034296512603759766,23,10
96,4,5,21,ours,11,25,6,0.0034368038177490234,20,6
97,4,5,21,ours_random,13,20,15,0.00429224967956543,25,13
98,4,5,21,ours_temp,5,18,6,0.15436005592346191,15,6
99,4,5,21,Bravyi et al. (qiskit),9,13,8,0.003679990768432617,19,7
100,5,5,21,ours,7,12,4,0.0026693344116210938,10,4
101,5,5,21,ours_random,11,14,16,0.004584789276123047,27,13
102,5,5,21,ours_temp,12,20,4,0.14158177375793457,20,3
103,5,5,21,Bravyi et al. (qiskit),11,13,5,0.003415346145629883,13,4
104,6,5,21,ours,7,11,4,0.0028412342071533203,11,4
105,6,5,21,ours_random,7,14,3,0.0025339126586914062,12,3
106,6,5,21,ours_temp,7,14,3,0.1345212459564209,12,3
107,6,5,21,Bravyi et al. (qiskit),7,12,3,0.003367185592651367,8,3
108,7,5,21,ours,12,14,8,0.0037386417388916016,22,8
109,7,5,21,ours_random,12,11,15,0.004120588302612305,22,14
110,7,5,21,ours_temp,12,13,7,0.158247709274292,19,7
111,7,5,21,Bravyi et al. (qiskit),8,10,13,0.003372669219970703,18,12
112,8,5,21,ours,9,9,8,0.0039653778076171875,11,7
113,8,5,21,ours_random,14,15,10,0.0039441585540771484,20,8
114,8,5,21,ours_temp,16,19,7,0.17255377769470215,18,6
115,8,5,21,Bravyi et al. (qiskit),5,6,8,0.0028710365295410156,12,7
116,9,5,21,ours,13,15,6,0.0033524036407470703,17,5
117,9,5,21,ours_random,14,14,12,0.004312038421630859,21,11
118,9,5,21,ours_temp,11,9,6,0.160783052444458,11,5
119,9,5,21,Bravyi et al. (qiskit),13,10,8,0.0031402111053466797,17,7
120,10,5,21,ours,7,10,9,0.003438711166381836,14,9
121,10,5,21,ours_random,9,10,7,0.003277301788330078,13,6
122,10,5,21,ours_temp,5,9,4,0.1255044937133789,13,4
123,10,5,21,Bravyi et al. (qiskit),5,7,4,0.0054738521575927734,9,3
124,11,5,21,ours,8,11,7,0.005877494812011719,16,7
125,11,5,21,ours_random,2,7,11,0.006178140640258789,16,11
126,11,5,21,ours_temp,8,11,7,0.18087196350097656,16,7
127,11,5,21,Bravyi et al. (qiskit),4,4,8,0.003713846206665039,12,7
128,12,5,21,ours,2,10,7,0.0034220218658447266,9,5
129,12,5,21,ours_random,10,15,16,0.004651308059692383,29,16
130,12,5,21,ours_temp,2,10,7,0.17421770095825195,9,5
131,12,5,21,Bravyi et al. (qiskit),4,12,18,0.0035436153411865234,22,17
132,13,5,21,ours,7,16,17,0.0049359798431396484,28,16
133,13,5,21,ours_random,10,14,15,0.004529237747192383,26,13
134,13,5,21,ours_temp,8,19,8,0.1871175765991211,22,8
135,13,5,21,Bravyi et al. (qiskit),10,12,13,0.004361391067504883,20,13
136,14,5,21,ours,18,22,13,0.004385232925415039,27,12
137,14,5,21,ours_random,18,20,13,0.004791736602783203,25,10
138,14,5,21,ours_temp,13,17,5,0.1773395538330078,18,4
139,14,5,21,Bravyi et al. (qiskit),8,11,7,0.0041654109954833984,16,7
140,15,5,21,ours,10,16,8,0.003958225250244141,21,7
141,15,5,21,ours_random,12,16,9,0.0037648677825927734,13,6
142,15,5,21,ours_temp,12,20,8,0.16552257537841797,18,7
143,15,5,21,Bravyi et al. (qiskit),8,16,12,0.0037109851837158203,24,12
144,16,5,21,ours,17,22,9,0.003801584243774414,21,8
145,16,5,21,ours_random,19,22,13,0.00458526611328125,31,11
146,16,5,21,ours_temp,3,7,7,0.16031789779663086,9,5
147,16,5,21,Bravyi et al. (qiskit),5,7,5,0.0031180381774902344,9,5
148,17,5,21,ours,11,16,14,0.0051877498626708984,24,12
149,17,5,21,ours_random,10,17,18,0.005235433578491211,27,15
150,17,5,21,ours_temp,10,15,12,0.2035529613494873,21,11
151,17,5,21,Bravyi et al. (qiskit),13,12,13,0.003432035446166992,21,12
152,18,5,21,ours,11,16,5,0.003152608871459961,11,5
153,18,5,21,ours_random,14,21,16,0.004556894302368164,31,13
154,18,5,21,ours_temp,11,16,5,0.15414667129516602,11,5
155,18,5,21,Bravyi et al. (qiskit),9,10,5,0.0034945011138916016,11,4
156,19,5,21,ours,15,19,6,0.0037069320678710938,18,4
157,19,5,21,ours_random,13,18,11,0.00496220588684082,23,9
158,19,5,21,ours_temp,8,15,5,0.16306114196777344,14,3
159,19,5,21,Bravyi et al. (qiskit),15,13,10,0.003810405731201172,20,9
160,0,5,41,ours,7,16,16,0.004190206527709961,25,13
161,0,5,41,ours_random,17,24,17,0.004827260971069336,28,15
162,0,5,41,ours_temp,3,16,11,0.20743870735168457,21,10
163,0,5,41,Bravyi et al. (qiskit),9,16,20,0.004397392272949219,32,19
164,1,5,41,ours,16,17,16,0.005059242248535156,29,15
165,1,5,41,ours_random,15,12,13,0.0045166015625,26,11
166,1,5,41,ours_temp,15,19,12,0.2158205509185791,21,10
167,1,5,41,Bravyi et al. (qiskit),13,18,13,0.004379987716674805,28,11
168,2,5,41,ours,15,29,13,0.004555463790893555,31,11
169,2,5,41,ours_random,17,17,16,0.004419803619384766,31,15
170,2,5,41,ours_temp,11,24,12,0.2848057746887207,27,9
171,2,5,41,Bravyi et al. (qiskit),12,16,11,0.003559589385986328,16,9
172,3,5,41,ours,14,20,15,0.004425525665283203,28,13
173,3,5,41,ours_random,19,23,15,0.005076169967651367,30,13
174,3,5,41,ours_temp,15,22,14,0.21492743492126465,24,12
175,3,5,41,Bravyi et al. (qiskit),13,19,15,0.0044863224029541016,27,15
176,4,5,41,ours,15,17,15,0.0052640438079833984,30,13
177,4,5,41,ours_random,19,16,20,0.005331516265869141,28,17
178,4,5,41,ours_temp,17,17,12,0.21049046516418457,24,9
179,4,5,41,Bravyi et al. (qiskit),14,16,18,0.0038704872131347656,26,16
180,5,5,41,ours,17,26,13,0.004473447799682617,29,12
181,5,5,41,ours_random,13,17,16,0.00484156608581543,24,14
182,5,5,41,ours_temp,15,21,12,0.20934343338012695,23,11
183,5,5,41,Bravyi et al. (qiskit),11,13,15,0.00450897216796875,22,13
184,6,5,41,ours,18,26,12,0.004449129104614258,22,8
185,6,5,41,ours_random,22,23,16,0.005892276763916016,30,14
186,6,5,41,ours_temp,18,26,12,0.20603489875793457,22,8
187,6,5,41,Bravyi et al. (qiskit),18,20,19,0.004201412200927734,32,19
188,7,5,41,ours,11,17,10,0.003623485565185547,21,10
189,7,5,41,ours_random,10,15,17,0.004686117172241211,28,15
190,7,5,41,ours_temp,11,15,10,0.178802490234375,14,9
191,7,5,41,Bravyi et al. (qiskit),10,8,13,0.0033464431762695312,20,13
192,8,5,41,ours,20,19,10,0.0041391849517822266,25,9
193,8,5,41,ours_random,13,18,14,0.0042684078216552734,24,12
194,8,5,41,ours_temp,19,22,7,0.163740873336792,21,6
195,8,5,41,Bravyi et al. (qiskit),17,24,8,0.00449824333190918,22,8
196,9,5,41,ours,14,22,15,0.004689216613769531,25,13
197,9,5,41,ours_random,16,20,18,0.004746913909912109,27,17
198,9,5,41,ours_temp,12,22,12,0.20389294624328613,20,10
199,9,5,41,Bravyi et al. (qiskit),12,16,15,0.004060268402099609,26,14
200,10,5,41,ours,14,19,9,0.004285097122192383,23,8
201,10,5,41,ours_random,17,18,12,0.004378080368041992,24,11
202,10,5,41,ours_temp,6,18,8,0.17079687118530273,16,7
203,10,5,41,Bravyi et al. (qiskit),18,15,16,0.004374980926513672,28,15
204,11,5,41,ours,14,15,12,0.004268646240234375,22,11
205,11,5,41,ours_random,17,21,16,0.0050008296966552734,28,15
206,11,5,41,ours_temp,14,15,10,0.18912267684936523,20,7
207,11,5,41,Bravyi et al. (qiskit),16,14,15,0.003997325897216797,26,13
208,12,5,41,ours,17,33,14,0.004921913146972656,36,14
209,12,5,41,ours_random,12,21,16,0.005002498626708984,26,15
210,12,5,41,ours_temp,16,18,13,0.22289681434631348,26,12
211,12,5,41,Bravyi et al. (qiskit),11,18,15,0.0042438507080078125,28,13
212,13,5,41,ours,14,21,15,0.00488734245300293,25,12
213,13,5,41,ours_random,11,15,15,0.005026817321777344,24,14
214,13,5,41,ours_temp,15,13,12,0.2023911476135254,19,9
215,13,5,41,Bravyi et al. (qiskit),13,20,14,0.004442453384399414,23,13
216,14,5,41,ours,19,19,21,0.004949808120727539,34,20
217,14,5,41,ours_random,18,12,18,0.004940032958984375,30,16
218,14,5,41,ours_temp,5,21,10,0.21094012260437012,20,9
219,14,5,41,Bravyi et al. (qiskit),17,21,18,0.004317760467529297,30,16
220,15,5,41,ours,12,21,8,0.004049539566040039,18,8
221,15,5,41,ours_random,19,28,12,0.004432201385498047,26,11
222,15,5,41,ours_temp,16,26,7,0.17616772651672363,19,7
223,15,5,41,Bravyi et al. (qiskit),8,10,12,0.003634214401245117,21,11
224,16,5,41,ours,6,12,5,0.0033864974975585938,16,5
225,16,5,41,ours_random,6,19,7,0.0035054683685302734,18,6
226,16,5,41,ours_temp,6,12,5,0.14739513397216797,13,5
227,16,5,41,Bravyi et al. (qiskit),4,14,7,0.0031137466430664062,11,5
228,17,5,41,ours,11,13,12,0.003941774368286133,20,10
229,17,5,41,ours_random,10,12,15,0.004599332809448242,25,14
230,17,5,41,ours_temp,11,12,9,0.17353558540344238,21,8
231,17,5,41,Bravyi et al. (qiskit),10,10,10,0.003853321075439453,19,10
232,18,5,41,ours,18,27,15,0.004780292510986328,30,15
233,18,5,41,ours_random,17,21,15,0.0043468475341796875,26,14
234,18,5,41,ours_temp,16,22,14,0.20279502868652344,27,13
235,18,5,41,Bravyi et al. (qiskit),19,26,20,0.004266500473022461,33,17
