,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,16,1,ours,1,0,0,0.009598970413208008,1,0
1,0,16,1,ours_random,1,0,0,0.010634183883666992,1,0
2,0,16,1,ours_temp,1,0,0,0.4641754627227783,1,0
3,0,16,1,Bravyi et al. (qiskit),1,0,0,0.0038292407989501953,1,0
4,1,16,1,ours,0,0,1,0.010982275009155273,1,1
5,1,16,1,ours_random,0,0,1,0.011643648147583008,1,1
6,1,16,1,ours_temp,0,0,1,0.4747450351715088,1,1
7,1,16,1,Bravyi et al. (qiskit),0,0,1,0.004605293273925781,1,1
8,2,16,1,ours,0,1,0,0.010378837585449219,1,0
9,2,16,1,ours_random,0,1,0,0.011979341506958008,1,0
10,2,16,1,ours_temp,0,1,0,0.48158740997314453,1,0
11,2,16,1,Bravyi et al. (qiskit),0,1,0,0.003922462463378906,1,0
12,3,16,1,ours,0,0,1,0.011767864227294922,1,1
13,3,16,1,ours_random,0,0,1,0.011974811553955078,1,1
14,3,16,1,ours_temp,0,0,1,0.4830207824707031,1,1
15,3,16,1,Bravyi et al. (qiskit),0,0,1,0.0036661624908447266,1,1
16,4,16,1,ours,0,1,0,0.01057124137878418,1,0
17,4,16,1,ours_random,0,1,0,0.011866092681884766,1,0
18,4,16,1,ours_temp,0,1,0,0.46793341636657715,1,0
19,4,16,1,Bravyi et al. (qiskit),0,1,0,0.004056453704833984,1,0
20,5,16,1,ours,1,0,0,0.009646177291870117,1,0
21,5,16,1,ours_random,1,0,0,0.011420011520385742,1,0
22,5,16,1,ours_temp,1,0,0,0.44883060455322266,1,0
23,5,16,1,Bravyi et al. (qiskit),1,0,0,0.0038497447967529297,1,0
24,6,16,1,ours,1,0,0,0.009537696838378906,1,0
25,6,16,1,ours_random,1,0,0,0.010385990142822266,1,0
26,6,16,1,ours_temp,1,0,0,0.4621100425720215,1,0
27,6,16,1,Bravyi et al. (qiskit),1,0,0,0.003919124603271484,1,0
28,7,16,1,ours,0,0,1,0.011396646499633789,1,1
29,7,16,1,ours_random,0,0,1,0.012409687042236328,1,1
30,7,16,1,ours_temp,0,0,1,0.4747624397277832,1,1
31,7,16,1,Bravyi et al. (qiskit),0,0,1,0.004087924957275391,1,1
32,8,16,1,ours,0,1,0,0.009679317474365234,1,0
33,8,16,1,ours_random,0,1,0,0.010741949081420898,1,0
34,8,16,1,ours_temp,0,1,0,0.44032764434814453,1,0
35,8,16,1,Bravyi et al. (qiskit),0,1,0,0.0039017200469970703,1,0
36,9,16,1,ours,1,0,0,0.009852409362792969,1,0
37,9,16,1,ours_random,1,0,0,0.011261463165283203,1,0
38,9,16,1,ours_temp,1,0,0,0.45494747161865234,1,0
39,9,16,1,Bravyi et al. (qiskit),1,0,0,0.0044825077056884766,1,0
40,10,16,1,ours,1,0,0,0.01044011116027832,1,0
41,10,16,1,ours_random,1,0,0,0.0117034912109375,1,0
42,10,16,1,ours_temp,1,0,0,0.4745137691497803,1,0
43,10,16,1,Bravyi et al. (qiskit),1,0,0,0.0043544769287109375,1,0
44,11,16,1,ours,0,0,1,0.011222362518310547,1,1
45,11,16,1,ours_random,0,0,1,0.01177978515625,1,1
46,11,16,1,ours_temp,0,0,1,0.5449392795562744,1,1
47,11,16,1,Bravyi et al. (qiskit),0,0,1,0.004447221755981445,1,1
48,12,16,1,ours,1,0,0,0.010574102401733398,1,0
49,12,16,1,ours_random,1,0,0,0.01155400276184082,1,0
50,12,16,1,ours_temp,1,0,0,0.4796483516693115,1,0
51,12,16,1,Bravyi et al. (qiskit),1,0,0,0.0039632320404052734,1,0
52,13,16,1,ours,0,1,0,0.010270357131958008,1,0
53,13,16,1,ours_random,0,1,0,0.012263059616088867,1,0
54,13,16,1,ours_temp,0,1,0,0.46433019638061523,1,0
55,13,16,1,Bravyi et al. (qiskit),0,1,0,0.0038394927978515625,1,0
56,14,16,1,ours,0,0,1,0.011047840118408203,1,1
57,14,16,1,ours_random,0,0,1,0.012007713317871094,1,1
58,14,16,1,ours_temp,0,0,1,0.46519017219543457,1,1
59,14,16,1,Bravyi et al. (qiskit),0,0,1,0.004311800003051758,1,1
60,15,16,1,ours,0,1,0,0.009473085403442383,1,0
61,15,16,1,ours_random,0,1,0,0.010141134262084961,1,0
62,15,16,1,ours_temp,0,1,0,0.44609570503234863,1,0
63,15,16,1,Bravyi et al. (qiskit),0,1,0,0.004469394683837891,1,0
64,16,16,1,ours,0,0,1,0.010411262512207031,1,1
65,16,16,1,ours_random,0,0,1,0.011661529541015625,1,1
66,16,16,1,ours_temp,0,0,1,0.4732794761657715,1,1
67,16,16,1,Bravyi et al. (qiskit),0,0,1,0.004253864288330078,1,1
68,17,16,1,ours,0,1,0,0.009790897369384766,1,0
69,17,16,1,ours_random,0,1,0,0.011713504791259766,1,0
70,17,16,1,ours_temp,0,1,0,0.46532464027404785,1,0
71,17,16,1,Bravyi et al. (qiskit),0,1,0,0.004042387008666992,1,0
72,18,16,1,ours,0,1,0,0.009984970092773438,1,0
73,18,16,1,ours_random,0,1,0,0.011316299438476562,1,0
74,18,16,1,ours_temp,0,1,0,0.467041015625,1,0
75,18,16,1,Bravyi et al. (qiskit),0,1,0,0.0037937164306640625,1,0
76,19,16,1,ours,0,0,1,0.010991096496582031,1,1
77,19,16,1,ours_random,0,0,1,0.011986494064331055,1,1
78,19,16,1,ours_temp,0,0,1,0.4755973815917969,1,1
79,19,16,1,Bravyi et al. (qiskit),0,0,1,0.0042877197265625,1,1
80,0,16,21,ours,17,21,15,0.016137123107910156,19,8
81,0,16,21,ours_random,26,38,37,0.018329143524169922,35,17
82,0,16,21,ours_temp,16,17,6,0.6747193336486816,12,2
83,0,16,21,Bravyi et al. (qiskit),12,5,6,0.021557092666625977,4,2
84,1,16,21,ours,16,23,12,0.015404224395751953,15,8
85,1,16,21,ours_random,14,22,73,0.01723337173461914,50,45
86,1,16,21,ours_temp,12,19,8,0.7210185527801514,12,4
87,1,16,21,Bravyi et al. (qiskit),9,11,7,0.02034592628479004,11,3
88,2,16,21,ours,11,15,32,0.01747298240661621,40,25
89,2,16,21,ours_random,28,29,131,0.022922039031982422,87,70
90,2,16,21,ours_temp,4,6,21,0.7770943641662598,21,16
91,2,16,21,Bravyi et al. (qiskit),2,8,20,0.006361961364746094,13,10
92,3,16,21,ours,9,15,27,0.015526771545410156,33,24
93,3,16,21,ours_random,16,21,12,0.013881683349609375,21,9
94,3,16,21,ours_temp,7,8,6,0.6242682933807373,4,3
95,3,16,21,Bravyi et al. (qiskit),7,8,10,0.006348371505737305,7,6
96,4,16,21,ours,24,25,54,0.022274017333984375,53,34
97,4,16,21,ours_random,69,65,147,0.02512383460998535,96,69
98,4,16,21,ours_temp,12,13,14,0.7982792854309082,20,9
99,4,16,21,Bravyi et al. (qiskit),8,4,23,0.007970809936523438,16,14
100,5,16,21,ours,26,29,37,0.017805099487304688,44,24
101,5,16,21,ours_random,36,35,67,0.020174741744995117,53,39
102,5,16,21,ours_temp,10,15,10,0.7318832874298096,16,5
103,5,16,21,Bravyi et al. (qiskit),10,7,21,0.007054328918457031,23,16
104,6,16,21,ours,13,19,9,0.014739990234375,9,6
105,6,16,21,ours_random,17,27,19,0.01599860191345215,29,15
106,6,16,21,ours_temp,9,19,5,0.6693668365478516,8,2
107,6,16,21,Bravyi et al. (qiskit),6,14,5,0.021149158477783203,4,2
108,7,16,21,ours,12,23,4,0.01490020751953125,10,3
109,7,16,21,ours_random,16,26,36,0.018212080001831055,42,32
110,7,16,21,ours_temp,12,23,4,0.6270673274993896,10,3
111,7,16,21,Bravyi et al. (qiskit),10,16,5,0.00969839096069336,8,3
112,8,16,21,ours,29,32,16,0.016655921936035156,24,9
113,8,16,21,ours_random,11,10,14,0.0160977840423584,16,7
114,8,16,21,ours_temp,9,10,6,0.6475996971130371,9,2
115,8,16,21,Bravyi et al. (qiskit),10,8,7,0.021321535110473633,7,2
116,9,16,21,ours,19,27,7,0.01549077033996582,12,2
117,9,16,21,ours_random,17,26,7,0.014514684677124023,11,3
118,9,16,21,ours_temp,17,26,6,0.7012507915496826,11,2
119,9,16,21,Bravyi et al. (qiskit),17,8,10,0.009606599807739258,11,6
120,10,16,21,ours,16,26,26,0.026943683624267578,35,19
121,10,16,21,ours_random,19,30,21,0.023591279983520508,32,12
122,10,16,21,ours_temp,5,11,7,0.7866451740264893,10,2
123,10,16,21,Bravyi et al. (qiskit),7,6,8,0.022011280059814453,7,3
124,11,16,21,ours,27,42,63,0.021284818649291992,61,37
