,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,65,1,ours,0,0,1,0.38907408714294434,1,1
1,0,65,1,ours_random,0,0,1,0.34805846214294434,1,1
2,0,65,1,ours_temp,0,0,1,14.46415114402771,1,1
3,0,65,1,Bravyi et al. (qiskit),0,0,1,0.39203667640686035,1,1
4,1,65,1,ours,0,0,1,0.34981703758239746,1,1
5,1,65,1,ours_random,0,0,1,0.4132835865020752,1,1
6,1,65,1,ours_temp,0,0,1,15.150907039642334,1,1
7,1,65,1,Bravyi et al. (qiskit),0,0,1,0.006788730621337891,1,1
8,2,65,1,ours,0,1,0,0.35495567321777344,1,0
9,2,65,1,ours_random,0,1,0,0.3579075336456299,1,0
10,2,65,1,ours_temp,0,1,0,14.709599733352661,1,0
11,2,65,1,Bravyi et al. (qiskit),0,1,0,0.005643129348754883,1,0
12,3,65,1,ours,1,0,0,0.36650586128234863,1,0
13,3,65,1,ours_random,1,0,0,0.3694584369659424,1,0
14,3,65,1,ours_temp,1,0,0,14.73244023323059,1,0
15,3,65,1,Bravyi et al. (qiskit),1,0,0,0.005583763122558594,1,0
16,4,65,1,ours,0,0,1,0.36664605140686035,1,1
17,4,65,1,ours_random,0,0,1,0.3821749687194824,1,1
18,4,65,1,ours_temp,0,0,1,14.991862773895264,1,1
19,4,65,1,Bravyi et al. (qiskit),0,0,1,0.006854534149169922,1,1
20,5,65,1,ours,1,0,0,0.36306238174438477,1,0
21,5,65,1,ours_random,1,0,0,0.36937928199768066,1,0
22,5,65,1,ours_temp,1,0,0,15.002246618270874,1,0
23,5,65,1,Bravyi et al. (qiskit),1,0,0,0.005632162094116211,1,0
24,6,65,1,ours,0,0,1,0.3704848289489746,1,1
25,6,65,1,ours_random,0,0,1,0.3699812889099121,1,1
26,6,65,1,ours_temp,0,0,1,15.098513126373291,1,1
27,6,65,1,Bravyi et al. (qiskit),0,0,1,0.007039308547973633,1,1
28,7,65,1,ours,0,0,1,0.40048646926879883,1,1
29,7,65,1,ours_random,0,0,1,0.38544178009033203,1,1
30,7,65,1,ours_temp,0,0,1,14.992616415023804,1,1
31,7,65,1,Bravyi et al. (qiskit),0,0,1,0.006924152374267578,1,1
32,8,65,1,ours,1,0,0,0.365370512008667,1,0
33,8,65,1,ours_random,1,0,0,0.37214112281799316,1,0
34,8,65,1,ours_temp,1,0,0,14.945580005645752,1,0
35,8,65,1,Bravyi et al. (qiskit),1,0,0,0.005483388900756836,1,0
36,9,65,1,ours,0,0,1,0.3944509029388428,1,1
37,9,65,1,ours_random,0,0,1,0.3778798580169678,1,1
