,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,27,1,ours,0,1,0,0.032846689224243164,1,0
1,0,27,1,ours_random,0,1,0,0.03952431678771973,1,0
2,0,27,1,ours_temp,0,1,0,1.5140600204467773,1,0
3,0,27,1,Bravyi et al. (qiskit),0,1,0,0.0040361881256103516,1,0
4,1,27,1,ours,0,1,0,0.032750606536865234,1,0
5,1,27,1,ours_random,0,1,0,0.0451502799987793,1,0
6,1,27,1,ours_temp,0,1,0,1.4511244297027588,1,0
7,1,27,1,Bravyi et al. (qiskit),0,1,0,0.004099607467651367,1,0
8,2,27,1,ours,0,1,0,0.032974958419799805,1,0
9,2,27,1,ours_random,0,1,0,0.03594851493835449,1,0
10,2,27,1,ours_temp,0,1,0,1.4605600833892822,1,0
11,2,27,1,Bravyi et al. (qiskit),0,1,0,0.004210472106933594,1,0
12,3,27,1,ours,0,0,1,0.03361701965332031,1,1
13,3,27,1,ours_random,0,0,1,0.03425335884094238,1,1
14,3,27,1,ours_temp,0,0,1,1.5652015209197998,1,1
15,3,27,1,Bravyi et al. (qiskit),0,0,1,0.0046672821044921875,1,1
16,4,27,1,ours,0,1,0,0.033850908279418945,1,0
17,4,27,1,ours_random,0,1,0,0.037982940673828125,1,0
18,4,27,1,ours_temp,0,1,0,1.4602386951446533,1,0
19,4,27,1,Bravyi et al. (qiskit),0,1,0,0.006004810333251953,1,0
20,5,27,1,ours,1,0,0,0.04923200607299805,1,0
21,5,27,1,ours_random,1,0,0,0.03529667854309082,1,0
22,5,27,1,ours_temp,1,0,0,1.4814534187316895,1,0
23,5,27,1,Bravyi et al. (qiskit),1,0,0,0.004337310791015625,1,0
24,6,27,1,ours,0,1,0,0.03433823585510254,1,0
25,6,27,1,ours_random,0,1,0,0.03940606117248535,1,0
26,6,27,1,ours_temp,0,1,0,1.5323560237884521,1,0
27,6,27,1,Bravyi et al. (qiskit),0,1,0,0.0061380863189697266,1,0
28,7,27,1,ours,0,0,1,0.04832315444946289,1,1
29,7,27,1,ours_random,0,0,1,0.0375669002532959,1,1
30,7,27,1,ours_temp,0,0,1,1.5457279682159424,1,1
31,7,27,1,Bravyi et al. (qiskit),0,0,1,0.007173776626586914,1,1
32,8,27,1,ours,1,0,0,0.06009340286254883,1,0
33,8,27,1,ours_random,1,0,0,0.03664660453796387,1,0
34,8,27,1,ours_temp,1,0,0,1.5017638206481934,1,0
35,8,27,1,Bravyi et al. (qiskit),1,0,0,0.004535675048828125,1,0
36,9,27,1,ours,0,1,0,0.036040544509887695,1,0
37,9,27,1,ours_random,0,1,0,0.037539005279541016,1,0
38,9,27,1,ours_temp,0,1,0,1.473447561264038,1,0
39,9,27,1,Bravyi et al. (qiskit),0,1,0,0.004330873489379883,1,0
40,10,27,1,ours,1,0,0,0.03728532791137695,1,0
41,10,27,1,ours_random,1,0,0,0.0406336784362793,1,0
42,10,27,1,ours_temp,1,0,0,1.5302629470825195,1,0
43,10,27,1,Bravyi et al. (qiskit),1,0,0,0.0043065547943115234,1,0
44,11,27,1,ours,0,0,1,0.038689613342285156,1,1
45,11,27,1,ours_random,0,0,1,0.04058504104614258,1,1
46,11,27,1,ours_temp,0,0,1,1.573106288909912,1,1
47,11,27,1,Bravyi et al. (qiskit),0,0,1,0.004904270172119141,1,1
48,12,27,1,ours,1,0,0,0.035903215408325195,1,0
49,12,27,1,ours_random,1,0,0,0.03712153434753418,1,0
50,12,27,1,ours_temp,1,0,0,1.5178639888763428,1,0
51,12,27,1,Bravyi et al. (qiskit),1,0,0,0.004048585891723633,1,0
52,13,27,1,ours,0,0,1,0.033464670181274414,1,1
53,13,27,1,ours_random,0,0,1,0.037988901138305664,1,1
54,13,27,1,ours_temp,0,0,1,1.530022144317627,1,1
55,13,27,1,Bravyi et al. (qiskit),0,0,1,0.00410151481628418,1,1
56,14,27,1,ours,0,0,1,0.03601646423339844,1,1
57,14,27,1,ours_random,0,0,1,0.03689908981323242,1,1
58,14,27,1,ours_temp,0,0,1,1.5175731182098389,1,1
59,14,27,1,Bravyi et al. (qiskit),0,0,1,0.004157543182373047,1,1
60,15,27,1,ours,1,0,0,0.034142255783081055,1,0
61,15,27,1,ours_random,1,0,0,0.03846001625061035,1,0
62,15,27,1,ours_temp,1,0,0,1.4929702281951904,1,0
63,15,27,1,Bravyi et al. (qiskit),1,0,0,0.004716396331787109,1,0
64,16,27,1,ours,1,0,0,0.034364938735961914,1,0
65,16,27,1,ours_random,1,0,0,0.03714299201965332,1,0
66,16,27,1,ours_temp,1,0,0,1.6257803440093994,1,0
67,16,27,1,Bravyi et al. (qiskit),1,0,0,0.004582643508911133,1,0
68,17,27,1,ours,0,0,1,0.056145429611206055,1,1
69,17,27,1,ours_random,0,0,1,0.038710594177246094,1,1
70,17,27,1,ours_temp,0,0,1,1.5242412090301514,1,1
71,17,27,1,Bravyi et al. (qiskit),0,0,1,0.0048825740814208984,1,1
72,18,27,1,ours,1,0,0,0.03433060646057129,1,0
73,18,27,1,ours_random,1,0,0,0.03673577308654785,1,0
74,18,27,1,ours_temp,1,0,0,1.4801757335662842,1,0
75,18,27,1,Bravyi et al. (qiskit),1,0,0,0.0062713623046875,1,0
76,19,27,1,ours,0,1,0,0.03798699378967285,1,0
77,19,27,1,ours_random,0,1,0,0.03796839714050293,1,0
78,19,27,1,ours_temp,0,1,0,1.4997460842132568,1,0
79,19,27,1,Bravyi et al. (qiskit),0,1,0,0.0042514801025390625,1,0
80,0,27,41,ours,48,61,74,0.05504727363586426,57,39
81,0,27,41,ours_random,64,80,219,0.060606956481933594,126,103
82,0,27,41,ours_temp,31,40,50,2.3820266723632812,39,29
83,0,27,41,Bravyi et al. (qiskit),20,22,51,0.00946950912475586,39,32
84,1,27,41,ours,16,25,62,0.05329179763793945,39,31
85,1,27,41,ours_random,60,53,295,0.06437277793884277,160,134
86,1,27,41,ours_temp,8,15,29,2.4997477531433105,12,11
87,1,27,41,Bravyi et al. (qiskit),15,17,36,0.008464336395263672,18,16
88,2,27,41,ours,32,40,14,0.04975724220275879,14,8
89,2,27,41,ours_random,56,49,154,0.051978111267089844,111,86
90,2,27,41,ours_temp,37,36,10,2.006634473800659,14,4
91,2,27,41,Bravyi et al. (qiskit),24,15,29,0.008515357971191406,20,15
92,3,27,41,ours,75,83,220,0.06546187400817871,122,96
93,3,27,41,ours_random,67,68,243,0.06152176856994629,157,128
94,3,27,41,ours_temp,28,40,57,2.5195353031158447,45,35
95,3,27,41,Bravyi et al. (qiskit),18,16,30,0.008502483367919922,15,9
96,4,27,41,ours,34,59,82,0.05711984634399414,64,44
97,4,27,41,ours_random,51,54,170,0.05837512016296387,105,88
98,4,27,41,ours_temp,23,41,27,2.319460868835449,22,12
99,4,27,41,Bravyi et al. (qiskit),11,19,41,0.008568048477172852,29,20
100,5,27,41,ours,38,64,75,0.05374455451965332,64,41
101,5,27,41,ours_random,53,87,78,0.052573204040527344,59,34
102,5,27,41,ours_temp,21,42,19,2.2987284660339355,27,11
103,5,27,41,Bravyi et al. (qiskit),16,31,42,0.01048421859741211,28,17
104,6,27,41,ours,33,42,123,0.058748483657836914,68,56
105,6,27,41,ours_random,80,85,210,0.058948516845703125,131,106
106,6,27,41,ours_temp,35,47,50,2.5321033000946045,46,34
107,6,27,41,Bravyi et al. (qiskit),14,21,48,0.009408712387084961,27,24
108,7,27,41,ours,50,51,125,0.07294392585754395,82,60
109,7,27,41,ours_random,121,106,323,0.07478165626525879,171,144
110,7,27,41,ours_temp,23,22,19,2.4178619384765625,12,8
111,7,27,41,Bravyi et al. (qiskit),24,15,40,0.009214162826538086,23,13
112,8,27,41,ours,75,63,165,0.06752872467041016,103,74
113,8,27,41,ours_random,83,79,195,0.06619429588317871,131,100
114,8,27,41,ours_temp,35,23,27,2.547238826751709,33,15
115,8,27,41,Bravyi et al. (qiskit),28,14,32,0.008878231048583984,16,10
116,9,27,41,ours,43,48,35,0.05433320999145508,39,20
117,9,27,41,ours_random,37,35,65,0.050632476806640625,52,39
118,9,27,41,ours_temp,34,41,18,2.2889156341552734,18,7
119,9,27,41,Bravyi et al. (qiskit),23,22,29,0.008727073669433594,27,18
120,10,27,41,ours,61,73,185,0.06227445602416992,117,98
121,10,27,41,ours_random,73,63,184,0.06280207633972168,117,86
122,10,27,41,ours_temp,39,45,52,2.484271764755249,49,34
123,10,27,41,Bravyi et al. (qiskit),16,10,43,0.008916616439819336,26,24
124,11,27,41,ours,50,50,220,0.06915044784545898,123,106
