,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,7,1,ours,0,0,1,0.0026116371154785156,1,1
1,0,7,1,ours_random,0,0,1,0.0029866695404052734,1,1
2,0,7,1,ours_temp,0,0,1,0.11087250709533691,1,1
3,0,7,1,Bravyi et al. (qiskit),0,0,1,0.0035254955291748047,1,1
4,1,7,1,ours,0,1,0,0.0024988651275634766,1,0
5,1,7,1,ours_random,0,1,0,0.002456188201904297,1,0
6,1,7,1,ours_temp,0,1,0,0.10142230987548828,1,0
7,1,7,1,Bravyi et al. (qiskit),0,1,0,0.0037262439727783203,1,0
8,2,7,1,ours,1,0,0,0.002462625503540039,1,0
9,2,7,1,ours_random,1,0,0,0.0024118423461914062,1,0
10,2,7,1,ours_temp,1,0,0,0.10268044471740723,1,0
11,2,7,1,Bravyi et al. (qiskit),1,0,0,0.003661632537841797,1,0
12,3,7,1,ours,0,0,1,0.002737760543823242,1,1
13,3,7,1,ours_random,0,0,1,0.0026254653930664062,1,1
14,3,7,1,ours_temp,0,0,1,0.11397695541381836,1,1
15,3,7,1,Bravyi et al. (qiskit),0,0,1,0.003556489944458008,1,1
16,4,7,1,ours,1,0,0,0.0026445388793945312,1,0
17,4,7,1,ours_random,1,0,0,0.0023849010467529297,1,0
18,4,7,1,ours_temp,1,0,0,0.10689973831176758,1,0
19,4,7,1,Bravyi et al. (qiskit),1,0,0,0.0036966800689697266,1,0
20,5,7,1,ours,0,1,0,0.0025429725646972656,1,0
21,5,7,1,ours_random,0,1,0,0.002749204635620117,1,0
22,5,7,1,ours_temp,0,1,0,0.10410189628601074,1,0
23,5,7,1,Bravyi et al. (qiskit),0,1,0,0.0034995079040527344,1,0
24,6,7,1,ours,1,0,0,0.0023801326751708984,1,0
25,6,7,1,ours_random,1,0,0,0.002260446548461914,1,0
26,6,7,1,ours_temp,1,0,0,0.09942054748535156,1,0
27,6,7,1,Bravyi et al. (qiskit),1,0,0,0.0035843849182128906,1,0
28,7,7,1,ours,0,0,1,0.00296783447265625,1,1
29,7,7,1,ours_random,0,0,1,0.003182649612426758,1,1
30,7,7,1,ours_temp,0,0,1,0.11627459526062012,1,1
31,7,7,1,Bravyi et al. (qiskit),0,0,1,0.003741741180419922,1,1
32,8,7,1,ours,0,0,1,0.002825498580932617,1,1
33,8,7,1,ours_random,0,0,1,0.002709627151489258,1,1
34,8,7,1,ours_temp,0,0,1,0.11340022087097168,1,1
35,8,7,1,Bravyi et al. (qiskit),0,0,1,0.003656148910522461,1,1
36,9,7,1,ours,1,0,0,0.002473592758178711,1,0
37,9,7,1,ours_random,1,0,0,0.0022459030151367188,1,0
38,9,7,1,ours_temp,1,0,0,0.10148787498474121,1,0
39,9,7,1,Bravyi et al. (qiskit),1,0,0,0.0034384727478027344,1,0
40,10,7,1,ours,0,0,1,0.002743959426879883,1,1
41,10,7,1,ours_random,0,0,1,0.0028007030487060547,1,1
42,10,7,1,ours_temp,0,0,1,0.11439681053161621,1,1
43,10,7,1,Bravyi et al. (qiskit),0,0,1,0.004499912261962891,1,1
44,11,7,1,ours,0,1,0,0.002819538116455078,1,0
45,11,7,1,ours_random,0,1,0,0.002381563186645508,1,0
46,11,7,1,ours_temp,0,1,0,0.1039433479309082,1,0
47,11,7,1,Bravyi et al. (qiskit),0,1,0,0.003566265106201172,1,0
48,12,7,1,ours,0,1,0,0.002470731735229492,1,0
49,12,7,1,ours_random,0,1,0,0.0025823116302490234,1,0
50,12,7,1,ours_temp,0,1,0,0.10302352905273438,1,0
51,12,7,1,Bravyi et al. (qiskit),0,1,0,0.003686189651489258,1,0
52,13,7,1,ours,0,1,0,0.0026590824127197266,1,0
53,13,7,1,ours_random,0,1,0,0.0024449825286865234,1,0
54,13,7,1,ours_temp,0,1,0,0.10410213470458984,1,0
55,13,7,1,Bravyi et al. (qiskit),0,1,0,0.0035495758056640625,1,0
56,14,7,1,ours,0,1,0,0.0025806427001953125,1,0
57,14,7,1,ours_random,0,1,0,0.0024521350860595703,1,0
58,14,7,1,ours_temp,0,1,0,0.1020805835723877,1,0
59,14,7,1,Bravyi et al. (qiskit),0,1,0,0.0034868717193603516,1,0
60,15,7,1,ours,0,1,0,0.002562284469604492,1,0
61,15,7,1,ours_random,0,1,0,0.002431154251098633,1,0
62,15,7,1,ours_temp,0,1,0,0.10643434524536133,1,0
63,15,7,1,Bravyi et al. (qiskit),0,1,0,0.003532886505126953,1,0
64,16,7,1,ours,0,0,1,0.0026395320892333984,1,1
65,16,7,1,ours_random,0,0,1,0.0025534629821777344,1,1
66,16,7,1,ours_temp,0,0,1,0.11385107040405273,1,1
67,16,7,1,Bravyi et al. (qiskit),0,0,1,0.003605365753173828,1,1
68,17,7,1,ours,1,0,0,0.002490997314453125,1,0
69,17,7,1,ours_random,1,0,0,0.0024089813232421875,1,0
70,17,7,1,ours_temp,1,0,0,0.1055765151977539,1,0
71,17,7,1,Bravyi et al. (qiskit),1,0,0,0.0036537647247314453,1,0
72,18,7,1,ours,0,1,0,0.0025475025177001953,1,0
73,18,7,1,ours_random,0,1,0,0.003298521041870117,1,0
74,18,7,1,ours_temp,0,1,0,0.13716411590576172,1,0
75,18,7,1,Bravyi et al. (qiskit),0,1,0,0.0032930374145507812,1,0
76,19,7,1,ours,1,0,0,0.0025284290313720703,1,0
77,19,7,1,ours_random,1,0,0,0.002674579620361328,1,0
78,19,7,1,ours_temp,1,0,0,0.10362601280212402,1,0
79,19,7,1,Bravyi et al. (qiskit),1,0,0,0.0033140182495117188,1,0
80,0,7,21,ours,11,14,22,0.006623268127441406,31,21
81,0,7,21,ours_random,20,20,43,0.008010625839233398,50,30
82,0,7,21,ours_temp,15,16,22,0.3198843002319336,38,21
83,0,7,21,Bravyi et al. (qiskit),13,11,36,0.008679866790771484,41,31
84,1,7,21,ours,11,9,24,0.010645627975463867,35,23
85,1,7,21,ours_random,15,8,28,0.012663602828979492,34,25
86,1,7,21,ours_temp,11,9,24,0.306530237197876,35,23
87,1,7,21,Bravyi et al. (qiskit),16,15,44,0.0074155330657958984,43,32
88,2,7,21,ours,14,20,8,0.005240201950073242,16,6
89,2,7,21,ours_random,14,26,10,0.00494694709777832,19,10
90,2,7,21,ours_temp,14,23,7,0.21300196647644043,20,5
91,2,7,21,Bravyi et al. (qiskit),10,16,7,0.009415626525878906,19,7
92,3,7,21,ours,9,11,23,0.010542869567871094,28,18
93,3,7,21,ours_random,15,17,23,0.011159658432006836,32,19
94,3,7,21,ours_temp,5,10,13,0.27651214599609375,17,9
95,3,7,21,Bravyi et al. (qiskit),11,9,28,0.006584882736206055,39,27
96,4,7,21,ours,22,24,22,0.007327556610107422,43,19
97,4,7,21,ours_random,28,28,27,0.007315635681152344,37,21
98,4,7,21,ours_temp,22,24,22,0.3081357479095459,43,19
99,4,7,21,Bravyi et al. (qiskit),8,9,13,0.00649571418762207,15,10
100,5,7,21,ours,4,10,4,0.005769491195678711,7,3
101,5,7,21,ours_random,10,11,12,0.004791259765625,16,12
102,5,7,21,ours_temp,4,10,4,0.21122097969055176,7,3
103,5,7,21,Bravyi et al. (qiskit),8,11,10,0.00615382194519043,14,9
104,6,7,21,ours,15,16,29,0.006986856460571289,35,25
105,6,7,21,ours_random,17,21,28,0.007132768630981445,37,22
106,6,7,21,ours_temp,18,22,15,0.3132750988006592,26,14
107,6,7,21,Bravyi et al. (qiskit),17,6,25,0.006780385971069336,35,24
108,7,7,21,ours,7,15,14,0.005205869674682617,16,13
109,7,7,21,ours_random,20,23,25,0.0063152313232421875,34,21
110,7,7,21,ours_temp,7,15,11,0.24387693405151367,12,9
111,7,7,21,Bravyi et al. (qiskit),7,11,13,0.009340286254882812,23,12
112,8,7,21,ours,16,19,14,0.00984334945678711,32,13
113,8,7,21,ours_random,15,20,21,0.010312557220458984,31,18
114,8,7,21,ours_temp,9,11,8,0.2620105743408203,14,6
115,8,7,21,Bravyi et al. (qiskit),7,8,13,0.007639884948730469,17,10
116,9,7,21,ours,14,21,11,0.006066799163818359,20,9
117,9,7,21,ours_random,16,17,22,0.006048917770385742,31,18
118,9,7,21,ours_temp,14,21,11,0.2727999687194824,20,9
