,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,1,0,0,0.0024132728576660156,1,0
1,0,5,1,ours_random,1,0,0,0.0017044544219970703,1,0
2,0,5,1,ours_temp,1,0,0,0.0674140453338623,1,0
3,0,5,1,Bravyi et al. (qiskit),1,0,0,0.010030269622802734,1,0
4,1,5,1,ours,0,0,1,0.001760244369506836,1,1
5,1,5,1,ours_random,0,0,1,0.0019593238830566406,1,1
6,1,5,1,ours_temp,0,0,1,0.07670211791992188,1,1
7,1,5,1,Bravyi et al. (qiskit),0,0,1,0.003669261932373047,1,1
8,2,5,1,ours,1,0,0,0.00159454345703125,1,0
9,2,5,1,ours_random,1,0,0,0.0015761852264404297,1,0
10,2,5,1,ours_temp,1,0,0,0.06235170364379883,1,0
11,2,5,1,Bravyi et al. (qiskit),1,0,0,0.003267526626586914,1,0
12,3,5,1,ours,0,0,1,0.001983642578125,1,1
13,3,5,1,ours_random,0,0,1,0.0017352104187011719,1,1
14,3,5,1,ours_temp,0,0,1,0.07747316360473633,1,1
15,3,5,1,Bravyi et al. (qiskit),0,0,1,0.003694295883178711,1,1
16,4,5,1,ours,1,0,0,0.0014657974243164062,1,0
17,4,5,1,ours_random,1,0,0,0.0014612674713134766,1,0
18,4,5,1,ours_temp,1,0,0,0.062287330627441406,1,0
19,4,5,1,Bravyi et al. (qiskit),1,0,0,0.003213644027709961,1,0
20,5,5,1,ours,0,0,1,0.0017583370208740234,1,1
21,5,5,1,ours_random,0,0,1,0.0018374919891357422,1,1
22,5,5,1,ours_temp,0,0,1,0.0804593563079834,1,1
23,5,5,1,Bravyi et al. (qiskit),0,0,1,0.00403285026550293,1,1
24,6,5,1,ours,0,1,0,0.0017375946044921875,1,0
25,6,5,1,ours_random,0,1,0,0.0024001598358154297,1,0
26,6,5,1,ours_temp,0,1,0,0.06359314918518066,1,0
27,6,5,1,Bravyi et al. (qiskit),0,1,0,0.0032401084899902344,1,0
28,7,5,1,ours,1,0,0,0.0016338825225830078,1,0
29,7,5,1,ours_random,1,0,0,0.0015048980712890625,1,0
30,7,5,1,ours_temp,1,0,0,0.06536388397216797,1,0
31,7,5,1,Bravyi et al. (qiskit),1,0,0,0.003228902816772461,1,0
32,8,5,1,ours,0,0,1,0.0017566680908203125,1,1
33,8,5,1,ours_random,0,0,1,0.0016829967498779297,1,1
34,8,5,1,ours_temp,0,0,1,0.07350873947143555,1,1
35,8,5,1,Bravyi et al. (qiskit),0,0,1,0.003689289093017578,1,1
36,9,5,1,ours,1,0,0,0.001497030258178711,1,0
37,9,5,1,ours_random,1,0,0,0.0014934539794921875,1,0
38,9,5,1,ours_temp,1,0,0,0.061757802963256836,1,0
39,9,5,1,Bravyi et al. (qiskit),1,0,0,0.0032067298889160156,1,0
40,10,5,1,ours,0,1,0,0.0014309883117675781,1,0
41,10,5,1,ours_random,0,1,0,0.0014262199401855469,1,0
42,10,5,1,ours_temp,0,1,0,0.06197714805603027,1,0
43,10,5,1,Bravyi et al. (qiskit),0,1,0,0.0031566619873046875,1,0
