,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,127,1,ours,1,0,0
1,0,127,1,qiskit transpile,1,0,0
2,0,127,1,Bravyi et al. (qiskit),1,0,0
3,0,127,1,Ewout van den Berg (stim),3,0,0
4,1,127,1,ours,0,0,1
5,1,127,1,qiskit transpile,0,0,1
6,1,127,1,Bravyi et al. (qiskit),0,0,1
7,1,127,1,Ewout van den Berg (stim),2,0,1
8,2,127,1,ours,0,1,0
9,2,127,1,qiskit transpile,0,1,0
10,2,127,1,Bravyi et al. (qiskit),0,1,0
11,2,127,1,Ewout van den Berg (stim),2,1,0
12,3,127,1,ours,1,0,0
13,3,127,1,qiskit transpile,1,0,0
14,3,127,1,Bravyi et al. (qiskit),1,0,0
15,3,127,1,Ewout van den Berg (stim),3,0,0
16,4,127,1,ours,1,0,0
17,4,127,1,qiskit transpile,1,0,0
18,4,127,1,Bravyi et al. (qiskit),1,0,0
19,4,127,1,Ewout van den Berg (stim),3,0,0
20,5,127,1,ours,0,1,0
21,5,127,1,qiskit transpile,0,1,0
22,5,127,1,Bravyi et al. (qiskit),0,1,0
23,5,127,1,Ewout van den Berg (stim),2,1,0
24,6,127,1,ours,0,1,0
25,6,127,1,qiskit transpile,0,1,0
26,6,127,1,Bravyi et al. (qiskit),0,1,0
27,6,127,1,Ewout van den Berg (stim),2,1,0
28,7,127,1,ours,0,1,0
29,7,127,1,qiskit transpile,0,1,0
30,7,127,1,Bravyi et al. (qiskit),0,1,0
31,7,127,1,Ewout van den Berg (stim),2,1,0
32,8,127,1,ours,0,1,0
33,8,127,1,qiskit transpile,0,1,0
34,8,127,1,Bravyi et al. (qiskit),0,1,0
35,8,127,1,Ewout van den Berg (stim),2,1,0
36,9,127,1,ours,0,0,1
37,9,127,1,qiskit transpile,4,0,1
38,9,127,1,Bravyi et al. (qiskit),4,0,1
39,9,127,1,Ewout van den Berg (stim),2,0,1
40,10,127,1,ours,0,1,0
41,10,127,1,qiskit transpile,0,1,0
42,10,127,1,Bravyi et al. (qiskit),0,1,0
43,10,127,1,Ewout van den Berg (stim),2,1,0
44,11,127,1,ours,0,0,1
45,11,127,1,qiskit transpile,4,0,1
46,11,127,1,Bravyi et al. (qiskit),4,0,1
47,11,127,1,Ewout van den Berg (stim),6,0,1
48,12,127,1,ours,1,0,0
49,12,127,1,qiskit transpile,1,0,0
50,12,127,1,Bravyi et al. (qiskit),1,0,0
51,12,127,1,Ewout van den Berg (stim),3,0,0
52,13,127,1,ours,0,1,0
53,13,127,1,qiskit transpile,0,1,0
54,13,127,1,Bravyi et al. (qiskit),0,1,0
55,13,127,1,Ewout van den Berg (stim),2,1,0
56,14,127,1,ours,0,1,0
57,14,127,1,qiskit transpile,0,1,0
58,14,127,1,Bravyi et al. (qiskit),0,1,0
59,14,127,1,Ewout van den Berg (stim),2,1,0
60,15,127,1,ours,0,1,0
61,15,127,1,qiskit transpile,0,1,0
62,15,127,1,Bravyi et al. (qiskit),0,1,0
63,15,127,1,Ewout van den Berg (stim),2,1,0
64,16,127,1,ours,0,1,0
65,16,127,1,qiskit transpile,0,1,0
66,16,127,1,Bravyi et al. (qiskit),0,1,0
67,16,127,1,Ewout van den Berg (stim),2,1,0
68,17,127,1,ours,1,0,0
69,17,127,1,qiskit transpile,1,0,0
70,17,127,1,Bravyi et al. (qiskit),1,0,0
71,17,127,1,Ewout van den Berg (stim),3,0,0
72,18,127,1,ours,0,1,0
73,18,127,1,qiskit transpile,0,1,0
74,18,127,1,Bravyi et al. (qiskit),0,1,0
75,18,127,1,Ewout van den Berg (stim),2,1,0
76,19,127,1,ours,1,0,0
77,19,127,1,qiskit transpile,1,0,0
78,19,127,1,Bravyi et al. (qiskit),1,0,0
79,19,127,1,Ewout van den Berg (stim),3,0,0
80,0,127,401,ours,1838,1306,7636
81,0,127,401,qiskit transpile,2236,130,1068
82,0,127,401,Bravyi et al. (qiskit),3542,231,1676
83,0,127,401,Ewout van den Berg (stim),5185,209,2462
84,1,127,401,ours,1869,1345,8036
85,1,127,401,qiskit transpile,2084,142,989
86,1,127,401,Bravyi et al. (qiskit),3142,221,1505
87,1,127,401,Ewout van den Berg (stim),4018,219,1918
88,2,127,401,ours,1806,1290,8007
89,2,127,401,qiskit transpile,2703,131,1286
90,2,127,401,Bravyi et al. (qiskit),4449,222,2142
91,2,127,401,Ewout van den Berg (stim),7681,243,3635
92,3,127,401,ours,2233,1521,8499
93,3,127,401,qiskit transpile,2306,108,1119
94,3,127,401,Bravyi et al. (qiskit),4147,205,1972
95,3,127,401,Ewout van den Berg (stim),6946,230,3393
96,4,127,401,ours,1801,1229,7569
97,4,127,401,qiskit transpile,2017,147,930
98,4,127,401,Bravyi et al. (qiskit),3111,210,1448
99,4,127,401,Ewout van den Berg (stim),3881,222,1843
100,5,127,401,ours,1627,1158,7645
101,5,127,401,qiskit transpile,2012,139,959
102,5,127,401,Bravyi et al. (qiskit),3079,205,1483
103,5,127,401,Ewout van den Berg (stim),5271,230,2536
104,6,127,401,ours,1693,1118,7194
105,6,127,401,qiskit transpile,2211,137,1036
106,6,127,401,Bravyi et al. (qiskit),3436,208,1629
107,6,127,401,Ewout van den Berg (stim),4433,203,2122
108,7,127,401,ours,1504,1020,6664
109,7,127,401,qiskit transpile,2044,137,943
110,7,127,401,Bravyi et al. (qiskit),2801,223,1342
111,7,127,401,Ewout van den Berg (stim),3521,221,1647
112,8,127,401,ours,1771,1249,6596
113,8,127,401,qiskit transpile,2188,130,1011
114,8,127,401,Bravyi et al. (qiskit),3498,208,1630
115,8,127,401,Ewout van den Berg (stim),4398,188,2114
116,9,127,401,ours,1726,1145,7670
117,9,127,401,qiskit transpile,2378,127,1162
118,9,127,401,Bravyi et al. (qiskit),3212,186,1500
119,9,127,401,Ewout van den Berg (stim),4575,210,2159
120,10,127,401,ours,1979,1355,7581
121,10,127,401,qiskit transpile,2647,133,1286
122,10,127,401,Bravyi et al. (qiskit),4471,192,2118
123,10,127,401,Ewout van den Berg (stim),6846,200,3344
124,11,127,401,ours,1878,1279,7685
125,11,127,401,qiskit transpile,2568,132,1258
126,11,127,401,Bravyi et al. (qiskit),3676,219,1757
127,11,127,401,Ewout van den Berg (stim),5905,223,2793
128,12,127,401,ours,1991,1381,7804
129,12,127,401,qiskit transpile,1809,134,834
130,12,127,401,Bravyi et al. (qiskit),2871,227,1379
131,12,127,401,Ewout van den Berg (stim),3339,234,1609
132,13,127,401,ours,2192,1486,8473
133,13,127,401,qiskit transpile,2754,121,1326
134,13,127,401,Bravyi et al. (qiskit),5125,210,2455
135,13,127,401,Ewout van den Berg (stim),8388,244,4088
136,14,127,401,ours,1941,1212,8438
137,14,127,401,qiskit transpile,2096,137,1000
138,14,127,401,Bravyi et al. (qiskit),3155,219,1492
139,14,127,401,Ewout van den Berg (stim),5309,239,2517
140,15,127,401,ours,1781,1189,7101
141,15,127,401,qiskit transpile,2096,127,998
142,15,127,401,Bravyi et al. (qiskit),3324,240,1587
143,15,127,401,Ewout van den Berg (stim),5199,243,2533
144,16,127,401,ours,1674,1263,7731
145,16,127,401,qiskit transpile,2182,147,1072
146,16,127,401,Bravyi et al. (qiskit),3747,213,1798
147,16,127,401,Ewout van den Berg (stim),5654,205,2757
148,17,127,401,ours,2015,1401,8594
149,17,127,401,qiskit transpile,2747,138,1328
150,17,127,401,Bravyi et al. (qiskit),4229,205,2046
151,17,127,401,Ewout van den Berg (stim),7620,234,3678
152,18,127,401,ours,1663,1144,6700
153,18,127,401,qiskit transpile,2401,129,1157
154,18,127,401,Bravyi et al. (qiskit),3493,208,1704
155,18,127,401,Ewout van den Berg (stim),6560,243,3202
156,19,127,401,ours,1727,1129,6847
157,19,127,401,qiskit transpile,1781,143,813
158,19,127,401,Bravyi et al. (qiskit),2357,247,1072
159,19,127,401,Ewout van den Berg (stim),3428,238,1642
160,0,127,801,ours,3616,2360,12497
161,0,127,801,qiskit transpile,7190,275,3518
162,0,127,801,Bravyi et al. (qiskit),17346,440,8583
163,0,127,801,Ewout van den Berg (stim),47387,557,24037
164,1,127,801,ours,3655,2346,12532
165,1,127,801,qiskit transpile,7811,281,3761
166,1,127,801,Bravyi et al. (qiskit),19971,381,9959
167,1,127,801,Ewout van den Berg (stim),58206,554,28988
168,2,127,801,ours,3654,2499,12310
169,2,127,801,qiskit transpile,7006,246,3431
170,2,127,801,Bravyi et al. (qiskit),20096,466,9977
171,2,127,801,Ewout van den Berg (stim),68980,748,34787
172,3,127,801,ours,3765,2548,13133
173,3,127,801,qiskit transpile,7443,260,3616
174,3,127,801,Bravyi et al. (qiskit),17831,468,8819
175,3,127,801,Ewout van den Berg (stim),51529,541,26058
176,4,127,801,ours,4000,2697,13723
177,4,127,801,qiskit transpile,7265,253,3590
178,4,127,801,Bravyi et al. (qiskit),24543,487,12140
179,4,127,801,Ewout van den Berg (stim),76793,756,38970
180,5,127,801,ours,3359,2320,12115
181,5,127,801,qiskit transpile,7310,271,3603
182,5,127,801,Bravyi et al. (qiskit),17512,436,8629
183,5,127,801,Ewout van den Berg (stim),56073,619,27599
184,6,127,801,ours,4010,2724,13587
185,6,127,801,qiskit transpile,8155,266,3959
186,6,127,801,Bravyi et al. (qiskit),26547,538,13204
187,6,127,801,Ewout van den Berg (stim),81327,831,39949
188,7,127,801,ours,3878,2630,13679
189,7,127,801,qiskit transpile,7592,272,3757
190,7,127,801,Bravyi et al. (qiskit),18902,438,9235
191,7,127,801,Ewout van den Berg (stim),61279,541,30209
192,8,127,801,ours,4025,2629,13871
193,8,127,801,qiskit transpile,6641,266,3238
194,8,127,801,Bravyi et al. (qiskit),19969,415,9866
195,8,127,801,Ewout van den Berg (stim),72906,800,36252
196,9,127,801,ours,3878,2637,13387
197,9,127,801,qiskit transpile,7133,283,3472
198,9,127,801,Bravyi et al. (qiskit),24342,541,11972
199,9,127,801,Ewout van den Berg (stim),75443,785,37860
200,10,127,801,ours,3789,2644,12994
201,10,127,801,qiskit transpile,7298,263,3516
202,10,127,801,Bravyi et al. (qiskit),25321,494,12447
203,10,127,801,Ewout van den Berg (stim),74425,862,37901
204,11,127,801,ours,3579,2372,12008
205,11,127,801,qiskit transpile,7743,258,3771
206,11,127,801,Bravyi et al. (qiskit),21096,471,10465
207,11,127,801,Ewout van den Berg (stim),52470,612,26311
208,12,127,801,ours,4106,2689,13696
209,12,127,801,qiskit transpile,7352,279,3572
210,12,127,801,Bravyi et al. (qiskit),20545,479,10084
211,12,127,801,Ewout van den Berg (stim),68760,725,33973
212,13,127,801,ours,3846,2686,13511
213,13,127,801,qiskit transpile,7138,271,3537
214,13,127,801,Bravyi et al. (qiskit),26049,492,13061
215,13,127,801,Ewout van den Berg (stim),57327,602,29003
216,14,127,801,ours,4067,2810,13840
217,14,127,801,qiskit transpile,7588,288,3730
218,14,127,801,Bravyi et al. (qiskit),19018,443,9321
219,14,127,801,Ewout van den Berg (stim),49503,518,25040
220,15,127,801,ours,3730,2498,12643
221,15,127,801,qiskit transpile,7130,267,3486
222,15,127,801,Bravyi et al. (qiskit),18600,453,9111
223,15,127,801,Ewout van den Berg (stim),46712,544,23372
224,16,127,801,ours,3865,2575,13386
225,16,127,801,qiskit transpile,7413,252,3616
226,16,127,801,Bravyi et al. (qiskit),19020,483,9411
227,16,127,801,Ewout van den Berg (stim),61887,635,30880
228,17,127,801,ours,3477,2338,12473
229,17,127,801,qiskit transpile,6889,280,3419
230,17,127,801,Bravyi et al. (qiskit),18798,472,9381
