,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,16,1,ours,0,1,0
1,0,16,1,qiskit transpile,0,1,0
2,0,16,1,Bravyi et al. (qiskit),0,1,0
3,0,16,1,Ewout van den Berg (stim),2,1,0
4,1,16,1,ours,0,1,0
5,1,16,1,qiskit transpile,0,1,0
6,1,16,1,Bravyi et al. (qiskit),0,1,0
7,1,16,1,Ewout van den Berg (stim),2,1,0
8,2,16,1,ours,0,0,1
9,2,16,1,qiskit transpile,0,0,1
10,2,16,1,Bravyi et al. (qiskit),0,0,1
11,2,16,1,Ewout van den Berg (stim),2,0,1
12,3,16,1,ours,0,1,0
13,3,16,1,qiskit transpile,0,1,0
14,3,16,1,Bravyi et al. (qiskit),0,1,0
15,3,16,1,Ewout van den Berg (stim),2,1,0
16,4,16,1,ours,0,0,1
17,4,16,1,qiskit transpile,0,0,1
18,4,16,1,Bravyi et al. (qiskit),0,0,1
19,4,16,1,Ewout van den Berg (stim),2,0,1
20,5,16,1,ours,0,1,0
21,5,16,1,qiskit transpile,0,1,0
22,5,16,1,Bravyi et al. (qiskit),0,1,0
23,5,16,1,Ewout van den Berg (stim),2,1,0
24,6,16,1,ours,0,1,0
25,6,16,1,qiskit transpile,0,1,0
26,6,16,1,Bravyi et al. (qiskit),0,1,0
27,6,16,1,Ewout van den Berg (stim),0,1,0
28,7,16,1,ours,1,0,0
29,7,16,1,qiskit transpile,1,0,0
30,7,16,1,Bravyi et al. (qiskit),1,0,0
31,7,16,1,Ewout van den Berg (stim),3,0,0
32,8,16,1,ours,0,1,0
33,8,16,1,qiskit transpile,0,1,0
34,8,16,1,Bravyi et al. (qiskit),0,1,0
35,8,16,1,Ewout van den Berg (stim),2,1,0
36,9,16,1,ours,0,0,1
37,9,16,1,qiskit transpile,0,0,1
38,9,16,1,Bravyi et al. (qiskit),0,0,1
39,9,16,1,Ewout van den Berg (stim),2,0,1
40,10,16,1,ours,0,0,1
41,10,16,1,qiskit transpile,0,0,1
42,10,16,1,Bravyi et al. (qiskit),0,0,1
43,10,16,1,Ewout van den Berg (stim),2,0,1
44,11,16,1,ours,0,1,0
45,11,16,1,qiskit transpile,0,1,0
46,11,16,1,Bravyi et al. (qiskit),0,1,0
47,11,16,1,Ewout van den Berg (stim),2,1,0
48,12,16,1,ours,1,0,0
49,12,16,1,qiskit transpile,1,0,0
50,12,16,1,Bravyi et al. (qiskit),1,0,0
51,12,16,1,Ewout van den Berg (stim),3,0,0
52,13,16,1,ours,0,0,1
53,13,16,1,qiskit transpile,0,0,1
54,13,16,1,Bravyi et al. (qiskit),0,0,1
55,13,16,1,Ewout van den Berg (stim),2,0,1
56,14,16,1,ours,0,1,0
57,14,16,1,qiskit transpile,0,1,0
58,14,16,1,Bravyi et al. (qiskit),0,1,0
59,14,16,1,Ewout van den Berg (stim),2,1,0
60,15,16,1,ours,1,0,0
61,15,16,1,qiskit transpile,1,0,0
62,15,16,1,Bravyi et al. (qiskit),1,0,0
63,15,16,1,Ewout van den Berg (stim),3,0,0
64,16,16,1,ours,0,1,0
65,16,16,1,qiskit transpile,0,1,0
66,16,16,1,Bravyi et al. (qiskit),0,1,0
67,16,16,1,Ewout van den Berg (stim),2,1,0
68,17,16,1,ours,0,1,0
69,17,16,1,qiskit transpile,0,1,0
70,17,16,1,Bravyi et al. (qiskit),0,1,0
71,17,16,1,Ewout van den Berg (stim),2,1,0
72,18,16,1,ours,0,1,0
73,18,16,1,qiskit transpile,0,1,0
74,18,16,1,Bravyi et al. (qiskit),0,1,0
75,18,16,1,Ewout van den Berg (stim),2,1,0
76,19,16,1,ours,1,0,0
77,19,16,1,qiskit transpile,1,0,0
78,19,16,1,Bravyi et al. (qiskit),1,0,0
79,19,16,1,Ewout van den Berg (stim),3,0,0
80,0,16,21,ours,5,16,10
81,0,16,21,qiskit transpile,5,9,7
82,0,16,21,Bravyi et al. (qiskit),3,10,10
83,0,16,21,Ewout van den Berg (stim),3,10,10
84,1,16,21,ours,3,9,7
85,1,16,21,qiskit transpile,5,9,7
86,1,16,21,Bravyi et al. (qiskit),5,11,8
87,1,16,21,Ewout van den Berg (stim),5,11,8
88,2,16,21,ours,18,15,14
89,2,16,21,qiskit transpile,7,5,9
90,2,16,21,Bravyi et al. (qiskit),11,5,10
91,2,16,21,Ewout van den Berg (stim),11,5,10
92,3,16,21,ours,10,21,14
93,3,16,21,qiskit transpile,6,10,5
94,3,16,21,Bravyi et al. (qiskit),6,8,5
95,3,16,21,Ewout van den Berg (stim),6,8,5
96,4,16,21,ours,12,14,7
97,4,16,21,qiskit transpile,6,8,7
98,4,16,21,Bravyi et al. (qiskit),16,7,10
99,4,16,21,Ewout van den Berg (stim),16,7,10
100,5,16,21,ours,13,17,7
101,5,16,21,qiskit transpile,6,8,7
102,5,16,21,Bravyi et al. (qiskit),11,11,10
103,5,16,21,Ewout van den Berg (stim),11,11,11
104,6,16,21,ours,13,12,8
105,6,16,21,qiskit transpile,6,7,8
106,6,16,21,Bravyi et al. (qiskit),15,12,10
107,6,16,21,Ewout van den Berg (stim),15,12,10
108,7,16,21,ours,25,35,17
109,7,16,21,qiskit transpile,7,6,8
110,7,16,21,Bravyi et al. (qiskit),9,9,13
111,7,16,21,Ewout van den Berg (stim),9,9,13
112,8,16,21,ours,11,21,11
113,8,16,21,qiskit transpile,4,11,6
114,8,16,21,Bravyi et al. (qiskit),6,12,7
115,8,16,21,Ewout van den Berg (stim),6,12,7
116,9,16,21,ours,25,35,22
117,9,16,21,qiskit transpile,8,7,6
118,9,16,21,Bravyi et al. (qiskit),9,10,7
119,9,16,21,Ewout van den Berg (stim),9,10,7
120,10,16,21,ours,8,11,5
121,10,16,21,qiskit transpile,7,8,6
122,10,16,21,Bravyi et al. (qiskit),5,8,5
123,10,16,21,Ewout van den Berg (stim),7,8,5
124,11,16,21,ours,12,9,32
125,11,16,21,qiskit transpile,8,2,11
126,11,16,21,Bravyi et al. (qiskit),8,2,21
127,11,16,21,Ewout van den Berg (stim),10,2,21
128,12,16,21,ours,9,13,8
129,12,16,21,qiskit transpile,7,7,7
130,12,16,21,Bravyi et al. (qiskit),7,7,8
131,12,16,21,Ewout van den Berg (stim),9,8,11
132,13,16,21,ours,3,9,9
133,13,16,21,qiskit transpile,3,9,9
134,13,16,21,Bravyi et al. (qiskit),9,10,10
135,13,16,21,Ewout van den Berg (stim),11,10,10
136,14,16,21,ours,10,16,9
137,14,16,21,qiskit transpile,7,6,8
138,14,16,21,Bravyi et al. (qiskit),11,8,10
139,14,16,21,Ewout van den Berg (stim),11,8,10
140,15,16,21,ours,17,18,6
141,15,16,21,qiskit transpile,5,9,7
142,15,16,21,Bravyi et al. (qiskit),14,15,7
143,15,16,21,Ewout van den Berg (stim),14,15,7
144,16,16,21,ours,18,22,8
145,16,16,21,qiskit transpile,6,7,8
146,16,16,21,Bravyi et al. (qiskit),12,15,9
147,16,16,21,Ewout van den Berg (stim),20,16,16
148,17,16,21,ours,4,12,5
149,17,16,21,qiskit transpile,6,10,5
150,17,16,21,Bravyi et al. (qiskit),8,13,7
151,17,16,21,Ewout van den Berg (stim),6,13,6
152,18,16,21,ours,7,12,18
153,18,16,21,qiskit transpile,7,5,9
154,18,16,21,Bravyi et al. (qiskit),11,7,14
155,18,16,21,Ewout van den Berg (stim),11,8,16
156,19,16,21,ours,9,14,8
157,19,16,21,qiskit transpile,7,6,8
158,19,16,21,Bravyi et al. (qiskit),14,10,12
159,19,16,21,Ewout van den Berg (stim),16,10,11
160,0,16,41,ours,43,46,46
161,0,16,41,qiskit transpile,15,12,14
162,0,16,41,Bravyi et al. (qiskit),31,18,24
163,0,16,41,Ewout van den Berg (stim),33,18,26
164,1,16,41,ours,28,35,33
165,1,16,41,qiskit transpile,12,14,15
166,1,16,41,Bravyi et al. (qiskit),12,17,20
167,1,16,41,Ewout van den Berg (stim),10,17,19
168,2,16,41,ours,41,57,41
169,2,16,41,qiskit transpile,13,11,17
170,2,16,41,Bravyi et al. (qiskit),21,12,24
171,2,16,41,Ewout van den Berg (stim),32,30,27
172,3,16,41,ours,29,27,24
173,3,16,41,qiskit transpile,13,13,15
174,3,16,41,Bravyi et al. (qiskit),25,25,23
175,3,16,41,Ewout van den Berg (stim),27,25,23
176,4,16,41,ours,16,32,23
177,4,16,41,qiskit transpile,12,18,11
178,4,16,41,Bravyi et al. (qiskit),20,35,15
179,4,16,41,Ewout van den Berg (stim),20,35,15
180,5,16,41,ours,22,23,23
181,5,16,41,qiskit transpile,12,15,14
182,5,16,41,Bravyi et al. (qiskit),16,15,23
183,5,16,41,Ewout van den Berg (stim),16,15,23
184,6,16,41,ours,25,31,16
185,6,16,41,qiskit transpile,15,15,11
186,6,16,41,Bravyi et al. (qiskit),23,29,21
187,6,16,41,Ewout van den Berg (stim),19,28,16
188,7,16,41,ours,65,66,62
189,7,16,41,qiskit transpile,10,13,18
190,7,16,41,Bravyi et al. (qiskit),29,25,26
191,7,16,41,Ewout van den Berg (stim),31,29,27
192,8,16,41,ours,45,37,55
193,8,16,41,qiskit transpile,13,10,18
194,8,16,41,Bravyi et al. (qiskit),30,23,31
195,8,16,41,Ewout van den Berg (stim),31,21,32
196,9,16,41,ours,29,32,29
197,9,16,41,qiskit transpile,15,11,15
198,9,16,41,Bravyi et al. (qiskit),21,14,25
199,9,16,41,Ewout van den Berg (stim),23,14,23
200,10,16,41,ours,35,29,43
201,10,16,41,qiskit transpile,17,8,16
202,10,16,41,Bravyi et al. (qiskit),21,11,24
203,10,16,41,Ewout van den Berg (stim),21,11,24
204,11,16,41,ours,38,36,36
205,11,16,41,qiskit transpile,13,15,13
206,11,16,41,Bravyi et al. (qiskit),27,21,24
207,11,16,41,Ewout van den Berg (stim),29,21,22
208,12,16,41,ours,33,34,34
209,12,16,41,qiskit transpile,13,13,15
210,12,16,41,Bravyi et al. (qiskit),19,16,19
211,12,16,41,Ewout van den Berg (stim),19,16,21
212,13,16,41,ours,26,36,26
213,13,16,41,qiskit transpile,16,15,10
214,13,16,41,Bravyi et al. (qiskit),28,35,11
215,13,16,41,Ewout van den Berg (stim),28,35,11
216,14,16,41,ours,27,29,20
217,14,16,41,qiskit transpile,14,15,12
218,14,16,41,Bravyi et al. (qiskit),25,14,19
219,14,16,41,Ewout van den Berg (stim),31,15,23
220,15,16,41,ours,14,25,11
221,15,16,41,qiskit transpile,18,13,10
222,15,16,41,Bravyi et al. (qiskit),17,15,14
223,15,16,41,Ewout van den Berg (stim),17,15,16
224,16,16,41,ours,23,32,39
225,16,16,41,qiskit transpile,12,13,16
226,16,16,41,Bravyi et al. (qiskit),22,21,23
227,16,16,41,Ewout van den Berg (stim),23,25,28
228,17,16,41,ours,18,27,20
229,17,16,41,qiskit transpile,10,15,16
230,17,16,41,Bravyi et al. (qiskit),26,23,26
231,17,16,41,Ewout van den Berg (stim),24,23,24
232,18,16,41,ours,31,37,47
233,18,16,41,qiskit transpile,13,11,17
234,18,16,41,Bravyi et al. (qiskit),13,19,28
235,18,16,41,Ewout van den Berg (stim),15,19,31
236,19,16,41,ours,43,48,42
237,19,16,41,qiskit transpile,7,14,20
238,19,16,41,Bravyi et al. (qiskit),27,32,35
239,19,16,41,Ewout van den Berg (stim),31,31,37
240,0,16,61,ours,44,43,37
241,0,16,61,qiskit transpile,24,22,15
242,0,16,61,Bravyi et al. (qiskit),28,31,24
243,0,16,61,Ewout van den Berg (stim),25,28,20
244,1,16,61,ours,35,48,47
245,1,16,61,qiskit transpile,21,23,17
246,1,16,61,Bravyi et al. (qiskit),29,29,19
247,1,16,61,Ewout van den Berg (stim),27,30,26
248,2,16,61,ours,44,55,67
249,2,16,61,qiskit transpile,19,17,25
250,2,16,61,Bravyi et al. (qiskit),32,32,41
251,2,16,61,Ewout van den Berg (stim),37,28,42
252,3,16,61,ours,37,45,63
253,3,16,61,qiskit transpile,22,20,19
254,3,16,61,Bravyi et al. (qiskit),31,37,26
255,3,16,61,Ewout van den Berg (stim),31,37,26
256,4,16,61,ours,46,50,45
257,4,16,61,qiskit transpile,20,19,22
258,4,16,61,Bravyi et al. (qiskit),42,44,40
259,4,16,61,Ewout van den Berg (stim),46,40,40
260,5,16,61,ours,25,38,30
261,5,16,61,qiskit transpile,16,24,21
262,5,16,61,Bravyi et al. (qiskit),32,40,37
263,5,16,61,Ewout van den Berg (stim),44,42,54
264,6,16,61,ours,34,51,51
265,6,16,61,qiskit transpile,16,27,18
266,6,16,61,Bravyi et al. (qiskit),34,36,25
267,6,16,61,Ewout van den Berg (stim),34,40,27
268,7,16,61,ours,34,45,27
269,7,16,61,qiskit transpile,23,24,14
270,7,16,61,Bravyi et al. (qiskit),43,41,28
271,7,16,61,Ewout van den Berg (stim),47,39,37
272,8,16,61,ours,58,61,68
273,8,16,61,qiskit transpile,26,14,19
274,8,16,61,Bravyi et al. (qiskit),36,31,30
275,8,16,61,Ewout van den Berg (stim),35,20,36
276,9,16,61,ours,42,48,63
277,9,16,61,qiskit transpile,25,15,19
278,9,16,61,Bravyi et al. (qiskit),23,18,23
279,9,16,61,Ewout van den Berg (stim),23,17,21
280,10,16,61,ours,39,59,45
281,10,16,61,qiskit transpile,19,27,15
282,10,16,61,Bravyi et al. (qiskit),31,49,21
283,10,16,61,Ewout van den Berg (stim),35,42,23
284,11,16,61,ours,32,45,39
285,11,16,61,qiskit transpile,16,27,18
286,11,16,61,Bravyi et al. (qiskit),23,32,33
287,11,16,61,Ewout van den Berg (stim),21,28,36
288,12,16,61,ours,43,33,47
289,12,16,61,qiskit transpile,19,20,22
290,12,16,61,Bravyi et al. (qiskit),27,16,32
291,12,16,61,Ewout van den Berg (stim),35,24,39
292,13,16,61,ours,21,25,27
293,13,16,61,qiskit transpile,24,21,16
294,13,16,61,Bravyi et al. (qiskit),33,30,26
295,13,16,61,Ewout van den Berg (stim),40,37,30
296,14,16,61,ours,48,44,66
297,14,16,61,qiskit transpile,20,21,20
298,14,16,61,Bravyi et al. (qiskit),27,32,34
