,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,1,0,0,0.006518125534057617,2,2
1,0,5,1,qiskit transpile,1,0,0,0.008598089218139648,1,1
2,0,5,1,Bravyi et al. (qiskit),1,0,0,0.0063629150390625,1,1
3,0,5,1,Ewout van den Berg (stim),1,0,0,0.0069239139556884766,1,1
4,0,5,1,Duncan et al (pyzx),1,0,0,0.007510185241699219,1,1
5,0,5,1,Maslov et al,9,0,54,0.02024388313293457,29,29
6,1,5,1,ours,1,0,0,0.0065648555755615234,2,2
7,1,5,1,qiskit transpile,1,0,0,0.004606008529663086,1,1
8,1,5,1,Bravyi et al. (qiskit),1,0,0,0.007318019866943359,1,1
9,1,5,1,Ewout van den Berg (stim),1,0,0,0.006559133529663086,1,1
10,1,5,1,Duncan et al (pyzx),1,0,0,0.004192829132080078,1,1
11,1,5,1,Maslov et al,9,0,54,0.020862102508544922,29,29
12,2,5,1,ours,0,1,0,0.010688066482543945,2,2
13,2,5,1,qiskit transpile,0,1,0,0.014284133911132812,1,1
14,2,5,1,Bravyi et al. (qiskit),0,1,0,0.014908790588378906,1,1
15,2,5,1,Ewout van den Berg (stim),0,1,0,0.009896039962768555,1,1
16,2,5,1,Duncan et al (pyzx),0,1,0,0.007258892059326172,1,1
17,2,5,1,Maslov et al,10,1,54,0.03305387496948242,29,29
18,3,5,1,ours,0,1,0,0.010515213012695312,2,2
19,3,5,1,qiskit transpile,0,1,0,0.004824161529541016,1,1
20,3,5,1,Bravyi et al. (qiskit),0,1,0,0.006479024887084961,1,1
21,3,5,1,Ewout van den Berg (stim),0,1,0,0.011541128158569336,1,1
22,3,5,1,Duncan et al (pyzx),0,1,0,0.01741504669189453,1,1
23,3,5,1,Maslov et al,10,1,54,0.03406500816345215,30,30
24,4,5,1,ours,1,0,0,0.00790715217590332,2,2
25,4,5,1,qiskit transpile,1,0,0,0.007370948791503906,1,1
26,4,5,1,Bravyi et al. (qiskit),1,0,0,0.008387088775634766,1,1
27,4,5,1,Ewout van den Berg (stim),1,0,0,0.0055272579193115234,1,1
28,4,5,1,Duncan et al (pyzx),1,0,0,0.005151987075805664,1,1
29,4,5,1,Maslov et al,9,0,54,0.018723249435424805,29,29
30,5,5,1,ours,0,0,1,0.006422758102416992,2,2
31,5,5,1,qiskit transpile,0,0,1,0.004271030426025391,1,1
32,5,5,1,Bravyi et al. (qiskit),0,0,1,0.0038368701934814453,1,1
33,5,5,1,Ewout van den Berg (stim),0,0,1,0.009476184844970703,1,1
34,5,5,1,Duncan et al (pyzx),4,0,1,0.010307073593139648,3,3
35,5,5,1,Maslov et al,10,0,53,0.030827045440673828,29,29
36,6,5,1,ours,1,0,0,0.01939105987548828,2,2
37,6,5,1,qiskit transpile,1,0,0,0.010069847106933594,1,1
38,6,5,1,Bravyi et al. (qiskit),1,0,0,0.012059211730957031,1,1
39,6,5,1,Ewout van den Berg (stim),1,0,0,0.0162198543548584,1,1
40,6,5,1,Duncan et al (pyzx),1,0,0,0.01257014274597168,1,1
41,6,5,1,Maslov et al,9,0,54,0.06746411323547363,29,29
42,7,5,1,ours,0,1,0,0.004378318786621094,2,2
43,7,5,1,qiskit transpile,0,1,0,0.011054039001464844,1,1
44,7,5,1,Bravyi et al. (qiskit),0,1,0,0.009192943572998047,1,1
45,7,5,1,Ewout van den Berg (stim),0,1,0,0.005816936492919922,1,1
46,7,5,1,Duncan et al (pyzx),0,1,0,0.005892038345336914,1,1
47,7,5,1,Maslov et al,10,1,54,0.03300786018371582,30,30
48,8,5,1,ours,1,0,0,0.008085012435913086,2,2
49,8,5,1,qiskit transpile,1,0,0,0.007030963897705078,1,1
50,8,5,1,Bravyi et al. (qiskit),1,0,0,0.009020328521728516,1,1
51,8,5,1,Ewout van den Berg (stim),1,0,0,0.017279863357543945,1,1
52,8,5,1,Duncan et al (pyzx),1,0,0,0.010456085205078125,1,1
53,8,5,1,Maslov et al,9,0,54,0.018217086791992188,29,29
54,9,5,1,ours,1,0,0,0.005249977111816406,2,2
55,9,5,1,qiskit transpile,1,0,0,0.003690958023071289,1,1
56,9,5,1,Bravyi et al. (qiskit),1,0,0,0.0034942626953125,1,1
57,9,5,1,Ewout van den Berg (stim),1,0,0,0.005027055740356445,1,1
58,9,5,1,Duncan et al (pyzx),1,0,0,0.004700899124145508,1,1
59,9,5,1,Maslov et al,9,0,54,0.01718902587890625,29,29
60,10,5,1,ours,0,0,1,0.006217002868652344,2,2
61,10,5,1,qiskit transpile,0,0,1,0.0036389827728271484,1,1
62,10,5,1,Bravyi et al. (qiskit),0,0,1,0.005148887634277344,1,1
63,10,5,1,Ewout van den Berg (stim),0,0,1,0.004476070404052734,1,1
64,10,5,1,Duncan et al (pyzx),4,0,1,0.005995035171508789,3,3
65,10,5,1,Maslov et al,10,0,59,0.014987945556640625,32,32
66,11,5,1,ours,1,0,0,0.003682851791381836,2,2
67,11,5,1,qiskit transpile,1,0,0,0.004416942596435547,1,1
68,11,5,1,Bravyi et al. (qiskit),1,0,0,0.0030050277709960938,1,1
69,11,5,1,Ewout van den Berg (stim),1,0,0,0.004929065704345703,1,1
70,11,5,1,Duncan et al (pyzx),1,0,0,0.004195213317871094,1,1
71,11,5,1,Maslov et al,9,0,54,0.016852855682373047,29,29
72,12,5,1,ours,0,0,1,0.00651097297668457,2,2
73,12,5,1,qiskit transpile,0,0,1,0.0038280487060546875,1,1
74,12,5,1,Bravyi et al. (qiskit),0,0,1,0.004025697708129883,1,1
75,12,5,1,Ewout van den Berg (stim),0,0,1,0.013120889663696289,1,1
76,12,5,1,Duncan et al (pyzx),4,0,1,0.00939178466796875,3,3
77,12,5,1,Maslov et al,10,0,59,0.025784015655517578,32,32
78,13,5,1,ours,1,0,0,0.0031082630157470703,2,2
79,13,5,1,qiskit transpile,1,0,0,0.005944728851318359,1,1
80,13,5,1,Bravyi et al. (qiskit),1,0,0,0.009387969970703125,1,1
