,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,65,1,ours,0,1,0
1,0,65,1,qiskit transpile,0,1,0
2,0,65,1,Bravyi et al. (qiskit),0,1,0
3,0,65,1,Ewout van den Berg (stim),2,1,0
4,1,65,1,ours,0,1,0
5,1,65,1,qiskit transpile,0,1,0
6,1,65,1,Bravyi et al. (qiskit),0,1,0
7,1,65,1,Ewout van den Berg (stim),2,1,0
8,2,65,1,ours,1,0,0
9,2,65,1,qiskit transpile,1,0,0
10,2,65,1,Bravyi et al. (qiskit),1,0,0
11,2,65,1,Ewout van den Berg (stim),3,0,0
12,3,65,1,ours,0,1,0
13,3,65,1,qiskit transpile,0,1,0
14,3,65,1,Bravyi et al. (qiskit),0,1,0
15,3,65,1,Ewout van den Berg (stim),2,1,0
16,4,65,1,ours,0,0,1
17,4,65,1,qiskit transpile,0,0,1
18,4,65,1,Bravyi et al. (qiskit),0,0,1
19,4,65,1,Ewout van den Berg (stim),2,0,1
20,5,65,1,ours,0,1,0
21,5,65,1,qiskit transpile,0,1,0
22,5,65,1,Bravyi et al. (qiskit),0,1,0
23,5,65,1,Ewout van den Berg (stim),2,1,0
24,6,65,1,ours,0,0,1
25,6,65,1,qiskit transpile,0,0,1
26,6,65,1,Bravyi et al. (qiskit),0,0,1
27,6,65,1,Ewout van den Berg (stim),2,0,1
28,7,65,1,ours,0,0,1
29,7,65,1,qiskit transpile,0,0,1
30,7,65,1,Bravyi et al. (qiskit),0,0,1
31,7,65,1,Ewout van den Berg (stim),2,0,1
32,8,65,1,ours,0,1,0
33,8,65,1,qiskit transpile,0,1,0
34,8,65,1,Bravyi et al. (qiskit),0,1,0
35,8,65,1,Ewout van den Berg (stim),2,1,0
36,9,65,1,ours,0,1,0
37,9,65,1,qiskit transpile,0,1,0
38,9,65,1,Bravyi et al. (qiskit),0,1,0
39,9,65,1,Ewout van den Berg (stim),2,1,0
40,10,65,1,ours,1,0,0
41,10,65,1,qiskit transpile,1,0,0
42,10,65,1,Bravyi et al. (qiskit),1,0,0
43,10,65,1,Ewout van den Berg (stim),3,0,0
44,11,65,1,ours,1,0,0
45,11,65,1,qiskit transpile,1,0,0
46,11,65,1,Bravyi et al. (qiskit),1,0,0
47,11,65,1,Ewout van den Berg (stim),3,0,0
48,12,65,1,ours,0,0,1
49,12,65,1,qiskit transpile,0,0,1
50,12,65,1,Bravyi et al. (qiskit),0,0,1
51,12,65,1,Ewout van den Berg (stim),2,0,1
52,13,65,1,ours,1,0,0
53,13,65,1,qiskit transpile,1,0,0
54,13,65,1,Bravyi et al. (qiskit),1,0,0
55,13,65,1,Ewout van den Berg (stim),3,0,0
56,14,65,1,ours,0,1,0
57,14,65,1,qiskit transpile,0,1,0
58,14,65,1,Bravyi et al. (qiskit),0,1,0
59,14,65,1,Ewout van den Berg (stim),2,1,0
60,15,65,1,ours,1,0,0
61,15,65,1,qiskit transpile,1,0,0
62,15,65,1,Bravyi et al. (qiskit),1,0,0
63,15,65,1,Ewout van den Berg (stim),3,0,0
64,16,65,1,ours,0,0,1
65,16,65,1,qiskit transpile,0,0,1
66,16,65,1,Bravyi et al. (qiskit),0,0,1
67,16,65,1,Ewout van den Berg (stim),2,0,1
68,17,65,1,ours,0,0,1
69,17,65,1,qiskit transpile,0,0,1
70,17,65,1,Bravyi et al. (qiskit),0,0,1
71,17,65,1,Ewout van den Berg (stim),2,0,1
72,18,65,1,ours,0,1,0
73,18,65,1,qiskit transpile,0,1,0
74,18,65,1,Bravyi et al. (qiskit),0,1,0
75,18,65,1,Ewout van den Berg (stim),2,1,0
76,19,65,1,ours,0,1,0
77,19,65,1,qiskit transpile,0,1,0
78,19,65,1,Bravyi et al. (qiskit),0,1,0
79,19,65,1,Ewout van den Berg (stim),2,1,0
80,0,65,101,ours,77,80,78
81,0,65,101,qiskit transpile,32,32,37
82,0,65,101,Bravyi et al. (qiskit),48,47,49
83,0,65,101,Ewout van den Berg (stim),50,45,49
84,1,65,101,ours,55,70,38
85,1,65,101,qiskit transpile,34,33,32
86,1,65,101,Bravyi et al. (qiskit),45,44,37
87,1,65,101,Ewout van den Berg (stim),45,44,37
88,2,65,101,ours,80,109,87
89,2,65,101,qiskit transpile,28,39,34
90,2,65,101,Bravyi et al. (qiskit),46,53,56
91,2,65,101,Ewout van den Berg (stim),47,46,55
92,3,65,101,ours,74,84,87
93,3,65,101,qiskit transpile,34,29,38
94,3,65,101,Bravyi et al. (qiskit),56,42,58
95,3,65,101,Ewout van den Berg (stim),64,41,68
96,4,65,101,ours,62,82,67
97,4,65,101,qiskit transpile,37,33,31
98,4,65,101,Bravyi et al. (qiskit),50,46,49
99,4,65,101,Ewout van den Berg (stim),45,44,49
100,5,65,101,ours,81,90,86
101,5,65,101,qiskit transpile,35,32,34
102,5,65,101,Bravyi et al. (qiskit),48,51,45
103,5,65,101,Ewout van den Berg (stim),58,55,55
104,6,65,101,ours,65,76,77
105,6,65,101,qiskit transpile,35,28,38
106,6,65,101,Bravyi et al. (qiskit),47,35,52
107,6,65,101,Ewout van den Berg (stim),47,37,50
108,7,65,101,ours,50,84,39
109,7,65,101,qiskit transpile,29,43,29
110,7,65,101,Bravyi et al. (qiskit),40,60,38
111,7,65,101,Ewout van den Berg (stim),40,60,38
112,8,65,101,ours,69,99,84
113,8,65,101,qiskit transpile,36,40,25
114,8,65,101,Bravyi et al. (qiskit),39,44,33
115,8,65,101,Ewout van den Berg (stim),39,44,33
116,9,65,101,ours,51,61,62
117,9,65,101,qiskit transpile,28,37,36
118,9,65,101,Bravyi et al. (qiskit),30,43,38
119,9,65,101,Ewout van den Berg (stim),30,43,38
120,10,65,101,ours,51,63,32
121,10,65,101,qiskit transpile,45,31,25
122,10,65,101,Bravyi et al. (qiskit),47,44,38
123,10,65,101,Ewout van den Berg (stim),46,42,37
124,11,65,101,ours,48,73,54
125,11,65,101,qiskit transpile,36,33,32
126,11,65,101,Bravyi et al. (qiskit),35,41,40
127,11,65,101,Ewout van den Berg (stim),35,41,42
128,12,65,101,ours,53,81,44
129,12,65,101,qiskit transpile,25,42,32
130,12,65,101,Bravyi et al. (qiskit),34,52,45
131,12,65,101,Ewout van den Berg (stim),34,52,45
132,13,65,101,ours,57,73,113
133,13,65,101,qiskit transpile,27,32,42
134,13,65,101,Bravyi et al. (qiskit),34,43,55
135,13,65,101,Ewout van den Berg (stim),38,44,58
136,14,65,101,ours,83,105,90
137,14,65,101,qiskit transpile,40,32,29
138,14,65,101,Bravyi et al. (qiskit),43,42,39
139,14,65,101,Ewout van den Berg (stim),43,43,40
140,15,65,101,ours,78,114,108
141,15,65,101,qiskit transpile,29,30,42
142,15,65,101,Bravyi et al. (qiskit),50,54,59
143,15,65,101,Ewout van den Berg (stim),52,54,61
144,16,65,101,ours,66,74,69
145,16,65,101,qiskit transpile,37,33,29
146,16,65,101,Bravyi et al. (qiskit),46,40,38
147,16,65,101,Ewout van den Berg (stim),46,40,40
148,17,65,101,ours,94,96,155
149,17,65,101,qiskit transpile,35,26,40
150,17,65,101,Bravyi et al. (qiskit),55,43,65
151,17,65,101,Ewout van den Berg (stim),47,35,66
152,18,65,101,ours,67,87,54
153,18,65,101,qiskit transpile,29,35,37
154,18,65,101,Bravyi et al. (qiskit),59,57,48
155,18,65,101,Ewout van den Berg (stim),64,62,53
156,19,65,101,ours,65,90,97
157,19,65,101,qiskit transpile,31,33,35
158,19,65,101,Bravyi et al. (qiskit),39,40,51
159,19,65,101,Ewout van den Berg (stim),39,40,51
160,0,65,201,ours,151,155,286
161,0,65,201,qiskit transpile,73,64,64
162,0,65,201,Bravyi et al. (qiskit),94,107,99
163,0,65,201,Ewout van den Berg (stim),108,107,130
164,1,65,201,ours,154,177,239
165,1,65,201,qiskit transpile,71,72,58
166,1,65,201,Bravyi et al. (qiskit),95,109,85
167,1,65,201,Ewout van den Berg (stim),86,89,91
168,2,65,201,ours,171,173,248
169,2,65,201,qiskit transpile,79,59,63
170,2,65,201,Bravyi et al. (qiskit),106,98,98
171,2,65,201,Ewout van den Berg (stim),128,117,140
172,3,65,201,ours,203,182,332
173,3,65,201,qiskit transpile,83,57,61
174,3,65,201,Bravyi et al. (qiskit),110,93,94
175,3,65,201,Ewout van den Berg (stim),149,131,144
176,4,65,201,ours,202,198,262
177,4,65,201,qiskit transpile,59,76,66
178,4,65,201,Bravyi et al. (qiskit),101,109,111
179,4,65,201,Ewout van den Berg (stim),127,131,135
180,5,65,201,ours,226,194,337
181,5,65,201,qiskit transpile,67,63,69
182,5,65,201,Bravyi et al. (qiskit),123,109,120
183,5,65,201,Ewout van den Berg (stim),135,116,169
184,6,65,201,ours,194,210,218
185,6,65,201,qiskit transpile,78,65,58
186,6,65,201,Bravyi et al. (qiskit),105,135,105
187,6,65,201,Ewout van den Berg (stim),132,146,144
188,7,65,201,ours,182,199,288
189,7,65,201,qiskit transpile,65,79,55
190,7,65,201,Bravyi et al. (qiskit),95,111,90
191,7,65,201,Ewout van den Berg (stim),123,127,116
192,8,65,201,ours,214,211,324
193,8,65,201,qiskit transpile,60,67,74
194,8,65,201,Bravyi et al. (qiskit),106,124,115
195,8,65,201,Ewout van den Berg (stim),171,145,185
196,9,65,201,ours,200,213,361
197,9,65,201,qiskit transpile,64,61,76
198,9,65,201,Bravyi et al. (qiskit),101,99,139
199,9,65,201,Ewout van den Berg (stim),124,115,183
200,10,65,201,ours,183,172,241
201,10,65,201,qiskit transpile,81,59,61
202,10,65,201,Bravyi et al. (qiskit),96,94,84
203,10,65,201,Ewout van den Berg (stim),114,109,114
204,11,65,201,ours,192,184,352
205,11,65,201,qiskit transpile,62,65,74
206,11,65,201,Bravyi et al. (qiskit),114,131,121
207,11,65,201,Ewout van den Berg (stim),162,122,193
208,12,65,201,ours,233,193,316
209,12,65,201,qiskit transpile,64,70,67
210,12,65,201,Bravyi et al. (qiskit),110,104,106
211,12,65,201,Ewout van den Berg (stim),130,137,148
212,13,65,201,ours,337,293,541
213,13,65,201,qiskit transpile,65,58,78
214,13,65,201,Bravyi et al. (qiskit),150,133,170
215,13,65,201,Ewout van den Berg (stim),230,140,271
216,14,65,201,ours,174,189,240
217,14,65,201,qiskit transpile,67,65,69
218,14,65,201,Bravyi et al. (qiskit),106,115,97
219,14,65,201,Ewout van den Berg (stim),111,123,115
220,15,65,201,ours,199,190,342
221,15,65,201,qiskit transpile,69,58,74
222,15,65,201,Bravyi et al. (qiskit),94,99,114
223,15,65,201,Ewout van den Berg (stim),105,88,140
224,16,65,201,ours,133,145,186
225,16,65,201,qiskit transpile,66,78,57
226,16,65,201,Bravyi et al. (qiskit),79,95,88
227,16,65,201,Ewout van den Berg (stim),121,100,135
228,17,65,201,ours,226,213,368
229,17,65,201,qiskit transpile,64,69,68
230,17,65,201,Bravyi et al. (qiskit),113,121,126
231,17,65,201,Ewout van den Berg (stim),210,144,252
232,18,65,201,ours,162,184,238
233,18,65,201,qiskit transpile,76,64,61
234,18,65,201,Bravyi et al. (qiskit),99,86,96
235,18,65,201,Ewout van den Berg (stim),138,113,133
236,19,65,201,ours,266,270,426
237,19,65,201,qiskit transpile,67,72,62
238,19,65,201,Bravyi et al. (qiskit),102,114,87
239,19,65,201,Ewout van den Berg (stim),139,129,141
240,0,65,301,ours,309,258,526
241,0,65,301,qiskit transpile,113,93,95
242,0,65,301,Bravyi et al. (qiskit),168,169,187
243,0,65,301,Ewout van den Berg (stim),276,166,350
244,1,65,301,ours,404,340,692
245,1,65,301,qiskit transpile,88,114,99
246,1,65,301,Bravyi et al. (qiskit),174,175,216
247,1,65,301,Ewout van den Berg (stim),276,173,367
248,2,65,301,ours,399,344,721
249,2,65,301,qiskit transpile,100,101,100
250,2,65,301,Bravyi et al. (qiskit),182,166,226
251,2,65,301,Ewout van den Berg (stim),288,211,387
252,3,65,301,ours,387,324,744
253,3,65,301,qiskit transpile,103,97,101
254,3,65,301,Bravyi et al. (qiskit),161,146,214
255,3,65,301,Ewout van den Berg (stim),233,176,342
256,4,65,301,ours,447,363,772
257,4,65,301,qiskit transpile,101,102,98
258,4,65,301,Bravyi et al. (qiskit),196,157,251
259,4,65,301,Ewout van den Berg (stim),271,181,328
260,5,65,301,ours,454,345,775
261,5,65,301,qiskit transpile,120,83,98
262,5,65,301,Bravyi et al. (qiskit),196,155,235
263,5,65,301,Ewout van den Berg (stim),345,199,466
264,6,65,301,ours,390,312,706
265,6,65,301,qiskit transpile,111,85,105
266,6,65,301,Bravyi et al. (qiskit),195,147,264
267,6,65,301,Ewout van den Berg (stim),371,233,567
268,7,65,301,ours,411,359,851
269,7,65,301,qiskit transpile,109,89,103
270,7,65,301,Bravyi et al. (qiskit),182,155,257
271,7,65,301,Ewout van den Berg (stim),484,224,651
272,8,65,301,ours,490,369,845
273,8,65,301,qiskit transpile,87,100,114
274,8,65,301,Bravyi et al. (qiskit),207,180,266
275,8,65,301,Ewout van den Berg (stim),407,233,558
276,9,65,301,ours,330,313,576
277,9,65,301,qiskit transpile,107,97,97
278,9,65,301,Bravyi et al. (qiskit),171,155,184
279,9,65,301,Ewout van den Berg (stim),274,207,322
280,10,65,301,ours,412,347,742
281,10,65,301,qiskit transpile,106,90,105
282,10,65,301,Bravyi et al. (qiskit),174,146,229
283,10,65,301,Ewout van den Berg (stim),284,178,373
284,11,65,301,ours,386,310,663
285,11,65,301,qiskit transpile,104,106,91
286,11,65,301,Bravyi et al. (qiskit),187,188,179
287,11,65,301,Ewout van den Berg (stim),298,179,387
288,12,65,301,ours,464,395,818
289,12,65,301,qiskit transpile,82,114,105
290,12,65,301,Bravyi et al. (qiskit),159,143,216
291,12,65,301,Ewout van den Berg (stim),271,213,382
292,13,65,301,ours,331,262,502
293,13,65,301,qiskit transpile,128,82,89
294,13,65,301,Bravyi et al. (qiskit),167,143,183
295,13,65,301,Ewout van den Berg (stim),304,177,386
296,14,65,301,ours,467,337,894
297,14,65,301,qiskit transpile,99,90,110
298,14,65,301,Bravyi et al. (qiskit),184,169,245
299,14,65,301,Ewout van den Berg (stim),309,178,424
300,15,65,301,ours,413,331,771
301,15,65,301,qiskit transpile,112,79,108
302,15,65,301,Bravyi et al. (qiskit),195,135,264
303,15,65,301,Ewout van den Berg (stim),367,163,502
304,16,65,301,ours,409,319,716
305,16,65,301,qiskit transpile,108,98,93
306,16,65,301,Bravyi et al. (qiskit),170,139,193
307,16,65,301,Ewout van den Berg (stim),295,184,357
308,17,65,301,ours,323,270,566
309,17,65,301,qiskit transpile,107,99,95
310,17,65,301,Bravyi et al. (qiskit),153,161,171
311,17,65,301,Ewout van den Berg (stim),228,150,270
312,18,65,301,ours,278,246,473
313,18,65,301,qiskit transpile,105,104,92
314,18,65,301,Bravyi et al. (qiskit),165,168,176
315,18,65,301,Ewout van den Berg (stim),260,179,288
316,19,65,301,ours,389,335,678
317,19,65,301,qiskit transpile,99,104,98
318,19,65,301,Bravyi et al. (qiskit),163,152,214
319,19,65,301,Ewout van den Berg (stim),238,172,318
320,0,65,401,ours,586,429,1121
321,0,65,401,qiskit transpile,145,126,128
322,0,65,401,Bravyi et al. (qiskit),251,195,417
323,0,65,401,Ewout van den Berg (stim),739,334,1205
324,1,65,401,ours,625,452,1146
325,1,65,401,qiskit transpile,141,114,142
326,1,65,401,Bravyi et al. (qiskit),324,271,518
327,1,65,401,Ewout van den Berg (stim),943,367,1449
328,2,65,401,ours,737,557,1362
329,2,65,401,qiskit transpile,129,131,141
330,2,65,401,Bravyi et al. (qiskit),308,236,452
331,2,65,401,Ewout van den Berg (stim),524,271,853
332,3,65,401,ours,620,476,1107
333,3,65,401,qiskit transpile,130,143,128
334,3,65,401,Bravyi et al. (qiskit),257,209,325
335,3,65,401,Ewout van den Berg (stim),470,282,646
336,4,65,401,ours,604,440,1123
337,4,65,401,qiskit transpile,136,126,139
338,4,65,401,Bravyi et al. (qiskit),296,223,432
339,4,65,401,Ewout van den Berg (stim),628,291,1032
340,5,65,401,ours,701,491,1280
341,5,65,401,qiskit transpile,129,133,139
342,5,65,401,Bravyi et al. (qiskit),308,228,448
343,5,65,401,Ewout van den Berg (stim),453,217,720
344,6,65,401,ours,618,455,1121
345,6,65,401,qiskit transpile,143,129,129
346,6,65,401,Bravyi et al. (qiskit),265,197,363
347,6,65,401,Ewout van den Berg (stim),473,232,739
348,7,65,401,ours,624,491,1193
349,7,65,401,qiskit transpile,134,132,135
350,7,65,401,Bravyi et al. (qiskit),287,213,420
351,7,65,401,Ewout van den Berg (stim),590,250,840
