,n_rep,num_qubits,method,h,s,cx,depth,cx_depth
0,0,5,ours,16,27,19,30,16
1,0,5,Peham et. al. (optimal),10,18,12,16,7
2,0,5,Maslov et al. (qiskit),9,57,63,57,35
3,0,5,Bravyi et al. (qiskit),16,15,20,26,16
4,1,5,ours,18,21,17,31,13
5,1,5,Peham et. al. (optimal),6,14,11,13,7
6,1,5,Maslov et al. (qiskit),14,58,66,68,36
7,1,5,Bravyi et al. (qiskit),17,18,17,24,15
8,2,5,ours,15,19,11,21,10
9,2,5,Peham et. al. (optimal),7,14,12,14,7
10,2,5,Maslov et al. (qiskit),9,55,64,60,35
11,2,5,Bravyi et al. (qiskit),8,16,15,18,12
12,3,5,ours,16,25,17,31,14
13,3,5,Peham et. al. (optimal),9,19,13,18,8
14,3,5,Maslov et al. (qiskit),9,62,57,58,30
15,3,5,Bravyi et al. (qiskit),15,25,16,30,14
16,4,5,ours,22,24,18,32,13
17,4,5,Peham et. al. (optimal),11,13,10,13,7
18,4,5,Maslov et al. (qiskit),9,59,61,55,34
19,4,5,Bravyi et al. (qiskit),12,18,16,26,13
20,5,5,ours,16,20,14,25,13
21,5,5,Peham et. al. (optimal),7,15,13,15,8
22,5,5,Maslov et al. (qiskit),14,51,52,52,29
23,5,5,Bravyi et al. (qiskit),18,21,15,21,12
24,6,5,ours,18,22,14,29,11
25,6,5,Peham et. al. (optimal),10,14,10,12,6
26,6,5,Maslov et al. (qiskit),10,59,66,60,35
27,6,5,Bravyi et al. (qiskit),16,20,16,26,15
28,7,5,ours,24,29,18,31,14
29,7,5,Peham et. al. (optimal),7,19,10,11,6
30,7,5,Maslov et al. (qiskit),9,47,51,45,27
31,7,5,Bravyi et al. (qiskit),17,24,15,30,14
32,8,5,ours,17,18,16,28,13
33,8,5,Peham et. al. (optimal),8,10,13,13,7
34,8,5,Maslov et al. (qiskit),11,68,59,60,32
35,8,5,Bravyi et al. (qiskit),13,19,18,29,15
36,9,5,ours,16,19,14,27,12
37,9,5,Peham et. al. (optimal),10,23,12,18,7
38,9,5,Maslov et al. (qiskit),11,57,59,58,31
39,9,5,Bravyi et al. (qiskit),15,22,14,26,11
40,10,5,ours,19,20,18,31,15
41,10,5,Peham et. al. (optimal),12,20,11,17,6
42,10,5,Maslov et al. (qiskit),12,81,59,67,32
43,10,5,Bravyi et al. (qiskit),15,17,15,26,13
44,11,5,ours,18,12,18,26,14
45,11,5,Peham et. al. (optimal),10,10,12,14,7
46,11,5,Maslov et al. (qiskit),9,40,57,56,32
47,11,5,Bravyi et al. (qiskit),13,20,15,22,12
48,12,5,ours,14,21,12,23,9
49,12,5,Peham et. al. (optimal),10,16,10,17,6
50,12,5,Maslov et al. (qiskit),10,63,63,65,35
51,12,5,Bravyi et al. (qiskit),15,25,13,27,10
52,13,5,ours,21,26,15,29,12
53,13,5,Peham et. al. (optimal),9,11,11,13,6
54,13,5,Maslov et al. (qiskit),12,54,61,55,32
55,13,5,Bravyi et al. (qiskit),14,19,15,25,14
56,14,5,ours,13,14,14,24,13
57,14,5,Peham et. al. (optimal),9,11,12,12,7
58,14,5,Maslov et al. (qiskit),12,57,62,58,33
59,14,5,Bravyi et al. (qiskit),14,18,16,25,13
60,15,5,ours,15,24,13,28,11
61,15,5,Peham et. al. (optimal),7,16,13,16,8
62,15,5,Maslov et al. (qiskit),15,56,60,54,33
63,15,5,Bravyi et al. (qiskit),15,28,17,25,14
64,16,5,ours,16,22,14,28,12
65,16,5,Peham et. al. (optimal),7,23,12,20,7
66,16,5,Maslov et al. (qiskit),9,75,62,66,33
67,16,5,Bravyi et al. (qiskit),17,21,17,28,16
68,17,5,ours,25,27,15,34,14
69,17,5,Peham et. al. (optimal),11,16,11,14,6
70,17,5,Maslov et al. (qiskit),15,64,62,62,33
71,17,5,Bravyi et al. (qiskit),19,19,17,28,13
72,18,5,ours,17,23,18,33,15
73,18,5,Peham et. al. (optimal),10,26,12,19,8
74,18,5,Maslov et al. (qiskit),10,63,61,58,34
75,18,5,Bravyi et al. (qiskit),11,11,17,23,14
76,19,5,ours,17,28,13,27,11
77,19,5,Peham et. al. (optimal),11,18,13,16,8
78,19,5,Maslov et al. (qiskit),13,60,60,57,35
79,19,5,Bravyi et al. (qiskit),21,21,20,31,17
