,n_rep,num_qubits,method,h,s,cx,depth,cx_depth
0,0,5,ours,12,16,19,29,18
1,0,5,Peham et. al. (optimal),6,13,21,24,17
2,0,5,Maslov et al. (qiskit),9,35,96,103,82
3,0,5,Bravyi et al. (qiskit),12,21,29,48,29
4,1,5,ours,22,31,19,32,17
5,1,5,Peham et. al. (optimal),10,23,26,34,20
6,1,5,Maslov et al. (qiskit),13,40,87,95,73
7,1,5,Bravyi et al. (qiskit),14,17,30,40,25
8,2,5,ours,13,11,19,31,19
9,2,5,Peham et. al. (optimal),12,15,24,29,21
10,2,5,Maslov et al. (qiskit),10,59,85,94,69
11,2,5,Bravyi et al. (qiskit),11,14,25,33,21
12,3,5,ours,17,18,16,25,14
13,3,5,Peham et. al. (optimal),9,23,15,25,12
14,3,5,Maslov et al. (qiskit),11,55,91,97,74
15,3,5,Bravyi et al. (qiskit),11,13,28,37,25
16,4,5,ours,8,26,16,29,13
17,4,5,Peham et. al. (optimal),11,13,18,20,14
18,4,5,Maslov et al. (qiskit),15,53,90,99,77
19,4,5,Bravyi et al. (qiskit),14,18,31,43,26
20,5,5,ours,16,20,16,25,14
21,5,5,Peham et. al. (optimal),13,25,27,34,21
22,5,5,Maslov et al. (qiskit),14,61,86,107,71
23,5,5,Bravyi et al. (qiskit),20,14,38,53,36
24,6,5,ours,13,14,18,28,17
25,6,5,Peham et. al. (optimal),7,11,28,35,25
26,6,5,Maslov et al. (qiskit),10,62,84,104,69
27,6,5,Bravyi et al. (qiskit),13,14,20,36,17
28,7,5,ours,12,23,15,25,12
29,7,5,Peham et. al. (optimal),8,18,27,32,22
30,7,5,Maslov et al. (qiskit),7,53,89,103,75
31,7,5,Bravyi et al. (qiskit),20,25,30,46,23
32,8,5,ours,17,19,18,30,15
33,8,5,Peham et. al. (optimal),9,21,23,28,18
34,8,5,Maslov et al. (qiskit),11,66,93,112,80
35,8,5,Bravyi et al. (qiskit),14,19,29,42,27
36,9,5,ours,19,21,17,28,15
37,9,5,Peham et. al. (optimal),9,22,27,33,22
38,9,5,Maslov et al. (qiskit),13,66,92,113,78
39,9,5,Bravyi et al. (qiskit),22,25,28,40,23
40,10,5,ours,17,17,19,29,17
41,10,5,Peham et. al. (optimal),13,26,28,38,26
42,10,5,Maslov et al. (qiskit),11,40,97,111,82
43,10,5,Bravyi et al. (qiskit),10,17,23,33,20
44,11,5,ours,16,29,19,28,14
45,11,5,Peham et. al. (optimal),10,22,23,37,20
46,11,5,Maslov et al. (qiskit),10,60,90,114,78
47,11,5,Bravyi et al. (qiskit),11,18,27,42,26
48,12,5,ours,20,30,18,31,17
49,12,5,Peham et. al. (optimal),11,18,27,36,23
50,12,5,Maslov et al. (qiskit),9,53,80,101,65
51,12,5,Bravyi et al. (qiskit),19,22,33,55,33
52,13,5,ours,12,12,20,31,18
53,13,5,Peham et. al. (optimal),7,8,31,28,25
54,13,5,Maslov et al. (qiskit),11,62,92,115,76
55,13,5,Bravyi et al. (qiskit),17,18,29,49,29
56,14,5,ours,20,21,19,31,17
57,14,5,Peham et. al. (optimal),11,19,27,32,24
58,14,5,Maslov et al. (qiskit),9,64,89,104,77
59,14,5,Bravyi et al. (qiskit),17,23,28,48,28
60,15,5,ours,12,15,17,27,17
61,15,5,Peham et. al. (optimal),7,16,29,30,23
62,15,5,Maslov et al. (qiskit),10,41,91,104,76
63,15,5,Bravyi et al. (qiskit),12,18,36,50,32
64,16,5,ours,17,21,18,32,17
65,16,5,Peham et. al. (optimal),8,12,24,25,19
66,16,5,Maslov et al. (qiskit),9,45,85,101,73
67,16,5,Bravyi et al. (qiskit),16,19,41,51,34
68,17,5,ours,14,15,16,29,14
69,17,5,Peham et. al. (optimal),11,22,17,27,15
70,17,5,Maslov et al. (qiskit),13,62,86,110,71
71,17,5,Bravyi et al. (qiskit),15,23,31,42,27
72,18,5,ours,15,18,21,30,18
73,18,5,Peham et. al. (optimal),9,24,24,34,20
74,18,5,Maslov et al. (qiskit),15,58,85,101,69
75,18,5,Bravyi et al. (qiskit),16,18,31,48,31
76,19,5,ours,17,20,22,32,19
77,19,5,Peham et. al. (optimal),8,7,26,27,20
78,19,5,Maslov et al. (qiskit),10,54,86,95,71
79,19,5,Bravyi et al. (qiskit),12,18,28,42,27
