,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,16,1,ours,0,0,1,0.04120492935180664,2,2
1,0,16,1,qiskit transpile,0,0,1,0.15488290786743164,1,1
2,0,16,1,Bravyi et al. (qiskit),0,0,1,0.0062940120697021484,1,1
3,0,16,1,Ewout van den Berg (stim),0,0,1,0.03407001495361328,1,1
4,0,16,1,Duncan et al (pyzx),0,0,1,0.03713202476501465,1,1
5,0,16,1,Maslov et al,32,0,833,0.2260441780090332,203,203
6,1,16,1,ours,1,0,0,0.030045747756958008,2,2
7,1,16,1,qiskit transpile,1,0,0,0.005462169647216797,1,1
8,1,16,1,Bravyi et al. (qiskit),1,0,0,0.006507158279418945,1,1
9,1,16,1,Ewout van den Berg (stim),1,0,0,0.026346921920776367,1,1
10,1,16,1,Duncan et al (pyzx),1,0,0,0.039244890213012695,1,1
11,1,16,1,Maslov et al,31,0,867,0.1334850788116455,324,324
12,2,16,1,ours,0,1,0,0.03248000144958496,2,2
13,2,16,1,qiskit transpile,0,1,0,0.005113124847412109,1,1
14,2,16,1,Bravyi et al. (qiskit),0,1,0,0.005856037139892578,1,1
15,2,16,1,Ewout van den Berg (stim),0,1,0,0.006906986236572266,1,1
16,2,16,1,Duncan et al (pyzx),0,1,0,0.00899195671081543,1,1
17,2,16,1,Maslov et al,32,1,834,0.09848499298095703,202,202
18,3,16,1,ours,0,1,0,0.04232287406921387,2,2
19,3,16,1,qiskit transpile,0,1,0,0.005450010299682617,1,1
20,3,16,1,Bravyi et al. (qiskit),0,1,0,0.006199836730957031,1,1
21,3,16,1,Ewout van den Berg (stim),0,1,0,0.00931692123413086,1,1
22,3,16,1,Duncan et al (pyzx),0,1,0,0.008793115615844727,1,1
23,3,16,1,Maslov et al,32,1,834,0.11093497276306152,204,204
24,4,16,1,ours,1,0,0,0.03515911102294922,2,2
25,4,16,1,qiskit transpile,1,0,0,0.007555723190307617,1,1
26,4,16,1,Bravyi et al. (qiskit),1,0,0,0.030185937881469727,1,1
27,4,16,1,Ewout van den Berg (stim),1,0,0,0.009540081024169922,1,1
28,4,16,1,Duncan et al (pyzx),1,0,0,0.01186990737915039,1,1
29,4,16,1,Maslov et al,31,0,834,0.1245110034942627,203,203
30,5,16,1,ours,1,0,0,0.03309798240661621,2,2
31,5,16,1,qiskit transpile,1,0,0,0.005281925201416016,1,1
32,5,16,1,Bravyi et al. (qiskit),1,0,0,0.006860017776489258,1,1
33,5,16,1,Ewout van den Berg (stim),1,0,0,0.009875774383544922,1,1
34,5,16,1,Duncan et al (pyzx),1,0,0,0.014928817749023438,1,1
35,5,16,1,Maslov et al,31,0,834,0.11075806617736816,201,201
36,6,16,1,ours,0,0,1,0.03313612937927246,2,2
37,6,16,1,qiskit transpile,0,0,1,0.00603795051574707,1,1
38,6,16,1,Bravyi et al. (qiskit),0,0,1,0.006527900695800781,1,1
39,6,16,1,Ewout van den Berg (stim),0,0,1,0.007731914520263672,1,1
40,6,16,1,Duncan et al (pyzx),0,0,1,0.009505987167358398,1,1
41,6,16,1,Maslov et al,32,0,833,0.1040501594543457,205,205
42,7,16,1,ours,1,0,0,0.035372018814086914,2,2
43,7,16,1,qiskit transpile,1,0,0,0.0051991939544677734,1,1
44,7,16,1,Bravyi et al. (qiskit),1,0,0,0.02528691291809082,1,1
45,7,16,1,Ewout van den Berg (stim),1,0,0,0.01753401756286621,1,1
46,7,16,1,Duncan et al (pyzx),1,0,0,0.011792898178100586,1,1
47,7,16,1,Maslov et al,31,0,834,0.09689903259277344,204,204
48,8,16,1,ours,0,0,1,0.029012203216552734,2,2
49,8,16,1,qiskit transpile,0,0,1,0.005455970764160156,1,1
50,8,16,1,Bravyi et al. (qiskit),0,0,1,0.0076220035552978516,1,1
51,8,16,1,Ewout van den Berg (stim),0,0,1,0.009537935256958008,1,1
52,8,16,1,Duncan et al (pyzx),0,0,1,0.011466026306152344,1,1
53,8,16,1,Maslov et al,32,0,830,0.13544797897338867,203,203
54,9,16,1,ours,0,1,0,0.02860403060913086,2,2
55,9,16,1,qiskit transpile,0,1,0,0.005500316619873047,1,1
56,9,16,1,Bravyi et al. (qiskit),0,1,0,0.008815765380859375,1,1
