,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,65,1,ours,0,0,1
1,0,65,1,qiskit transpile,0,0,1
2,0,65,1,Bravyi et al. (qiskit),0,0,1
3,0,65,1,Ewout van den Berg (stim),2,0,1
4,1,65,1,ours,0,1,0
5,1,65,1,qiskit transpile,0,1,0
6,1,65,1,Bravyi et al. (qiskit),0,1,0
7,1,65,1,Ewout van den Berg (stim),2,1,0
8,2,65,1,ours,0,1,0
9,2,65,1,qiskit transpile,0,1,0
10,2,65,1,Bravyi et al. (qiskit),0,1,0
11,2,65,1,Ewout van den Berg (stim),2,1,0
12,3,65,1,ours,0,1,0
13,3,65,1,qiskit transpile,0,1,0
14,3,65,1,Bravyi et al. (qiskit),0,1,0
15,3,65,1,Ewout van den Berg (stim),2,1,0
16,4,65,1,ours,0,1,0
17,4,65,1,qiskit transpile,0,1,0
18,4,65,1,Bravyi et al. (qiskit),0,1,0
19,4,65,1,Ewout van den Berg (stim),2,1,0
20,5,65,1,ours,0,0,1
21,5,65,1,qiskit transpile,0,0,1
22,5,65,1,Bravyi et al. (qiskit),0,0,1
23,5,65,1,Ewout van den Berg (stim),2,0,1
24,6,65,1,ours,0,1,0
25,6,65,1,qiskit transpile,0,1,0
26,6,65,1,Bravyi et al. (qiskit),0,1,0
27,6,65,1,Ewout van den Berg (stim),2,1,0
28,7,65,1,ours,0,1,0
29,7,65,1,qiskit transpile,0,1,0
30,7,65,1,Bravyi et al. (qiskit),0,1,0
31,7,65,1,Ewout van den Berg (stim),2,1,0
32,8,65,1,ours,0,0,1
33,8,65,1,qiskit transpile,0,0,1
34,8,65,1,Bravyi et al. (qiskit),0,0,1
35,8,65,1,Ewout van den Berg (stim),2,0,1
36,9,65,1,ours,1,0,0
37,9,65,1,qiskit transpile,1,0,0
38,9,65,1,Bravyi et al. (qiskit),1,0,0
39,9,65,1,Ewout van den Berg (stim),3,0,0
40,10,65,1,ours,1,0,0
41,10,65,1,qiskit transpile,1,0,0
42,10,65,1,Bravyi et al. (qiskit),1,0,0
43,10,65,1,Ewout van den Berg (stim),3,0,0
44,11,65,1,ours,0,0,1
45,11,65,1,qiskit transpile,0,0,1
46,11,65,1,Bravyi et al. (qiskit),0,0,1
47,11,65,1,Ewout van den Berg (stim),2,0,1
48,12,65,1,ours,0,0,1
49,12,65,1,qiskit transpile,0,0,1
50,12,65,1,Bravyi et al. (qiskit),0,0,1
51,12,65,1,Ewout van den Berg (stim),2,0,1
52,13,65,1,ours,0,0,1
53,13,65,1,qiskit transpile,0,0,1
54,13,65,1,Bravyi et al. (qiskit),0,0,1
55,13,65,1,Ewout van den Berg (stim),2,0,1
56,14,65,1,ours,0,1,0
57,14,65,1,qiskit transpile,0,1,0
58,14,65,1,Bravyi et al. (qiskit),0,1,0
59,14,65,1,Ewout van den Berg (stim),2,1,0
60,15,65,1,ours,1,0,0
61,15,65,1,qiskit transpile,1,0,0
62,15,65,1,Bravyi et al. (qiskit),1,0,0
63,15,65,1,Ewout van den Berg (stim),3,0,0
64,16,65,1,ours,1,0,0
65,16,65,1,qiskit transpile,1,0,0
66,16,65,1,Bravyi et al. (qiskit),1,0,0
67,16,65,1,Ewout van den Berg (stim),3,0,0
68,17,65,1,ours,1,0,0
69,17,65,1,qiskit transpile,1,0,0
70,17,65,1,Bravyi et al. (qiskit),1,0,0
71,17,65,1,Ewout van den Berg (stim),3,0,0
72,18,65,1,ours,1,0,0
73,18,65,1,qiskit transpile,1,0,0
74,18,65,1,Bravyi et al. (qiskit),1,0,0
75,18,65,1,Ewout van den Berg (stim),3,0,0
76,19,65,1,ours,1,0,0
77,19,65,1,qiskit transpile,1,0,0
78,19,65,1,Bravyi et al. (qiskit),1,0,0
79,19,65,1,Ewout van den Berg (stim),3,0,0
80,0,65,101,ours,143,129,416
81,0,65,101,qiskit transpile,31,37,97
82,0,65,101,Bravyi et al. (qiskit),40,39,114
83,0,65,101,Ewout van den Berg (stim),46,39,147
84,1,65,101,ours,244,232,1012
85,1,65,101,qiskit transpile,26,39,118
86,1,65,101,Bravyi et al. (qiskit),48,49,135
87,1,65,101,Ewout van den Berg (stim),48,48,159
88,2,65,101,ours,223,225,1141
89,2,65,101,qiskit transpile,28,35,134
90,2,65,101,Bravyi et al. (qiskit),29,49,131
91,2,65,101,Ewout van den Berg (stim),35,50,153
92,3,65,101,ours,161,166,493
93,3,65,101,qiskit transpile,32,38,85
94,3,65,101,Bravyi et al. (qiskit),40,54,124
95,3,65,101,Ewout van den Berg (stim),40,54,101
96,4,65,101,ours,163,164,659
97,4,65,101,qiskit transpile,26,35,128
98,4,65,101,Bravyi et al. (qiskit),36,38,198
99,4,65,101,Ewout van den Berg (stim),47,46,213
100,5,65,101,ours,203,205,877
101,5,65,101,qiskit transpile,32,33,135
102,5,65,101,Bravyi et al. (qiskit),36,34,154
103,5,65,101,Ewout van den Berg (stim),49,48,188
104,6,65,101,ours,84,102,201
105,6,65,101,qiskit transpile,35,41,25
106,6,65,101,Bravyi et al. (qiskit),37,55,96
107,6,65,101,Ewout van den Berg (stim),37,55,81
108,7,65,101,ours,177,158,572
109,7,65,101,qiskit transpile,43,28,93
110,7,65,101,Bravyi et al. (qiskit),48,41,95
111,7,65,101,Ewout van den Berg (stim),46,41,121
112,8,65,101,ours,248,188,914
113,8,65,101,qiskit transpile,28,30,153
114,8,65,101,Bravyi et al. (qiskit),36,32,224
115,8,65,101,Ewout van den Berg (stim),36,33,266
116,9,65,101,ours,208,180,756
117,9,65,101,qiskit transpile,37,32,87
118,9,65,101,Bravyi et al. (qiskit),46,41,171
119,9,65,101,Ewout van den Berg (stim),46,41,194
120,10,65,101,ours,135,143,405
121,10,65,101,qiskit transpile,37,36,52
122,10,65,101,Bravyi et al. (qiskit),37,41,81
123,10,65,101,Ewout van den Berg (stim),35,38,83
124,11,65,101,ours,328,231,1392
125,11,65,101,qiskit transpile,38,25,122
126,11,65,101,Bravyi et al. (qiskit),48,26,125
127,11,65,101,Ewout van den Berg (stim),48,26,140
128,12,65,101,ours,209,202,881
129,12,65,101,qiskit transpile,38,30,33
130,12,65,101,Bravyi et al. (qiskit),46,41,92
131,12,65,101,Ewout van den Berg (stim),46,41,90
132,13,65,101,ours,247,213,890
133,13,65,101,qiskit transpile,40,29,104
134,13,65,101,Bravyi et al. (qiskit),58,52,98
135,13,65,101,Ewout van den Berg (stim),58,52,123
136,14,65,101,ours,253,234,1150
137,14,65,101,qiskit transpile,32,31,108
138,14,65,101,Bravyi et al. (qiskit),33,38,149
139,14,65,101,Ewout van den Berg (stim),55,50,162
140,15,65,101,ours,132,158,293
141,15,65,101,qiskit transpile,37,35,83
142,15,65,101,Bravyi et al. (qiskit),45,41,111
143,15,65,101,Ewout van den Berg (stim),47,42,125
144,16,65,101,ours,158,164,482
145,16,65,101,qiskit transpile,31,36,110
146,16,65,101,Bravyi et al. (qiskit),46,43,140
147,16,65,101,Ewout van den Berg (stim),58,50,170
148,17,65,101,ours,285,228,1049
149,17,65,101,qiskit transpile,41,26,88
150,17,65,101,Bravyi et al. (qiskit),47,32,135
151,17,65,101,Ewout van den Berg (stim),47,32,117
152,18,65,101,ours,148,146,440
153,18,65,101,qiskit transpile,43,30,28
154,18,65,101,Bravyi et al. (qiskit),31,30,88
155,18,65,101,Ewout van den Berg (stim),33,30,73
156,19,65,101,ours,185,182,856
157,19,65,101,qiskit transpile,31,33,113
158,19,65,101,Bravyi et al. (qiskit),50,44,191
159,19,65,101,Ewout van den Berg (stim),56,45,255
160,0,65,201,ours,431,338,1570
161,0,65,201,qiskit transpile,69,57,403
162,0,65,201,Bravyi et al. (qiskit),106,108,663
163,0,65,201,Ewout van den Berg (stim),128,112,819
164,1,65,201,ours,518,392,2158
165,1,65,201,qiskit transpile,62,70,379
166,1,65,201,Bravyi et al. (qiskit),114,109,548
167,1,65,201,Ewout van den Berg (stim),139,118,775
168,2,65,201,ours,444,347,1563
