,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,7,1,tableau,1,0,0
1,0,7,1,qiskit,1,0,0
2,0,7,1,qiskit_tableau,1,0,0
3,1,7,1,tableau,1,0,0
4,1,7,1,qiskit,1,0,0
5,1,7,1,qiskit_tableau,1,0,0
6,2,7,1,tableau,0,0,1
7,2,7,1,qiskit,0,0,1
8,2,7,1,qiskit_tableau,0,0,1
9,3,7,1,tableau,0,0,1
10,3,7,1,qiskit,0,0,1
11,3,7,1,qiskit_tableau,0,0,1
12,4,7,1,tableau,0,0,1
13,4,7,1,qiskit,0,0,1
14,4,7,1,qiskit_tableau,0,0,1
15,5,7,1,tableau,1,0,0
16,5,7,1,qiskit,1,0,0
17,5,7,1,qiskit_tableau,1,0,0
18,6,7,1,tableau,0,0,1
19,6,7,1,qiskit,0,0,1
20,6,7,1,qiskit_tableau,0,0,1
21,7,7,1,tableau,0,0,1
22,7,7,1,qiskit,0,0,1
23,7,7,1,qiskit_tableau,0,0,1
24,8,7,1,tableau,0,0,1
25,8,7,1,qiskit,0,0,1
26,8,7,1,qiskit_tableau,0,0,1
27,9,7,1,tableau,1,0,0
28,9,7,1,qiskit,1,0,0
29,9,7,1,qiskit_tableau,1,0,0
30,10,7,1,tableau,0,0,1
31,10,7,1,qiskit,0,0,1
32,10,7,1,qiskit_tableau,0,0,1
33,11,7,1,tableau,1,0,0
34,11,7,1,qiskit,1,0,0
35,11,7,1,qiskit_tableau,1,0,0
36,12,7,1,tableau,0,0,1
37,12,7,1,qiskit,0,0,1
38,12,7,1,qiskit_tableau,0,0,1
39,13,7,1,tableau,1,0,0
40,13,7,1,qiskit,1,0,0
41,13,7,1,qiskit_tableau,1,0,0
42,14,7,1,tableau,1,0,0
43,14,7,1,qiskit,1,0,0
44,14,7,1,qiskit_tableau,1,0,0
45,15,7,1,tableau,1,0,0
46,15,7,1,qiskit,1,0,0
47,15,7,1,qiskit_tableau,1,0,0
48,16,7,1,tableau,0,0,1
49,16,7,1,qiskit,0,0,1
50,16,7,1,qiskit_tableau,0,0,1
51,17,7,1,tableau,0,0,1
52,17,7,1,qiskit,0,0,1
53,17,7,1,qiskit_tableau,0,0,1
54,18,7,1,tableau,1,0,0
55,18,7,1,qiskit,1,0,0
56,18,7,1,qiskit_tableau,1,0,0
57,19,7,1,tableau,1,0,0
58,19,7,1,qiskit,1,0,0
59,19,7,1,qiskit_tableau,1,0,0
60,0,7,6,tableau,8,8,2
61,0,7,6,qiskit,3,0,3
62,0,7,6,qiskit_tableau,7,2,3
63,1,7,6,tableau,8,2,8
64,1,7,6,qiskit,2,0,7
65,1,7,6,qiskit_tableau,4,0,8
66,2,7,6,tableau,4,0,2
67,2,7,6,qiskit,4,0,2
68,2,7,6,qiskit_tableau,4,0,2
69,3,7,6,tableau,2,0,6
70,3,7,6,qiskit,2,0,7
71,3,7,6,qiskit_tableau,2,0,7
72,4,7,6,tableau,5,0,3
73,4,7,6,qiskit,3,0,3
74,4,7,6,qiskit_tableau,5,0,3
75,5,7,6,tableau,2,0,4
76,5,7,6,qiskit,2,0,4
77,5,7,6,qiskit_tableau,2,0,4
78,6,7,6,tableau,5,0,3
79,6,7,6,qiskit,3,0,3
80,6,7,6,qiskit_tableau,3,0,3
81,7,7,6,tableau,2,0,2
82,7,7,6,qiskit,4,0,2
83,7,7,6,qiskit_tableau,2,0,2
84,8,7,6,tableau,1,0,3
85,8,7,6,qiskit,3,0,3
86,8,7,6,qiskit_tableau,1,0,7
87,9,7,6,tableau,6,0,2
88,9,7,6,qiskit,4,0,2
89,9,7,6,qiskit_tableau,6,0,2
90,10,7,6,tableau,5,0,3
91,10,7,6,qiskit,3,0,3
92,10,7,6,qiskit_tableau,5,0,7
93,11,7,6,tableau,3,0,5
94,11,7,6,qiskit,3,0,3
95,11,7,6,qiskit_tableau,3,0,8
96,12,7,6,tableau,6,0,2
97,12,7,6,qiskit,4,0,2
98,12,7,6,qiskit_tableau,6,0,6
99,13,7,6,tableau,3,0,13
100,13,7,6,qiskit,1,0,8
101,13,7,6,qiskit_tableau,3,0,13
102,14,7,6,tableau,4,0,4
103,14,7,6,qiskit,2,0,4
104,14,7,6,qiskit_tableau,6,0,4
105,15,7,6,tableau,5,0,3
106,15,7,6,qiskit,3,0,3
107,15,7,6,qiskit_tableau,3,0,7
108,16,7,6,tableau,6,0,2
109,16,7,6,qiskit,4,0,2
110,16,7,6,qiskit_tableau,6,0,6
111,17,7,6,tableau,3,0,9
112,17,7,6,qiskit,3,0,3
113,17,7,6,qiskit_tableau,3,0,3
114,18,7,6,tableau,10,11,10
115,18,7,6,qiskit,1,0,8
116,18,7,6,qiskit_tableau,3,0,8
117,19,7,6,tableau,3,0,3
118,19,7,6,qiskit,3,0,3
119,19,7,6,qiskit_tableau,7,0,7
120,0,7,11,tableau,15,15,15
