,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,7,1,ours,0,1,0
1,0,7,1,qiskit transpile,0,1,0
2,0,7,1,Bravyi et al. (qiskit),0,1,0
3,0,7,1,Ewout van den Berg (stim),2,1,0
4,1,7,1,ours,0,1,0
5,1,7,1,qiskit transpile,0,1,0
6,1,7,1,Bravyi et al. (qiskit),0,1,0
7,1,7,1,Ewout van den Berg (stim),2,1,0
8,2,7,1,ours,0,1,0
9,2,7,1,qiskit transpile,0,1,0
10,2,7,1,Bravyi et al. (qiskit),0,1,0
11,2,7,1,Ewout van den Berg (stim),2,1,0
12,3,7,1,ours,0,0,1
13,3,7,1,qiskit transpile,0,0,1
14,3,7,1,Bravyi et al. (qiskit),0,0,1
15,3,7,1,Ewout van den Berg (stim),2,0,1
16,4,7,1,ours,0,0,1
17,4,7,1,qiskit transpile,0,0,1
18,4,7,1,Bravyi et al. (qiskit),0,0,1
19,4,7,1,Ewout van den Berg (stim),2,0,1
20,5,7,1,ours,0,1,0
21,5,7,1,qiskit transpile,0,1,0
22,5,7,1,Bravyi et al. (qiskit),0,1,0
23,5,7,1,Ewout van den Berg (stim),0,1,0
24,6,7,1,ours,1,0,0
25,6,7,1,qiskit transpile,1,0,0
26,6,7,1,Bravyi et al. (qiskit),1,0,0
27,6,7,1,Ewout van den Berg (stim),3,0,0
28,7,7,1,ours,1,0,0
29,7,7,1,qiskit transpile,1,0,0
30,7,7,1,Bravyi et al. (qiskit),1,0,0
31,7,7,1,Ewout van den Berg (stim),3,0,0
32,8,7,1,ours,0,0,1
33,8,7,1,qiskit transpile,0,0,1
34,8,7,1,Bravyi et al. (qiskit),0,0,1
35,8,7,1,Ewout van den Berg (stim),2,0,1
36,9,7,1,ours,0,1,0
37,9,7,1,qiskit transpile,0,1,0
38,9,7,1,Bravyi et al. (qiskit),0,1,0
39,9,7,1,Ewout van den Berg (stim),2,1,0
40,10,7,1,ours,0,1,0
41,10,7,1,qiskit transpile,0,1,0
42,10,7,1,Bravyi et al. (qiskit),0,1,0
43,10,7,1,Ewout van den Berg (stim),2,1,0
44,11,7,1,ours,0,0,1
45,11,7,1,qiskit transpile,0,0,1
46,11,7,1,Bravyi et al. (qiskit),0,0,1
47,11,7,1,Ewout van den Berg (stim),2,0,1
48,12,7,1,ours,1,0,0
49,12,7,1,qiskit transpile,1,0,0
50,12,7,1,Bravyi et al. (qiskit),1,0,0
51,12,7,1,Ewout van den Berg (stim),3,0,0
52,13,7,1,ours,0,0,1
53,13,7,1,qiskit transpile,0,0,1
54,13,7,1,Bravyi et al. (qiskit),0,0,1
55,13,7,1,Ewout van den Berg (stim),2,0,1
56,14,7,1,ours,0,1,0
57,14,7,1,qiskit transpile,0,1,0
58,14,7,1,Bravyi et al. (qiskit),0,1,0
59,14,7,1,Ewout van den Berg (stim),2,1,0
60,15,7,1,ours,0,1,0
61,15,7,1,qiskit transpile,0,1,0
62,15,7,1,Bravyi et al. (qiskit),0,1,0
63,15,7,1,Ewout van den Berg (stim),2,1,0
64,16,7,1,ours,0,1,0
65,16,7,1,qiskit transpile,0,1,0
66,16,7,1,Bravyi et al. (qiskit),0,1,0
67,16,7,1,Ewout van den Berg (stim),2,1,0
68,17,7,1,ours,0,0,1
69,17,7,1,qiskit transpile,0,0,1
70,17,7,1,Bravyi et al. (qiskit),0,0,1
71,17,7,1,Ewout van den Berg (stim),2,0,1
72,18,7,1,ours,0,1,0
73,18,7,1,qiskit transpile,0,1,0
74,18,7,1,Bravyi et al. (qiskit),0,1,0
75,18,7,1,Ewout van den Berg (stim),2,1,0
76,19,7,1,ours,0,1,0
77,19,7,1,qiskit transpile,0,1,0
78,19,7,1,Bravyi et al. (qiskit),0,1,0
79,19,7,1,Ewout van den Berg (stim),2,1,0
80,0,7,21,ours,11,12,15
81,0,7,21,qiskit transpile,6,8,13
82,0,7,21,Bravyi et al. (qiskit),13,10,20
83,0,7,21,Ewout van den Berg (stim),11,10,22
84,1,7,21,ours,12,17,19
85,1,7,21,qiskit transpile,8,4,18
86,1,7,21,Bravyi et al. (qiskit),10,6,27
87,1,7,21,Ewout van den Berg (stim),20,14,56
88,2,7,21,ours,21,18,23
89,2,7,21,qiskit transpile,7,5,21
90,2,7,21,Bravyi et al. (qiskit),15,8,34
91,2,7,21,Ewout van den Berg (stim),15,10,38
92,3,7,21,ours,1,7,1
93,3,7,21,qiskit transpile,7,11,1
94,3,7,21,Bravyi et al. (qiskit),3,8,2
95,3,7,21,Ewout van den Berg (stim),3,8,2
96,4,7,21,ours,4,14,9
97,4,7,21,qiskit transpile,8,7,9
98,4,7,21,Bravyi et al. (qiskit),4,15,9
99,4,7,21,Ewout van den Berg (stim),4,15,12
100,5,7,21,ours,26,25,24
101,5,7,21,qiskit transpile,5,6,25
102,5,7,21,Bravyi et al. (qiskit),24,24,42
103,5,7,21,Ewout van den Berg (stim),17,23,45
104,6,7,21,ours,14,18,5
105,6,7,21,qiskit transpile,9,9,3
106,6,7,21,Bravyi et al. (qiskit),6,14,5
107,6,7,21,Ewout van den Berg (stim),6,11,9
108,7,7,21,ours,14,20,29
109,7,7,21,qiskit transpile,5,8,20
110,7,7,21,Bravyi et al. (qiskit),11,17,26
111,7,7,21,Ewout van den Berg (stim),13,7,54
112,8,7,21,ours,1,8,4
113,8,7,21,qiskit transpile,9,8,4
114,8,7,21,Bravyi et al. (qiskit),3,10,4
115,8,7,21,Ewout van den Berg (stim),3,10,4
116,9,7,21,ours,12,19,30
117,9,7,21,qiskit transpile,4,6,26
118,9,7,21,Bravyi et al. (qiskit),17,14,34
119,9,7,21,Ewout van den Berg (stim),18,12,41
120,10,7,21,ours,14,21,2
121,10,7,21,qiskit transpile,11,6,4
122,10,7,21,Bravyi et al. (qiskit),7,6,2
123,10,7,21,Ewout van den Berg (stim),7,6,2
124,11,7,21,ours,10,11,7
125,11,7,21,qiskit transpile,8,7,9
126,11,7,21,Bravyi et al. (qiskit),12,10,16
127,11,7,21,Ewout van den Berg (stim),11,6,17
128,12,7,21,ours,20,25,6
129,12,7,21,qiskit transpile,7,8,6
130,12,7,21,Bravyi et al. (qiskit),5,9,5
131,12,7,21,Ewout van den Berg (stim),5,9,5
132,13,7,21,ours,8,17,14
133,13,7,21,qiskit transpile,6,9,12
134,13,7,21,Bravyi et al. (qiskit),8,8,18
135,13,7,21,Ewout van den Berg (stim),8,8,18
136,14,7,21,ours,18,15,23
137,14,7,21,qiskit transpile,5,9,13
138,14,7,21,Bravyi et al. (qiskit),9,14,22
139,14,7,21,Ewout van den Berg (stim),7,6,26
140,15,7,21,ours,15,15,17
141,15,7,21,qiskit transpile,3,11,13
142,15,7,21,Bravyi et al. (qiskit),11,8,24
143,15,7,21,Ewout van den Berg (stim),13,10,24
144,16,7,21,ours,9,17,9
145,16,7,21,qiskit transpile,7,10,7
146,16,7,21,Bravyi et al. (qiskit),9,10,7
147,16,7,21,Ewout van den Berg (stim),9,10,7
148,17,7,21,ours,16,24,12
149,17,7,21,qiskit transpile,6,7,9
150,17,7,21,Bravyi et al. (qiskit),10,14,12
151,17,7,21,Ewout van den Berg (stim),13,18,11
152,18,7,21,ours,15,22,19
153,18,7,21,qiskit transpile,4,7,14
154,18,7,21,Bravyi et al. (qiskit),6,9,8
155,18,7,21,Ewout van den Berg (stim),6,9,8
156,19,7,21,ours,11,14,21
157,19,7,21,qiskit transpile,2,13,10
158,19,7,21,Bravyi et al. (qiskit),6,9,17
159,19,7,21,Ewout van den Berg (stim),6,9,17
160,0,7,41,ours,25,23,33
161,0,7,41,qiskit transpile,16,12,34
162,0,7,41,Bravyi et al. (qiskit),16,18,50
163,0,7,41,Ewout van den Berg (stim),16,17,59
164,1,7,41,ours,18,24,37
165,1,7,41,qiskit transpile,8,20,28
166,1,7,41,Bravyi et al. (qiskit),22,28,62
167,1,7,41,Ewout van den Berg (stim),27,31,86
168,2,7,41,ours,24,36,29
169,2,7,41,qiskit transpile,16,9,41
170,2,7,41,Bravyi et al. (qiskit),21,23,46
171,2,7,41,Ewout van den Berg (stim),19,27,29
172,3,7,41,ours,26,29,25
173,3,7,41,qiskit transpile,15,12,26
174,3,7,41,Bravyi et al. (qiskit),21,19,31
175,3,7,41,Ewout van den Berg (stim),20,18,35
176,4,7,41,ours,25,17,33
177,4,7,41,qiskit transpile,8,19,38
178,4,7,41,Bravyi et al. (qiskit),14,16,50
179,4,7,41,Ewout van den Berg (stim),16,17,53
180,5,7,41,ours,16,21,17
181,5,7,41,qiskit transpile,15,15,20
182,5,7,41,Bravyi et al. (qiskit),15,16,22
183,5,7,41,Ewout van den Berg (stim),20,19,31
184,6,7,41,ours,10,20,24
185,6,7,41,qiskit transpile,11,17,25
186,6,7,41,Bravyi et al. (qiskit),14,19,33
187,6,7,41,Ewout van den Berg (stim),16,22,31
188,7,7,41,ours,18,21,28
189,7,7,41,qiskit transpile,12,14,25
190,7,7,41,Bravyi et al. (qiskit),13,22,34
191,7,7,41,Ewout van den Berg (stim),16,24,55
192,8,7,41,ours,22,31,24
193,8,7,41,qiskit transpile,12,17,33
194,8,7,41,Bravyi et al. (qiskit),13,24,31
195,8,7,41,Ewout van den Berg (stim),13,24,31
196,9,7,41,ours,17,23,23
197,9,7,41,qiskit transpile,9,15,27
198,9,7,41,Bravyi et al. (qiskit),23,19,41
199,9,7,41,Ewout van den Berg (stim),23,22,89
200,10,7,41,ours,16,21,26
201,10,7,41,qiskit transpile,17,12,24
202,10,7,41,Bravyi et al. (qiskit),20,22,33
203,10,7,41,Ewout van den Berg (stim),23,23,37
204,11,7,41,ours,23,21,29
205,11,7,41,qiskit transpile,12,16,26
206,11,7,41,Bravyi et al. (qiskit),17,18,44
207,11,7,41,Ewout van den Berg (stim),19,18,54
208,12,7,41,ours,26,34,34
209,12,7,41,qiskit transpile,11,11,44
210,12,7,41,Bravyi et al. (qiskit),28,25,64
211,12,7,41,Ewout van den Berg (stim),31,25,100
212,13,7,41,ours,17,24,17
213,13,7,41,qiskit transpile,12,16,28
214,13,7,41,Bravyi et al. (qiskit),12,18,24
215,13,7,41,Ewout van den Berg (stim),19,24,22
216,14,7,41,ours,20,26,25
217,14,7,41,qiskit transpile,14,13,29
218,14,7,41,Bravyi et al. (qiskit),17,24,29
219,14,7,41,Ewout van den Berg (stim),16,27,57
220,15,7,41,ours,33,40,35
221,15,7,41,qiskit transpile,15,9,40
222,15,7,41,Bravyi et al. (qiskit),21,24,59
223,15,7,41,Ewout van den Berg (stim),25,35,61
224,16,7,41,ours,18,20,32
225,16,7,41,qiskit transpile,14,9,48
226,16,7,41,Bravyi et al. (qiskit),13,19,40
227,16,7,41,Ewout van den Berg (stim),13,15,61
228,17,7,41,ours,25,24,34
229,17,7,41,qiskit transpile,7,16,36
230,17,7,41,Bravyi et al. (qiskit),20,21,70
231,17,7,41,Ewout van den Berg (stim),32,22,90
232,18,7,41,ours,23,25,33
233,18,7,41,qiskit transpile,13,11,44
234,18,7,41,Bravyi et al. (qiskit),23,26,67
235,18,7,41,Ewout van den Berg (stim),27,33,100
236,19,7,41,ours,25,28,33
237,19,7,41,qiskit transpile,16,7,37
238,19,7,41,Bravyi et al. (qiskit),16,25,46
239,19,7,41,Ewout van den Berg (stim),29,29,104
240,0,7,61,ours,25,28,37
241,0,7,61,qiskit transpile,21,21,46
242,0,7,61,Bravyi et al. (qiskit),22,21,74
243,0,7,61,Ewout van den Berg (stim),32,32,84
244,1,7,61,ours,27,35,41
245,1,7,61,qiskit transpile,17,22,70
246,1,7,61,Bravyi et al. (qiskit),20,27,76
247,1,7,61,Ewout van den Berg (stim),22,28,80
248,2,7,61,ours,24,30,38
249,2,7,61,qiskit transpile,18,15,72
250,2,7,61,Bravyi et al. (qiskit),26,35,81
251,2,7,61,Ewout van den Berg (stim),24,25,123
252,3,7,61,ours,20,28,43
253,3,7,61,qiskit transpile,22,17,62
254,3,7,61,Bravyi et al. (qiskit),23,29,93
255,3,7,61,Ewout van den Berg (stim),23,29,104
256,4,7,61,ours,30,35,43
257,4,7,61,qiskit transpile,20,21,50
258,4,7,61,Bravyi et al. (qiskit),24,29,59
259,4,7,61,Ewout van den Berg (stim),32,31,102
260,5,7,61,ours,21,32,27
261,5,7,61,qiskit transpile,23,29,18
262,5,7,61,Bravyi et al. (qiskit),16,19,41
263,5,7,61,Ewout van den Berg (stim),19,22,45
264,6,7,61,ours,31,31,41
265,6,7,61,qiskit transpile,18,22,49
266,6,7,61,Bravyi et al. (qiskit),19,17,51
267,6,7,61,Ewout van den Berg (stim),24,30,82
268,7,7,61,ours,28,36,33
269,7,7,61,qiskit transpile,22,21,30
270,7,7,61,Bravyi et al. (qiskit),19,23,74
271,7,7,61,Ewout van den Berg (stim),19,23,63
272,8,7,61,ours,21,26,26
273,8,7,61,qiskit transpile,21,25,36
274,8,7,61,Bravyi et al. (qiskit),18,21,40
275,8,7,61,Ewout van den Berg (stim),35,35,120
276,9,7,61,ours,19,23,40
277,9,7,61,qiskit transpile,15,20,62
278,9,7,61,Bravyi et al. (qiskit),22,23,86
279,9,7,61,Ewout van den Berg (stim),29,36,91
280,10,7,61,ours,22,22,32
281,10,7,61,qiskit transpile,19,17,88
282,10,7,61,Bravyi et al. (qiskit),17,27,55
283,10,7,61,Ewout van den Berg (stim),27,24,79
284,11,7,61,ours,25,28,44
285,11,7,61,qiskit transpile,21,13,69
286,11,7,61,Bravyi et al. (qiskit),19,28,83
287,11,7,61,Ewout van den Berg (stim),31,23,89
288,12,7,61,ours,24,32,19
289,12,7,61,qiskit transpile,13,31,32
290,12,7,61,Bravyi et al. (qiskit),17,17,49
291,12,7,61,Ewout van den Berg (stim),14,19,57
292,13,7,61,ours,23,33,34
293,13,7,61,qiskit transpile,23,19,46
294,13,7,61,Bravyi et al. (qiskit),23,22,52
295,13,7,61,Ewout van den Berg (stim),22,22,39
296,14,7,61,ours,28,28,44
297,14,7,61,qiskit transpile,17,26,43
298,14,7,61,Bravyi et al. (qiskit),25,37,78
299,14,7,61,Ewout van den Berg (stim),21,23,78
300,15,7,61,ours,31,21,37
301,15,7,61,qiskit transpile,19,17,72
302,15,7,61,Bravyi et al. (qiskit),21,33,82
303,15,7,61,Ewout van den Berg (stim),20,29,116
304,16,7,61,ours,38,43,35
305,16,7,61,qiskit transpile,25,20,34
306,16,7,61,Bravyi et al. (qiskit),22,27,46
307,16,7,61,Ewout van den Berg (stim),30,34,99
308,17,7,61,ours,21,32,40
309,17,7,61,qiskit transpile,18,25,48
310,17,7,61,Bravyi et al. (qiskit),24,33,58
311,17,7,61,Ewout van den Berg (stim),23,30,91
312,18,7,61,ours,12,22,22
313,18,7,61,qiskit transpile,23,23,33
314,18,7,61,Bravyi et al. (qiskit),16,22,42
315,18,7,61,Ewout van den Berg (stim),14,12,59
316,19,7,61,ours,21,25,29
317,19,7,61,qiskit transpile,23,22,40
318,19,7,61,Bravyi et al. (qiskit),19,23,58
319,19,7,61,Ewout van den Berg (stim),25,23,95
320,0,7,81,ours,17,23,35
321,0,7,81,qiskit transpile,22,36,56
322,0,7,81,Bravyi et al. (qiskit),30,24,64
323,0,7,81,Ewout van den Berg (stim),30,27,90
324,1,7,81,ours,17,23,44
325,1,7,81,qiskit transpile,26,34,51
326,1,7,81,Bravyi et al. (qiskit),21,21,68
327,1,7,81,Ewout van den Berg (stim),15,13,75
328,2,7,81,ours,23,27,33
329,2,7,81,qiskit transpile,24,23,102
330,2,7,81,Bravyi et al. (qiskit),27,22,75
331,2,7,81,Ewout van den Berg (stim),24,27,77
332,3,7,81,ours,22,31,44
333,3,7,81,qiskit transpile,23,24,91
334,3,7,81,Bravyi et al. (qiskit),17,30,70
335,3,7,81,Ewout van den Berg (stim),20,30,112
336,4,7,81,ours,23,27,37
337,4,7,81,qiskit transpile,31,21,77
338,4,7,81,Bravyi et al. (qiskit),28,28,83
339,4,7,81,Ewout van den Berg (stim),25,20,79
340,5,7,81,ours,23,36,38
341,5,7,81,qiskit transpile,24,29,80
342,5,7,81,Bravyi et al. (qiskit),30,35,75
343,5,7,81,Ewout van den Berg (stim),14,17,70
344,6,7,81,ours,26,35,32
345,6,7,81,qiskit transpile,24,26,76
346,6,7,81,Bravyi et al. (qiskit),19,23,64
347,6,7,81,Ewout van den Berg (stim),31,17,92
348,7,7,81,ours,28,33,40
349,7,7,81,qiskit transpile,32,26,65
350,7,7,81,Bravyi et al. (qiskit),24,29,69
351,7,7,81,Ewout van den Berg (stim),22,32,119
352,8,7,81,ours,30,38,40
353,8,7,81,qiskit transpile,27,19,106
354,8,7,81,Bravyi et al. (qiskit),25,30,59
355,8,7,81,Ewout van den Berg (stim),27,26,110
356,9,7,81,ours,28,33,42
357,9,7,81,qiskit transpile,22,34,67
358,9,7,81,Bravyi et al. (qiskit),23,30,81
359,9,7,81,Ewout van den Berg (stim),23,18,103
360,10,7,81,ours,31,41,41
361,10,7,81,qiskit transpile,30,21,70
362,10,7,81,Bravyi et al. (qiskit),20,27,71
363,10,7,81,Ewout van den Berg (stim),34,32,99
364,11,7,81,ours,23,32,47
365,11,7,81,qiskit transpile,29,25,70
366,11,7,81,Bravyi et al. (qiskit),25,27,85
367,11,7,81,Ewout van den Berg (stim),31,27,107
368,12,7,81,ours,21,24,39
369,12,7,81,qiskit transpile,25,32,53
370,12,7,81,Bravyi et al. (qiskit),24,31,62
371,12,7,81,Ewout van den Berg (stim),23,22,91
372,13,7,81,ours,25,36,33
373,13,7,81,qiskit transpile,30,20,90
374,13,7,81,Bravyi et al. (qiskit),31,25,78
375,13,7,81,Ewout van den Berg (stim),22,25,75
376,14,7,81,ours,22,23,28
377,14,7,81,qiskit transpile,22,36,63
378,14,7,81,Bravyi et al. (qiskit),18,18,52
379,14,7,81,Ewout van den Berg (stim),27,23,80
380,15,7,81,ours,26,33,39
381,15,7,81,qiskit transpile,29,24,59
382,15,7,81,Bravyi et al. (qiskit),22,28,81
383,15,7,81,Ewout van den Berg (stim),33,22,114
384,16,7,81,ours,26,30,41
385,16,7,81,qiskit transpile,33,27,57
386,16,7,81,Bravyi et al. (qiskit),28,32,90
387,16,7,81,Ewout van den Berg (stim),17,23,104
388,17,7,81,ours,26,31,31
389,17,7,81,qiskit transpile,21,37,54
390,17,7,81,Bravyi et al. (qiskit),20,25,66
391,17,7,81,Ewout van den Berg (stim),28,34,72
392,18,7,81,ours,33,33,38
393,18,7,81,qiskit transpile,25,26,66
394,18,7,81,Bravyi et al. (qiskit),30,39,58
395,18,7,81,Ewout van den Berg (stim),21,21,101
396,19,7,81,ours,28,29,34
397,19,7,81,qiskit transpile,30,21,85
398,19,7,81,Bravyi et al. (qiskit),17,24,41
399,19,7,81,Ewout van den Berg (stim),26,34,82
400,0,7,101,ours,24,36,40
401,0,7,101,qiskit transpile,30,41,83
402,0,7,101,Bravyi et al. (qiskit),23,36,65
403,0,7,101,Ewout van den Berg (stim),20,29,75
404,1,7,101,ours,33,36,43
405,1,7,101,qiskit transpile,35,28,101
406,1,7,101,Bravyi et al. (qiskit),22,27,90
407,1,7,101,Ewout van den Berg (stim),24,27,113
408,2,7,101,ours,24,25,42
409,2,7,101,qiskit transpile,35,34,68
410,2,7,101,Bravyi et al. (qiskit),24,26,72
411,2,7,101,Ewout van den Berg (stim),27,25,87
412,3,7,101,ours,28,27,36
413,3,7,101,qiskit transpile,34,40,68
414,3,7,101,Bravyi et al. (qiskit),23,32,81
415,3,7,101,Ewout van den Berg (stim),25,24,108
416,4,7,101,ours,22,25,40
417,4,7,101,qiskit transpile,36,36,72
418,4,7,101,Bravyi et al. (qiskit),22,25,65
419,4,7,101,Ewout van den Berg (stim),27,23,117
420,5,7,101,ours,34,31,37
421,5,7,101,qiskit transpile,32,32,90
422,5,7,101,Bravyi et al. (qiskit),24,27,64
423,5,7,101,Ewout van den Berg (stim),30,34,91
424,6,7,101,ours,30,30,44
425,6,7,101,qiskit transpile,49,19,103
426,6,7,101,Bravyi et al. (qiskit),26,24,71
427,6,7,101,Ewout van den Berg (stim),26,30,127
428,7,7,101,ours,23,33,38
429,7,7,101,qiskit transpile,33,30,98
430,7,7,101,Bravyi et al. (qiskit),24,37,72
431,7,7,101,Ewout van den Berg (stim),24,31,81
432,8,7,101,ours,28,34,36
433,8,7,101,qiskit transpile,38,25,111
434,8,7,101,Bravyi et al. (qiskit),20,26,82
435,8,7,101,Ewout van den Berg (stim),23,28,120
436,9,7,101,ours,28,31,42
437,9,7,101,qiskit transpile,44,28,62
438,9,7,101,Bravyi et al. (qiskit),24,28,65
439,9,7,101,Ewout van den Berg (stim),23,24,103
440,10,7,101,ours,18,30,40
441,10,7,101,qiskit transpile,28,34,93
442,10,7,101,Bravyi et al. (qiskit),24,31,63
443,10,7,101,Ewout van den Berg (stim),20,25,104
444,11,7,101,ours,19,41,42
445,11,7,101,qiskit transpile,31,38,107
446,11,7,101,Bravyi et al. (qiskit),30,33,78
447,11,7,101,Ewout van den Berg (stim),25,29,119
448,12,7,101,ours,24,30,41
449,12,7,101,qiskit transpile,32,29,117
450,12,7,101,Bravyi et al. (qiskit),17,21,91
451,12,7,101,Ewout van den Berg (stim),29,27,111
452,13,7,101,ours,25,30,39
453,13,7,101,qiskit transpile,40,31,93
454,13,7,101,Bravyi et al. (qiskit),22,22,82
455,13,7,101,Ewout van den Berg (stim),20,24,105
456,14,7,101,ours,23,35,39
457,14,7,101,qiskit transpile,33,27,117
458,14,7,101,Bravyi et al. (qiskit),21,35,82
459,14,7,101,Ewout van den Berg (stim),25,26,143
460,15,7,101,ours,29,46,40
461,15,7,101,qiskit transpile,32,34,107
462,15,7,101,Bravyi et al. (qiskit),25,33,81
463,15,7,101,Ewout van den Berg (stim),31,30,111
464,16,7,101,ours,21,21,37
465,16,7,101,qiskit transpile,34,29,111
466,16,7,101,Bravyi et al. (qiskit),27,37,71
467,16,7,101,Ewout van den Berg (stim),30,35,129
468,17,7,101,ours,14,30,28
469,17,7,101,qiskit transpile,31,36,100
470,17,7,101,Bravyi et al. (qiskit),26,30,73
471,17,7,101,Ewout van den Berg (stim),22,26,96
472,18,7,101,ours,16,15,39
473,18,7,101,qiskit transpile,33,31,105
474,18,7,101,Bravyi et al. (qiskit),27,30,84
475,18,7,101,Ewout van den Berg (stim),21,37,108
476,19,7,101,ours,25,31,35
477,19,7,101,qiskit transpile,32,41,83
478,19,7,101,Bravyi et al. (qiskit),19,23,68
479,19,7,101,Ewout van den Berg (stim),33,38,101
480,0,7,121,ours,25,36,41
481,0,7,121,qiskit transpile,33,38,141
482,0,7,121,Bravyi et al. (qiskit),29,31,79
483,0,7,121,Ewout van den Berg (stim),19,28,91
484,1,7,121,ours,25,27,41
485,1,7,121,qiskit transpile,43,35,145
486,1,7,121,Bravyi et al. (qiskit),22,20,86
487,1,7,121,Ewout van den Berg (stim),22,25,99
488,2,7,121,ours,25,26,42
489,2,7,121,qiskit transpile,46,38,95
