,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
0,0,5,1,ours,0,0,1,0.0255739688873291,2,2
1,0,5,1,qiskit transpile,0,0,1,0.06949901580810547,1,1
2,0,5,1,Bravyi et al. (qiskit),0,0,1,0.006640195846557617,1,1
3,0,5,1,Ewout van den Berg (stim),0,0,1,0.013082027435302734,1,1
4,0,5,1,Duncan et al (pyzx),0,0,1,0.021593093872070312,1,1
5,0,5,1,Maslov et al,10,0,77,0.059082984924316406,66,66
6,1,5,1,ours,1,0,0,0.0033779144287109375,2,2
7,1,5,1,qiskit transpile,1,0,0,0.0057909488677978516,1,1
8,1,5,1,Bravyi et al. (qiskit),1,0,0,0.00519871711730957,1,1
9,1,5,1,Ewout van den Berg (stim),1,0,0,0.0070018768310546875,1,1
10,1,5,1,Duncan et al (pyzx),1,0,0,0.006188154220581055,1,1
11,1,5,1,Maslov et al,9,0,78,0.02241992950439453,69,69
12,2,5,1,ours,0,0,1,0.0038709640502929688,2,2
13,2,5,1,qiskit transpile,0,0,1,0.0087738037109375,1,1
14,2,5,1,Bravyi et al. (qiskit),0,0,1,0.005970001220703125,1,1
15,2,5,1,Ewout van den Berg (stim),0,0,1,0.007495880126953125,1,1
16,2,5,1,Duncan et al (pyzx),0,0,1,0.009037017822265625,1,1
17,2,5,1,Maslov et al,10,0,77,0.12109971046447754,68,68
18,3,5,1,ours,0,1,0,0.007140159606933594,2,2
19,3,5,1,qiskit transpile,0,1,0,0.015996932983398438,1,1
20,3,5,1,Bravyi et al. (qiskit),0,1,0,0.005496025085449219,1,1
21,3,5,1,Ewout van den Berg (stim),0,1,0,0.005842924118041992,1,1
22,3,5,1,Duncan et al (pyzx),0,1,0,0.011435747146606445,1,1
23,3,5,1,Maslov et al,10,1,78,0.026310205459594727,66,66
24,4,5,1,ours,0,0,1,0.003912925720214844,2,2
25,4,5,1,qiskit transpile,0,0,1,0.007830142974853516,1,1
26,4,5,1,Bravyi et al. (qiskit),0,0,1,0.0051381587982177734,1,1
27,4,5,1,Ewout van den Berg (stim),0,0,1,0.006515979766845703,1,1
28,4,5,1,Duncan et al (pyzx),0,0,1,0.008625030517578125,1,1
29,4,5,1,Maslov et al,10,0,77,0.022257328033447266,65,65
30,5,5,1,ours,0,1,0,0.005572080612182617,2,2
31,5,5,1,qiskit transpile,0,1,0,0.006067037582397461,1,1
32,5,5,1,Bravyi et al. (qiskit),0,1,0,0.012327194213867188,1,1
33,5,5,1,Ewout van den Berg (stim),0,1,0,0.01505589485168457,1,1
34,5,5,1,Duncan et al (pyzx),0,1,0,0.012233972549438477,1,1
35,5,5,1,Maslov et al,10,1,78,0.025877952575683594,69,69
36,6,5,1,ours,0,0,1,0.004339933395385742,2,2
37,6,5,1,qiskit transpile,0,0,1,0.0068798065185546875,1,1
38,6,5,1,Bravyi et al. (qiskit),0,0,1,0.005311012268066406,1,1
39,6,5,1,Ewout van den Berg (stim),0,0,1,0.007105827331542969,1,1
40,6,5,1,Duncan et al (pyzx),4,0,1,0.010909318923950195,3,3
41,6,5,1,Maslov et al,10,0,79,0.029385805130004883,67,67
42,7,5,1,ours,0,0,1,0.008283853530883789,2,2
43,7,5,1,qiskit transpile,0,0,1,0.012664079666137695,1,1
44,7,5,1,Bravyi et al. (qiskit),0,0,1,0.006999969482421875,1,1
45,7,5,1,Ewout van den Berg (stim),0,0,1,0.020016193389892578,1,1
46,7,5,1,Duncan et al (pyzx),4,0,1,0.00966191291809082,3,3
47,7,5,1,Maslov et al,10,0,85,0.041265010833740234,74,74
48,8,5,1,ours,0,1,0,0.004115104675292969,2,2
49,8,5,1,qiskit transpile,0,1,0,0.009246110916137695,1,1
50,8,5,1,Bravyi et al. (qiskit),0,1,0,0.014827966690063477,1,1
51,8,5,1,Ewout van den Berg (stim),0,1,0,0.01147007942199707,1,1
52,8,5,1,Duncan et al (pyzx),0,1,0,0.012328863143920898,1,1
53,8,5,1,Maslov et al,10,1,78,0.029565811157226562,67,67
54,9,5,1,ours,0,0,1,0.004191160202026367,2,2
55,9,5,1,qiskit transpile,0,0,1,0.006536006927490234,1,1
56,9,5,1,Bravyi et al. (qiskit),0,0,1,0.0069620609283447266,1,1
57,9,5,1,Ewout van den Berg (stim),0,0,1,0.007517814636230469,1,1
58,9,5,1,Duncan et al (pyzx),0,0,1,0.006541013717651367,1,1
59,9,5,1,Maslov et al,10,0,77,0.01913595199584961,65,65
60,10,5,1,ours,0,1,0,0.0040242671966552734,2,2
61,10,5,1,qiskit transpile,0,1,0,0.0052340030670166016,1,1
62,10,5,1,Bravyi et al. (qiskit),0,1,0,0.007135152816772461,1,1
63,10,5,1,Ewout van den Berg (stim),0,1,0,0.008514881134033203,1,1
64,10,5,1,Duncan et al (pyzx),0,1,0,0.0064258575439453125,1,1
65,10,5,1,Maslov et al,10,1,78,0.024496078491210938,67,67
66,11,5,1,ours,1,0,0,0.0031092166900634766,2,2
67,11,5,1,qiskit transpile,1,0,0,0.004414081573486328,1,1
68,11,5,1,Bravyi et al. (qiskit),1,0,0,0.00782918930053711,1,1
69,11,5,1,Ewout van den Berg (stim),1,0,0,0.006250143051147461,1,1
70,11,5,1,Duncan et al (pyzx),1,0,0,0.009154081344604492,1,1
71,11,5,1,Maslov et al,9,0,78,0.01946091651916504,69,69
72,12,5,1,ours,0,0,1,0.005239009857177734,2,2
73,12,5,1,qiskit transpile,0,0,1,0.004744052886962891,1,1
74,12,5,1,Bravyi et al. (qiskit),0,0,1,0.00641322135925293,1,1
75,12,5,1,Ewout van den Berg (stim),0,0,1,0.007334709167480469,1,1
76,12,5,1,Duncan et al (pyzx),0,0,1,0.008359193801879883,1,1
77,12,5,1,Maslov et al,10,0,77,0.026053190231323242,68,68
78,13,5,1,ours,1,0,0,0.0032961368560791016,2,2
79,13,5,1,qiskit transpile,1,0,0,0.006304025650024414,1,1
80,13,5,1,Bravyi et al. (qiskit),1,0,0,0.0054819583892822266,1,1
81,13,5,1,Ewout van den Berg (stim),1,0,0,0.0077991485595703125,1,1
82,13,5,1,Duncan et al (pyzx),1,0,0,0.006645917892456055,1,1
83,13,5,1,Maslov et al,9,0,78,0.02380990982055664,66,66
84,14,5,1,ours,1,0,0,0.0035638809204101562,2,2
85,14,5,1,qiskit transpile,1,0,0,0.008914947509765625,1,1
86,14,5,1,Bravyi et al. (qiskit),1,0,0,0.00946807861328125,1,1
87,14,5,1,Ewout van den Berg (stim),1,0,0,0.008527755737304688,1,1
88,14,5,1,Duncan et al (pyzx),1,0,0,0.007919073104858398,1,1
89,14,5,1,Maslov et al,9,0,78,0.02290201187133789,69,69
90,15,5,1,ours,0,0,1,0.0064771175384521484,2,2
91,15,5,1,qiskit transpile,0,0,1,0.009218931198120117,1,1
92,15,5,1,Bravyi et al. (qiskit),0,0,1,0.010467767715454102,1,1
93,15,5,1,Ewout van den Berg (stim),0,0,1,0.02963399887084961,1,1
94,15,5,1,Duncan et al (pyzx),0,0,1,0.013319015502929688,1,1
95,15,5,1,Maslov et al,10,0,77,0.040001630783081055,68,68
96,16,5,1,ours,0,0,1,0.005535125732421875,2,2
97,16,5,1,qiskit transpile,0,0,1,0.007398128509521484,1,1
98,16,5,1,Bravyi et al. (qiskit),0,0,1,0.013784170150756836,1,1
99,16,5,1,Ewout van den Berg (stim),0,0,1,0.013004779815673828,1,1
100,16,5,1,Duncan et al (pyzx),4,0,1,0.014843940734863281,3,3
101,16,5,1,Maslov et al,10,0,77,0.032829999923706055,68,68
102,17,5,1,ours,1,0,0,0.006803035736083984,2,2
103,17,5,1,qiskit transpile,1,0,0,0.010419130325317383,1,1
104,17,5,1,Bravyi et al. (qiskit),1,0,0,0.01324605941772461,1,1
105,17,5,1,Ewout van den Berg (stim),1,0,0,0.014872074127197266,1,1
106,17,5,1,Duncan et al (pyzx),1,0,0,0.007196903228759766,1,1
107,17,5,1,Maslov et al,9,0,78,0.019823074340820312,69,69
108,18,5,1,ours,1,0,0,0.0032110214233398438,2,2
109,18,5,1,qiskit transpile,1,0,0,0.004964113235473633,1,1
110,18,5,1,Bravyi et al. (qiskit),1,0,0,0.006494998931884766,1,1
111,18,5,1,Ewout van den Berg (stim),1,0,0,0.007998943328857422,1,1
112,18,5,1,Duncan et al (pyzx),1,0,0,0.006265163421630859,1,1
113,18,5,1,Maslov et al,9,0,78,0.0247039794921875,69,69
114,19,5,1,ours,0,0,1,0.005613088607788086,2,2
115,19,5,1,qiskit transpile,0,0,1,0.008069992065429688,1,1
116,19,5,1,Bravyi et al. (qiskit),0,0,1,0.008822917938232422,1,1
117,19,5,1,Ewout van den Berg (stim),0,0,1,0.00827169418334961,1,1
118,19,5,1,Duncan et al (pyzx),0,0,1,0.012205123901367188,1,1
119,19,5,1,Maslov et al,10,0,77,0.02647709846496582,69,69
120,0,5,21,ours,12,19,10,0.01134800910949707,27,27
121,0,5,21,qiskit transpile,6,4,16,0.00914907455444336,18,18
122,0,5,21,Bravyi et al. (qiskit),11,10,16,0.010137796401977539,27,27
123,0,5,21,Ewout van den Berg (stim),16,15,38,0.01782393455505371,51,51
124,0,5,21,Duncan et al (pyzx),18,4,37,0.0251157283782959,50,50
125,0,5,21,Maslov et al,6,54,93,0.06665396690368652,106,106
126,1,5,21,ours,5,1,12,0.00791621208190918,16,16
127,1,5,21,qiskit transpile,7,1,18,0.008939027786254883,17,17
128,1,5,21,Bravyi et al. (qiskit),11,6,24,0.010049104690551758,32,32
129,1,5,21,Ewout van den Berg (stim),11,3,25,0.01158905029296875,30,30
130,1,5,21,Duncan et al (pyzx),9,1,16,0.01288604736328125,17,17
131,1,5,21,Maslov et al,9,44,81,0.026849031448364258,96,96
132,2,5,21,ours,16,21,9,0.0068018436431884766,26,26
133,2,5,21,qiskit transpile,5,9,13,0.0074176788330078125,17,17
134,2,5,21,Bravyi et al. (qiskit),11,15,15,0.010153055191040039,28,28
135,2,5,21,Ewout van den Berg (stim),11,11,19,0.010914087295532227,29,29
136,2,5,21,Duncan et al (pyzx),14,10,14,0.018187999725341797,23,23
137,2,5,21,Maslov et al,13,35,82,0.21507573127746582,91,91
138,3,5,21,ours,17,25,18,0.01361703872680664,33,33
139,3,5,21,qiskit transpile,2,8,21,0.007651805877685547,20,20
140,3,5,21,Bravyi et al. (qiskit),8,14,25,0.009294986724853516,38,38
141,3,5,21,Ewout van den Berg (stim),13,12,32,0.014419078826904297,39,39
142,3,5,21,Duncan et al (pyzx),26,14,42,0.017083168029785156,60,60
143,3,5,21,Maslov et al,14,62,91,0.023816823959350586,110,110
144,4,5,21,ours,18,21,16,0.00818324089050293,35,35
145,4,5,21,qiskit transpile,7,2,17,0.009017705917358398,17,17
146,4,5,21,Bravyi et al. (qiskit),7,5,23,0.008462905883789062,28,28
147,4,5,21,Ewout van den Berg (stim),7,10,19,0.012079954147338867,24,24
148,4,5,21,Duncan et al (pyzx),14,10,25,0.013636112213134766,34,34
149,4,5,21,Maslov et al,7,51,91,0.0261380672454834,102,102
150,5,5,21,ours,12,17,12,0.01865100860595703,26,26
151,5,5,21,qiskit transpile,5,6,9,0.015100955963134766,11,11
152,5,5,21,Bravyi et al. (qiskit),7,9,15,0.01114201545715332,24,24
153,5,5,21,Ewout van den Berg (stim),9,11,25,0.013583183288574219,32,32
154,5,5,21,Duncan et al (pyzx),9,7,18,0.024187088012695312,20,20
155,5,5,21,Maslov et al,7,34,84,0.05664515495300293,87,87
156,6,5,21,ours,13,18,13,0.00835871696472168,27,27
157,6,5,21,qiskit transpile,3,10,14,0.007613182067871094,17,17
158,6,5,21,Bravyi et al. (qiskit),4,11,19,0.013944864273071289,26,26
159,6,5,21,Ewout van den Berg (stim),5,10,14,0.018032073974609375,18,18
160,6,5,21,Duncan et al (pyzx),23,5,40,0.0610198974609375,51,51
161,6,5,21,Maslov et al,9,29,83,0.05519270896911621,90,90
162,7,5,21,ours,16,18,7,0.00691986083984375,18,18
163,7,5,21,qiskit transpile,5,5,10,0.007598161697387695,10,10
164,7,5,21,Bravyi et al. (qiskit),14,13,15,0.013664007186889648,28,28
165,7,5,21,Ewout van den Berg (stim),10,10,20,0.01077127456665039,21,21
166,7,5,21,Duncan et al (pyzx),12,10,15,0.013112783432006836,26,26
167,7,5,21,Maslov et al,11,44,85,0.023020029067993164,99,99
168,8,5,21,ours,11,14,8,0.008600950241088867,20,20
169,8,5,21,qiskit transpile,7,10,7,0.011037826538085938,13,13
170,8,5,21,Bravyi et al. (qiskit),10,13,11,0.008142232894897461,20,20
171,8,5,21,Ewout van den Berg (stim),10,13,8,0.010416984558105469,19,19
172,8,5,21,Duncan et al (pyzx),8,12,9,0.011981010437011719,16,16
173,8,5,21,Maslov et al,7,48,87,0.06681704521179199,98,98
174,9,5,21,ours,3,11,4,0.005793094635009766,9,9
175,9,5,21,qiskit transpile,3,11,3,0.0069200992584228516,9,9
176,9,5,21,Bravyi et al. (qiskit),4,9,4,0.0084381103515625,6,6
177,9,5,21,Ewout van den Berg (stim),4,9,4,0.009795665740966797,6,6
178,9,5,21,Duncan et al (pyzx),10,12,3,0.015324115753173828,8,8
179,9,5,21,Maslov et al,10,20,84,0.035356998443603516,79,79
180,10,5,21,ours,10,14,16,0.008133172988891602,23,23
181,10,5,21,qiskit transpile,3,6,11,0.008868694305419922,16,16
182,10,5,21,Bravyi et al. (qiskit),8,12,22,0.012901067733764648,33,33
183,10,5,21,Ewout van den Berg (stim),6,11,23,0.012296915054321289,30,30
184,10,5,21,Duncan et al (pyzx),18,6,35,0.017711162567138672,45,45
185,10,5,21,Maslov et al,12,22,86,0.03157615661621094,90,90
186,11,5,21,ours,6,7,5,0.01811504364013672,12,12
