,n_rep,num_qubits,n_gadgets,method,h,s,cx
0,0,5,1,tableau,1,0,0
1,0,5,1,tableau_imp,1,0,0
2,0,5,1,qiskit_tableau,1,0,0
3,1,5,1,tableau,0,0,1
4,1,5,1,tableau_imp,0,0,1
5,1,5,1,qiskit_tableau,0,0,1
6,2,5,1,tableau,0,0,1
7,2,5,1,tableau_imp,0,0,1
8,2,5,1,qiskit_tableau,0,0,1
9,3,5,1,tableau,1,0,0
10,3,5,1,tableau_imp,1,0,0
11,3,5,1,qiskit_tableau,1,0,0
12,4,5,1,tableau,0,0,1
13,4,5,1,tableau_imp,0,0,1
14,4,5,1,qiskit_tableau,0,0,1
15,5,5,1,tableau,0,0,1
16,5,5,1,tableau_imp,0,0,1
17,5,5,1,qiskit_tableau,0,0,1
18,6,5,1,tableau,1,0,0
19,6,5,1,tableau_imp,1,0,0
20,6,5,1,qiskit_tableau,1,0,0
21,7,5,1,tableau,0,0,1
22,7,5,1,tableau_imp,0,0,1
23,7,5,1,qiskit_tableau,0,0,1
24,8,5,1,tableau,0,0,1
25,8,5,1,tableau_imp,0,0,1
26,8,5,1,qiskit_tableau,0,0,1
27,9,5,1,tableau,0,0,1
28,9,5,1,tableau_imp,0,0,1
29,9,5,1,qiskit_tableau,0,0,1
30,10,5,1,tableau,0,0,1
31,10,5,1,tableau_imp,0,0,1
32,10,5,1,qiskit_tableau,0,0,1
33,11,5,1,tableau,0,0,1
34,11,5,1,tableau_imp,0,0,1
35,11,5,1,qiskit_tableau,0,0,1
36,12,5,1,tableau,1,0,0
37,12,5,1,tableau_imp,1,0,0
38,12,5,1,qiskit_tableau,1,0,0
39,13,5,1,tableau,0,0,1
40,13,5,1,tableau_imp,0,0,1
41,13,5,1,qiskit_tableau,0,0,1
42,14,5,1,tableau,1,0,0
43,14,5,1,tableau_imp,1,0,0
44,14,5,1,qiskit_tableau,1,0,0
45,15,5,1,tableau,1,0,0
46,15,5,1,tableau_imp,1,0,0
47,15,5,1,qiskit_tableau,1,0,0
